variable_id,domain,concepts,question_text
q54,Party Affiliation,"party affiliation, political identity, preference","Among the political parties listed here, which party if any do you feel closest to?"
q55,Party Affiliation,"party affiliation, closeness, identification",How close do you feel to the party(answer in Q54)?
q56,Family Obligation,"family obligation, filial duty, authority","Even if parents' demands are unreasonable, children still should do what they ask"
q57,Authority and Respect,"authority, respect, obedience","Even if parents' demands are unreasonable, children still should do what they ask Being a student, one should not question the authority of their teacher"
q58,Conflict Resolution,"conflict resolution, accommodation, social harmony","Even if parents' demands are unreasonable, children still should do what they ask When one has conflict with a neighbor, the best way to deal with it is to accommodate the other person"
q59,Family and Social Dynamics,"family obligations, interpersonal relationships, conflict resolution","Even if parents' demands are unreasonable, children still should do what they ask A person should not insist on his own opinion if his co-workers disagree with him"
q6,Economic Perception,"economic condition, family level, future evaluation",What do you think the economic situation of your family will be a few years from now?
q60,Family and Social Dynamics,"family obligations, personal interests, self-sacrifice","Even if parents' demands are unreasonable, children still should do what they ask For the sake of the family, the individual should put his personal interests second"
q61,Personal Autonomy,"individuality, independence, self-expression","Even if parents' demands are unreasonable, children still should do what they ask Sometimes one has to follow one's own beliefs regardless of what other people think"
q62,Social Interaction,"short-term interests, long-term goals, pragmatism","Even if parents' demands are unreasonable, children still should do what they ask When dealing with others, securing one's immediate interests should be more important than developing a long-term"
q63,Political Culture,"political discourse, social harmony, conflict avoidance","Even if parents' demands are unreasonable, children still should do what they ask Open quarrels (criticisms) among politicians are harmful to society"
q64,Governance and Authority,"government-citizen relationship, paternalism, authority","Even if parents' demands are unreasonable, children still should do what they ask The relationship between the government and the people should be like that between parents and children"
q65,Political Loyalty,"national loyalty, government support, dissent","Even if parents' demands are unreasonable, children still should do what they ask People should always support the decisions of their government even if they disagree with them"
q66,Technology Adoption,"internet usage, digital literacy, accessibility",How often do you use the internet?
q67,Global Awareness,"international news, global events, information seeking",How closely do you follow major events in foreign countries/the world?
q68,International Interaction,"travel, international experience, frequency","Have you traveled abroad before? If you have, how often do you travel abroad?"
q69,Social Interaction,"personal contact, foreigners, social interaction",How often do you have personal contact with foreigners?
q7,Trust in Government,"trust, prime minister, president, institutional trust",Trust in Prime Minister or president
q70,Intertemporal Choice,"inter temporal choice, delayed gratification, future gains",We should give up gains in the present for the possibility of larger gains in the future
q71,Political Tolerance,"political conflict, tolerance, political diversity",We should give up gains in the present for the possibility of larger gains in the future Conflict among political groups is not a bad thing for our country
q72,Political Obligation,"political obligation, majority interests, civic duty","We should give up gains in the present for the possibility of larger gains in the future If a government policy serves the interests of the majority of people, I should support it"
q73,Political Evasion,"political avoidance, future orientation, political complexity",We should give up gains in the present for the possibility of larger gains in the future The best way to deal with complicated political issues should be to leave them to the future
q74,Political Reform,"political reform, gradual change, incrementalism",We should give up gains in the present for the possibility of larger gains in the future Political reform should be introduced little-by-little instead of all-at-once
q75,Criminal Justice,"punishment, criminal justice, expediency",We should give up gains in the present for the possibility of larger gains in the future Cruel criminals should be punished immediately without regard to time-consuming legal processes
q76,National Identity,"national community, individual sacrifice, collective interest","We should give up gains in the present for the possibility of larger gains in the future For the sake of the national community/society, the individual should be prepared to sacrifice"
q77,Political Attitudes,"political goals, procedure, leadership",We should give up gains in the present for the possibility of larger gains in the future The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure
q78,Political Engagement,"political involvement, future gains, present sacrifices","We should give up gains in the present for the possibility of larger gains in the future If possible, I don't want to get involved in political matters"
q79,Government Interaction,"government contact, administrative official",Contacted government (administrative) official
q8,Trust in Institutions,"trust, courts, judicial system",Trust in the Courts
q80,Government Interaction,"government contact, higher level officials",Contacted officials at higher level
q81,Government Interaction,"government contact, elected officials, legislative representatives",Contacted elected officials or legislative representatives at any level
q82,Political Engagement,"political party contact, political organization",Contacted officials of political parties or other political organizations
q83,Civil Society Engagement,"non-government contact, civil society organizations",Contacted representative of non-government/civil society organizations
q84,Community Engagement,"community leader contact, traditional leaders",Contacted traditional leaders/community leaders (IN: Mass media; TW/HK: Acquaintances in the government)
q85,Social Influence,"influential people contact, social networks",Contacted other influential people
q86,Tax Compliance,"tax payment, government obligation, non-compliance",Refused to pay taxes or fees to the government
q87,Civic Engagement,"collective action, issue advocacy, petition signing",Got together with others to raise an issue or sign a petition
q88,Protest Participation,"demonstration, protest march, public dissent",Attended a demonstration or protest march
q89,Political Violence,"force, violence, political extremism",Used force or violence for a political cause
q9,Trust in Government,"trust, national government, institutional confidence",Trust in the national government
q90,Voting Behavior,"voting history, electoral participation, self-description","Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted"
q91_1,Democracy Perception,"democracy, personal definition, open-ended response","To you, what does ""democracy"" mean?  What else?"
q91_2,Democracy Perception,"democracy, personal definition, additional perspective","To you, what does ""democracy"" mean? Second Response"
q91_3,Democracy Perception,"democracy, personal definition, further clarification","To you, what does ""democracy"" mean? Third Response"
q92,Democracy Characteristics,"democratic essentials, characteristic selection, prioritization",People often differ in their views on the characteristic that is essential to democracy. If you have to choose only one of the things
q93,Trust in Government,"democracy, evaluation, satisfaction","On the whole, how satisfied or dissatisfied are you with the way democracy works in [country]?"
q94,Trust in Government,"democracy, evaluation, extent",In your opinion how much of a democracy is [country]?
q95,Trust in Government,"democracy, historical comparison, authoritarian rule",Where would you place our country during the period of [the name of the most recent government under authoritarian rule]?
q96,Trust in Government,"democracy, historical comparison, authoritarian rule, current government",Where would you place our country during the period of [the name of the most recent government under authoritarian rule]? Where would you place our country under the present government?
q97,Trust in Government,"democracy, historical comparison, authoritarian rule, desire for democracy",Where would you place our country during the period of [the name of the most recent government under authoritarian rule]? To what extent would you want our country to be democratic now?
q98,Trust in Government,"democracy, suitability, national level",Which would you think democracy is suitable for our country?
q99,Trust in Government,"government, evaluation, satisfaction",How satisfied or dissatisfied are you with the [name of present] government?
se10a,Service Accessibility,"transportation, accessibility, ownership",SE 10.1 Car/Jeep/Van
se10b,Service Accessibility,"agriculture, accessibility, ownership",SE 10.2 Tractor
se10c,Service Accessibility,"entertainment, accessibility, ownership",SE 10.3 Color or B/W Television
se10d,Household Assets,"cable television, household ownership, access to media",SE 10.4 Cable Television
se10e,Household Assets,"scooter, motorcycle, moped, vehicle ownership, transportation",SE 10.5 Scooter/Motorcycle/Moped
se10f,Household Assets,"telephone, communication, household technology",SE 10.6 Telephone
se10g,Household Assets,"mobile phone, communication, personal technology",SE 10.7 Mobile Phone
se10h,Household Assets,"electric fan, cooler, household appliances, comfort",SE 10.8 Electric Fan/Cooler
se10i,Household Assets,"bicycle, vehicle ownership, transportation, recreation",SE 10.9 Bicycle
se10j,Household Assets,"radio, transistor, entertainment, media access",SE 10.10 Radio/Transistor
se10k,Household Assets,"pumping set, household equipment, water management",SE 10.11 Pumping Set
se10l,Household Assets,"fridge, household appliances, food storage, comfort",SE 10.12 Fridge
se10m,Household Assets,"camera, personal technology, recreation, leisure",SE 10.13 Camera
se10n,Agricultural Livestock,"livestock, farm animals, agricultural activities",SE 10.14 Goats/Sheep
se10o,Agricultural Livestock,"livestock, farm animals, agricultural activities",SE 10.15 Cows/Buffalo
se11,Language and Culture,"language, communication, home environment",What language do you speak the most in the Home?
se12a,Employment and Occupation,"occupation, work, employment status",Main Occupation
se12b,Employment and Occupation,"income, financial responsibility, household role",Respondent is also the chief wage earner?
se13,Social Perception and Status,"social status, self-perception, socioeconomic position",Subjective Social Status
se2,Demographic Characteristics,"gender, demographic attributes, personal characteristics",Gender
se3a,Demographic Characteristics,"age, demographic attributes, personal characteristics",Age
se4,Demographic Characteristics,"marital status, relationship status, family structure",Marital Status
se5,Education and Skills,"education, educational attainment, human capital",Education
se5a,Socio-Demographic Characteristics,"education, formal education, personal background",Years of formal education
se6,Religious Affiliation,"religion, faith, spirituality",Religion
se7,Religiosity,"religiosity, faithfulness, spiritual practice",Religiosity
se7a,Religiosity,"self-description, religiosity, personal faith",Would you describe yourself as very religious?
se8a,Household Characteristics,"household size, family members, residence",How many people live in this household?
se8b,Household Characteristics,"family structure, intergenerational relationships, household composition",How many generations of family members live in this household?
se9,Economic Perception,"household income, financial situation, economic well-being",Monthly Household Income
se9a,Economic Perception,"income adequacy, financial satisfaction, economic security",Does the total income of your household allow you to satisfactorily cover your needs?
