"variable_id","domain","concepts","question_text","value_labels"
"ir2c","Language","language; spoken language; home language","IR2c. What kind of language do you normally use at home?[Country-specific]","-1=Missing; 201=Mostly Cantonese; 401=Official Language; 402=Dialects; 501=Mongolia; 601=Bicolano; 602=Cebuano; 603=English; 604=Ilocano; 605=Ilonggo; 606=Tagalog; 611=Maranao; 612=Masbate; 613=Waray; 614=Kankanaey; 615=Pangasinense; 701=Mostly official language; 702=A mixture of Min-nan and official language; 703=A mixture of Hakka and official language; 704=A mixture of Min-nan and Hakka language; 705=Mostly Min-nan language; 706=Mostly Hakka language; 801=Official language; 802=Northern language; 803=Esan language; 804=Southern language; 805=Yawee language; 806=Other; 901=Indonesian Language; 902=Javanese Language; 903=Sundanese Language; 904=Madurese Language; 905=Other local language; 603=English; 1002=Mandarin; 1003=Chinese dialect; 1004=Malay; 806=Other; 1101=Vietnammese; 1201=Khmer; 1301=Bahasa Bidayuh; 1302=Bahasa Dusun dan Melayu; 1303=Bahasa Iban; 1304=Bahasa Melayu; 1305=Bahasa Melayu dan Dialek Kelantan; 1306=Bahasa Melayu dan Dialek Utara; 1307=Bahasa Melayu dan Dusun; 1308=Bahasa Melayu dan Inggeris; 1309=Bahasa Melayu Sarawak; 1310=Bahasa Melayu, Dialek; 1311=Kelantan dan Pahang; 1312=Bahasa Tamil; 1313=Dialek Kedah"
"ir3","Interview Setting","interviewer presence; other participants; interview environment","IR3. In the interview, other than the respondent, were others present?","-1=Missing; 1=Yes (Go to Q3a); 2=No (Go to Q4)"
"ir3a","Interview Setting","other participants; presence of others; interview participants","Who were they? (Multiple answers allowed)","-1=Missing; 0=None; 1=Respondent's spouse; 2=Children; 3=Parents or parents-in-law; 4=Neighbors/Passers by; 5=Party/Government Official; 6=Friends; 7=Brothers/ Sisters; 9=Others"
"ir3a_1HK","Interview Setting","spouse; partner; relationship status","Respondent’s spouse","-1=Missing; 0=No; 1=Yes"
"ir3a_2HK","Interview Setting","children; family members; family structure","Children","-1=Missing; 0=No; 1=Yes"
"ir3a_3HK","Interview Setting","parents; parents-in-law; family members","Parents or parents-in-law","-1=Missing; 0=No; 1=Yes"
"ir3a_4HK","Social Interaction","Neighbors/Passers by","Neighbors/Passers by","-1=Missing; 0=No; 1=Yes"
"ir3a_5HK","Political Trust","Party/Government Official","Party/Government Official","-1=Missing; 0=No; 1=Yes"
"ir4","Interview Process","Refusal to be interviewed; Interview completion","IR4. Has the respondent ever refused to be interviewed during the whole process?","-1=Missing; 1=Yes. Right at the beginning of the interview; 2=Yes. In the middle of the interview; 3=Yes. Towards the end of the interview; 4=Never; 9=Decline to answer"
"ir5","Interview Experience","Impatience during interview","IR5. Has the respondent ever felt impatient during the interview?","-1=Missing; 1=Never; 2=Occasionally; 3=Sometimes; 4=Always; 9=Decline to answer"
"ir6","Interview Experience","Cooperation during interview","IR6. How cooperative was the respondent during the interview?","-1=Missing; 1=Highly cooperative; 2=Fairly cooperative; 3=Not very cooperative; 9=Decline to answer"
"ir7","Interview Experience","Sincere answers to sensitive questions","IR7. How sincere was the respondent when answering sensitive questions?","-1=Missing; 1=Highly sincerely; 2=Fairly sincere; 3=Not very sincere; 4=Highly insincerely; 9=Decline to answer"
"ir8","Interview Experience","Difficulty answering questions","IR8. What proportion of the questions do you feel the respondent had difficulty answering?","-1=Missing; 0=Can't determine; 1=All; 2=Most; 3=Some; 4=Few; 5=None; 9=Decline to answer"
"ir9","Interview Date","Date of Interview","Date of Interview____(month)____(date)_2010_(year) 

Variable: ir10 
  Question: IR10. Language in which interview was conducted","-1=Missing; 1=Native language or dialect(mother tongue); 2=The main language of the country but not the native language; 3=The main language of the region/localities but not the antiv; 4=others; 90=Not applicable"
"level3","Unknown","","urban-rural","-1=Missing; 1=urban; 2=rural"
"q1","Economic Perception","economic condition; national level; current evaluation","q1. How would you rate the overall economic condition of our country today?  Is it …","-1=Missing; 1=Very good; 2=Good; 3=So so (not good nor bad); 4=Bad; 5=Very bad; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q10","Trust in Government","trust; political parties; national level","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Political parties [not any specific party]","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q100","Government Accountability","accountability; government responsibility; elections","q100. Between elections, the people have no way of holding the government responsible for its actions.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q101","Government Accountability","law enforcement; judicial system; government actions","q101. When government leaders break the laws, there is nothing the court can do.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q102","Citizen Participation","citizen engagement; government influence; political participation","q102. Most citizens in our country don't make much effort to influence government decisions.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q103","Government Equality","ethnic equality; government policies; citizenship","q103. All citizens from different ethnic communities in Country X are treated equally by the government.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q104","Government Equality","social equality; economic equality; government policies","q104. Rich and poor people are treated equally by the government.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q105","Basic Necessities","basic needs; access to resources; living standards","q105. People have basic necessities like food, clothes, and shelter.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q106","Freedom of Speech","freedom of expression; political dissent; social freedoms","q106. People are free to speak what they think without fear.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q107","Freedom of Association","freedom of assembly; political participation; social groups","q107. People can join any organization they like without fear.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q108","Government Accountability","law enforcement; justice system; corruption","q108. Do officials who commit crimes go unpunished?","-1=Missing; 1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q109","Political Trust and Accountability","government officials; information withholding; public view; frequency","q109. How often do government officials withhold important information from the public view?","-1=Missing; 1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q11","Political Trust","trust; parliament; institution; evaluation","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Parliament","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q110","Political Trust and Accountability","government leaders; law breaking; abuse of power; frequency","q110. How often do you think government leaders break the law or abuse their power?","-1=Missing; 1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q111","Political Trust and Election Process","elections; choice; parties/candidates; frequency","q111.  How often do you think our elections offer the voters a real choice between different parties/candidates?","-1=Missing; 1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q112","Political Accountability and Oversight","legislature; government leaders; check; effectiveness; extent","q112. To what extent is the legislature capable of keeping government leaders in check?","-1=Missing; 1=Very capable; 2=Capable; 3=Not capable; 4=Not at all capable; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q113","Public Perception of Government","government; response; public wants; effectiveness","q113. How well do you think the government responds to what people want?","-1=Missing; 1=Very responsive; 2=Largely responsive; 3=Not very responsive; 4=Not responsive at all; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q114","Community Engagement and Local Affairs","neighborhood; community; voice; interests; concerns; frequency","q114. In your neighborhood or community, do people voice their interests and concerns in local affairs?","-1=Missing; 1=Most people; 2=Quite a lot of people; 3=Some people; 4=Few people; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q115","Public Perception of Government","elections; attention; government; people's thoughts; frequency","q115. How much do you feel that having elections makes the government pay attention to what the people think?","-1=Missing; 1=A good deal; 2=Quite a lot; 3=Not much; 4=Not at all; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q116","Corruption and Bribery","corruption; bribery; local government; widespread; extent","q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …?","-1=Missing; 1=Hardly anyone is involved; 2=Not a lot of officials are corrupt; 3=Most officials are corrupt; 4=Almost everyone is corrupt; 8=Can't choose; 9=Decline to answer"
"q117","Corruption and Bribery","corruption; bribery; national government; capital city; widespread; extent","q117. How widespread do you think corruption and bribe-taking are in the national government [in capital city]?  Would you say …?","-1=Missing; 1=Hardly anyone is involved; 2=Not a lot of officials are corrupt; 3=Most officials are corrupt; 4=Almost everyone is corrupt; 8=Can't choose; 9=Decline to answer"
"q118","Trust in Government","corruption; bribery; government actions","q118. In your opinion, is the government working to crack down on corruption and root out bribery?","-1=Missing; 1=It is doing its best; 2=It is doing something; 3=It is not doing much; 4=Doing nothing; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q119","Witnessing Corruption","corruption; bribery; witnessing; personal experience; family member; friend","q119. Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? IF WITNESSED: Did you personally witness it or were you told about it by a family member or friend who per","-1=Missing; 0=Not applicable; 1=Witnessed; 2=Never witnessed; 6=No one I know has personally witnessed; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q119_1","Witnessing Corruption","corruption; bribery; witnessing; personal experience","Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? 119_1 Personally witnessed","-1=Missing; 0=Not applicable; 1=Yes; 2=No; 6=N/o one I know has personally witnessed; 7=Do not understand; 8=Can't choose; 9=Decline to answer"
"q119_2","Witnessing Corruption","corruption; bribery; witnessing; told about; family member","Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? 119_2 Told about it by family member","-1=Missing; 0=Not applicable; 1=Yes; 2=No; 6=N/o one I know has personally witnessed; 7=Do not understand; 8=Can't choose; 9=Decline to answer"
"q119_3","Witnessing Corruption","corruption; bribery; witnessing; told about; friend","Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? 119_3 Told about it by friend","-1=Missing; 0=Not applicable; 1=Yes; 2=No; 6=N/o one I know has personally witnessed; 7=Do not understand; 8=Can't choose; 9=Decline to answer"
"q12","Trust in Institutions","civil service; trust level; evaluation","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Civil service","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q120","Political System","democracy; China; scale; evaluation","q120. Remember the scale that we used before: 1 means completely undemocratic and 10 means completely democratic. Where would you place China today on this scale?","-1=Missing; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
"q121","Political System","democracy; United States; scale; evaluation","q121. Where would you place the United States today on this scale?","-1=Missing; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
"q122","Political System","democracy; Japan; scale; evaluation","q122. Where would you place Japan today on this scale?","-1=Missing; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
"q123","Political System","democracy; India; scale; evaluation","q123. Where would you place India today on this scale?","-1=Missing; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
"q124","Political Attitudes","opinion; political system; evaluation","q124. Which of the following statements comes closest to your own opinion?","-1=Missing; 1=Democracy is always preferable to any other kind of governme; 2=Under some circumstances, an authoritarian government can be; 3=For people like me, it does not matter whether we have a dem; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q125","Political Attitudes","opinion; political system; evaluation","q125. Which of the following statements comes closer to your own view?","-1=Missing; 1=Democracy is capable of solving the problems of our society; 2=Democracy cannot solve our society's problems; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q126","Political Attitudes","political ideology; prioritization; economic development; democracy","q126. If you had to choose between democracy and economic development, which would you say is more important?","-1=Missing; 1=Economic development is definitely more important; 2=Economic development is somewhat more important; 3=Democracy is somewhat more important; 4=Democracy is definitely more important; 5=They are both equally important; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q127","Political Attitudes","political ideology; prioritization; economic inequality; political freedom","q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?","-1=Missing; 1=Reducing economic inequality is definitely more important; 2=Reducing economic inequality is somewhat more important; 3=Protecting political freedom is somewhat more important; 4=Protecting political freedom is definitely more important; 5=They are both equally important; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q128","Political Attitudes","political system; evaluation; democracy","q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government.""","-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q129","Political Attitudes","political system; approval/disapproval; parliament; election","q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election","-1=Missing; 1=Strongly approve; 2=Somewhat approve; 3=Somewhat disapprove; 4=Strongly disapprove; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q129a_q131a","Political Attitudes","political system; approval/disapproval; authoritarian options","sum of Q129a_q131a(reject all authoritarian options)","0=0 rejection; 1=1 acceptance/others"
"q13","Trust in Institutions","trust level; military; political system","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The military(or armed forces)","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q130","Political Attitudes","political system; approval/disapproval; single-party system","There are many ways to govern a country. Would you disapprove or approve of the following alternatives? Only one political party should be allowed to stand for election and hold office.","-1=Missing; 1=Strongly approve; 2=Somewhat approve; 3=Somewhat disapprove; 4=Strongly disapprove; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q130a","Political Attitudes","political system; approval/disapproval; single-party system","one poltical party","0=0 rejection; 1=1 acceptance/others"
"q131","Political Participation and Trust","government takeover; approval/disapproval; military involvement","There are many ways to govern a country. Would you disapprove or approve of the following alternatives? The army (military) should come in to govern the country.","-1=Missing; 1=Strongly approve; 2=Somewhat approve; 3=Somewhat disapprove; 4=Strongly disapprove; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q131a","Unknown","","army","0=0 rejection; 1=1 acceptance/others"
"q132","Political Participation and Trust","expert governance; parliamentary system; elections","q132. We should get rid of elections and parliaments and have experts make decisions on behalf of the people.","-1=Missing; 1=Strongly approve; 2=Somewhat approve; 3=Somewhat disapprove; 4=Strongly disapprove; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q133","Political Participation and Civic Engagement","political participation; ability to participate; agreement/disagreement","q133. I have here some statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? I think I have the ability to participate in politics.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q134","Political Complexity and Understanding","political complexity; understanding of government; difficulty","q134. Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q135","Political Participation and Influence","influence over government; lack of influence; powerlessness","q135. People like me don't have any influence over what the government does.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q136","Political Trust and Confidence","trust in government; government trustworthiness; moral character","q136. You can generally trust the people who run our government to do what is right.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q137","Political Loyalty and Patriotism","national loyalty; patriotism; country imperfections","q137. A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q138","Religious Influence and Law","religious authority; law interpretation; government consultation","q138. I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? The government should consult religious authorities when interpreting the laws.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q139","Gender and Political Participation","women in politics; gender roles; political involvement","I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Women should not be involved in politics as much as men.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q14","Trust in Institutions","trust; police","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The police","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q140","Political Participation","education; political representation; equality","q140. People with little or no education should have as much say in politics as highly-educated people.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q141","Political Authority and Leadership","leadership; obedience; family analogy","q141. Government leaders are like the head of a family; we should all follow their decisions.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q141a","Political Authority and Leadership","government leader","government leader","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q141a_q147a","Political Values","authoritarian values; rejection","average rejection of authoritarian values","0=0 acceptance; 1=1 rejection authoritarian values"
"q142","Political Freedom and Censorship","government control; ideas; discussion","q142. The government should decide whether certain ideas should be allowed to be discussed in society.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q142a","Political Freedom and Censorship","certain ideas","certain ideas","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q143","Community Harmony","community harmony; group organization; disruption","q143. Harmony of the community will be disrupted if people organize lots of groups.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q143a","Community Harmony","harmony of the community","Harmony of the community","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q144","Judicial Authority","judges; executive branch; decision making","q144. When judges decide important cases, they should accept the view of the executive branch.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q144a","Trust in Government","judges; government; legislature; supervision; accomplishment","judges","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q145","Trust in Government","government; legislature; monitoring; accomplishment; great things","q145. If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q145a","Trust in Government","legislature; checked; government","checked by the legislature","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q146","Trust in Government","political leaders; morality; decision making; government","q146. If we have political leaders who are morally upright, we can let them decide everything.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q146a","Trust in Government","political leaders; morality; decision making","political leaders","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q147","Social Stability","society; different thinking; chaotic","q147. If people have too many different ways of thinking, society will be chaotic.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q147a","Social Stability","chaotic","chaotic","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q148","Government's Role in Crisis","government; law; difficult situation; disregard","q148. When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q149","Foreign Policy Awareness","foreign countries; world; events; follow","q149. How closely do you follow major events in foreign countries / the world?","-1=Missing; 1=Very closely; 2=Somewhat closely; 3=Not too closely; 4=Very little; 5=Not at all; 8=Can't choose; 9=Decline to answer"
"q15","Public Trust in Institutions","trust; local government","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Local government","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q150","Economic Perception","foreign media consumption; frequency","q150. How often do you watch or listen to foreign programs (television, DVDs, movies, radio)?","-1=Missing; 1=Almost daily; 2=At least once a week; 3=At least once a month; 4=Several times a year; 5=Hardly ever; 6=Never; 8=Can't choose; 9=Decline to answer"
"q151","Political Ideology","national identity; cultural assimilation; defense policy","q151. Our country should defend our way of life instead of becoming more and more like other countries.","-1=Missing; 1=Strongly agree; 2=Somewhat Agree; 3=Somewhat Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q152","Economic Policy","protectionism; import restrictions; domestic industry","q152. Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""","-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q153","Economic Policy","foreign goods impact; local community; economic competition","q153. Do you agree or disagree with the following statement: ""Foreign goods are hurting the local community.""","-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
