variable_id,domain,concepts,question_text,scale_type,scale_points,confidence,needs_reversal,validation_phrase,validation_phrase_occurrences,validation_phrase_score
IR12i,Service Accessibility,"community buildings, meeting spaces",IR12i Any town halls or community buildings that can be used for meetings,binary,2,0.8,True,ir12i any town halls or,1,132.0
IR12k,Service Accessibility,"market stalls, retail infrastructure",IR12k Market stalls (selling groceries and/or clothing),binary,2,0.8,True,ir12k market stalls (selling groceries,1,132.0
IR13,Geographic Location,"country level, spatial awareness",IR13 Which of the following levels within the country the respondent live?,likert_4,4,0.8,False,ir13 which of the following,1,132.0
IR2,Survey Methodology,"questionnaire completion, survey experience",IR2 Is this the first questionnaire you have completed?,binary,2,0.8,True,ir2 is this the first,1,132.0
IR2a,Interviewer Characteristics,interviewer gender,IR2a Interviewer's gender,binary,2,0.8,False,ir2a interviewer's gender,1,132.0
IR2b,Interviewer Characteristics,interviewer age,IR2b Interviewer's Age____,unknown,0,0.0,False,ir2b interviewer's age____,1,132.0
IR2c,Language Use,"language preference, communication",IR2c What kind of language do you normally use at home?,categorical,23,0.8,False,ir2c what kind of language,1,132.0
IR2c_other,Language Use,"language preference, communication","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present?",binary,2,0.8,True,ir2c_other variable: ir3 question: ir3,7,7.127330062459714
IR3a_1,Interview Environment,"presence of others, social context","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_1 Respondent's spouse",binary,2,0.8,True,"respondent, were others present? ir3a_1",1,132.0
IR3a_2,Interview Conduct,"children, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_2 Children",binary,2,0.8,True,"respondent, were others present? ir3a_2",1,132.0
IR3a_3,Interview Conduct,"parents or parents-in-law, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_3 Parents or parents-in-law",binary,2,0.8,True,"respondent, were others present? ir3a_3",1,132.0
IR3a_4,Interview Conduct,"neighbors or passersby, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_4 Neighbors/passers by",binary,2,0.8,True,"respondent, were others present? ir3a_4",1,132.0
IR3a_5,Interview Conduct,"party or government official, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_5 Party/government official",binary,2,0.8,True,"respondent, were others present? ir3a_5",1,132.0
IR3a_6_other,Interview Conduct,"other presence, presence of others","IR2c_other 

Variable: IR3 
  Question: IR3 In the interview, other than the respondent, were others present? IR3a_6_other",binary,2,0.8,True,"respondent, were others present? ir3a_6_other",1,132.0
IR3a_6_other_clarify,Unknown,,"IR3a_other_clarify 

Variable: IR4 
  Question: IR4 Has the respondent ever refused to be interviewed during the whole process?",likert_4,4,0.8,True,ir3a_other_clarify variable: ir4 question: ir4,1,132.0
IR5,Interview Conduct,"impatience during interview, interview experience",IR5 Has the respondent ever felt impatient during the interview?,likert_4,4,0.8,False,ir5 has the respondent ever,1,132.0
IR6,Interview Conduct,"cooperation level, interview experience",IR6 How cooperative was the respondent during the interview?,likert_3,3,0.8,False,how cooperative was the respondent,1,132.0
IR7,Interview Conduct,"sincerity when answering sensitive questions, interview experience",IR7 How sincere was the respondent when answering sensitive questions?,likert_4,4,0.8,False,how sincere was the respondent,1,132.0
IR8,Interview Conduct,"difficulty in answering questions, interview experience",IR8 What proportion of the questions do you feel the respondent had difficulty answering?,likert_5,5,0.8,False,what proportion of the questions,1,132.0
LEVEL,Unknown,,Rural or urban,binary,2,0.8,False,rural or urban,1,132.0
SE10_1,Economic Perception,"employment status, economic condition",SE10_1 Is the main earner in your household currently employed?,binary,2,0.8,False,se10_1 is the main earner,1,132.0
SE10a,Economic Perception,"employment type, economic condition","SE10a Is he or she currently self-employed, working in a family business, or working for an outside employer?",likert_4,4,0.8,False,se10a is he or she,1,132.0
SE10b,Economic Perception,"business size, economic condition",SE10b How many people do his or her business employ?,ordinal,4,0.5,False,se10b how many people do,1,132.0
SE10c,Economic Perception,"job type, economic condition",SE10c Here is a list of different types of jobs. Which type of job does he/she have now?,scale_10,10,0.8,False,se10c here is a list,1,132.0
SE10d,Economic Perception,"employment status, economic condition",SE10d Is he or she currently seeking employment?,likert_3,3,0.8,True,se10d is he or she,1,132.0
SE10e,Economic Perception,"employment status, economic condition",SE10e What is his or her current status?,likert_6,6,0.8,False,se10e what is his or,1,132.0
SE10eother,Economic Perception,"employment status, economic condition","SE10eother 

Variable: SE11 
  Question: SE11 What language do you speak the most in the home?",likert_5,5,0.8,False,se10eother variable: se11 question: se11,1,132.0
SE11a,Demographic Characteristics,"racial or ethnic background, identity",SE11a What is your racial or ethnic background?,categorical,101,0.8,False,se11a what is your racial,1,132.0
SE11aother,Demographic Characteristics,"racial or ethnic background, identity","SE11aother 

Variable: SE12 
  Question: SE12 SUBJECTIVE SOCIAL STATUS",scale_10,10,0.8,False,se11aother variable: se12 question: se12,1,132.0
SE13a,Unknown,,SE13a Where would you put yourself on the staircase?,scale_10,10,0.8,False,se13a where would you put,2,46.66904755831214
SE13b,Unknown,,SE13a Where would you put yourself on the staircase? SE13b Where would you put your parents on the staircase?,scale_10,10,0.8,False,yourself on the staircase? se13b,1,132.0
SE13c,Unknown,,SE13c Where do you think your children will be?,scale_10,10,0.8,False,think your children will be?,1,132.0
SE14,Unknown,,SE14 Monthly household income,likert_5,5,0.8,False,se14 monthly household income,1,132.0
SE14a,Unknown,,SE14a Does the total income of your household allow you to satisfactorily cover your needs?,ordinal,6,0.5,False,se14a does the total income,1,132.0
SE15a,Unknown,,SE15a Do you or your family own the following: Car/Jeep/Van?<optional>,binary,2,0.8,True,you or your family own,1,132.0
SE15a_1,Unknown,,SE15a_1 How many?<optional>,unknown,0,0.0,False,se15a_1 how many?<optional>,1,132.0
SE15b,Unknown,,SE15b Tractor<optional>,binary,2,0.8,True,se15b tractor<optional>,1,92.4
SE15c,Unknown,,SE15c Color or B/W Television (Non-Cable)<optional>,binary,2,0.8,True,se15c color or b/w television,1,132.0
SE15d,Unknown,,SE15d Cable Television<optional>,binary,2,0.8,True,se15d cable television<optional>,1,132.0
SE15e,Unknown,,SE15e Scooter/Motorcycle/Moped<optional>,binary,2,0.8,True,se15e scooter/motorcycle/moped<optional>,1,92.4
SE15f,Unknown,,SE15f Telephone (Landline)<optional>,binary,2,0.8,True,se15f telephone (landline)<optional>,1,132.0
SE15g,Unknown,,SE15g Mobile Telephone<optional>,binary,2,0.8,True,se15g mobile telephone<optional>,1,132.0
SE15h,Unknown,,SE15h Electric Fan/Cooler<optional>,binary,2,0.8,True,se15h electric fan/cooler<optional>,1,132.0
SE15i,Unknown,,SE15i Bicycle<optional>,binary,2,0.8,True,se15i bicycle<optional>,1,92.4
SE15j,Unknown,,SE15j Radio/Transistor<optional>,binary,2,0.8,True,se15j radio/transistor<optional>,1,92.4
SE15k,Unknown,,SE15k Pumping Set<optional>,binary,2,0.8,True,se15k pumping set<optional>,1,132.0
SE15l,Unknown,,SE15l Fridge<optional>,binary,2,0.8,True,se15l fridge<optional>,1,92.4
SE15m,Unknown,,SE15m Camera<optional>,binary,2,0.8,True,se15m camera<optional>,1,92.4
SE15n,Unknown,,SE15n Goats/Sheep<optional>,binary,2,0.8,True,se15n goats/sheep<optional>,1,92.4
SE15n_1,Service Accessibility,"service availability, cattle, count",SE15n_1 How many?<optional>,unknown,0,0.0,False,se15n_1 how many?<optional>,1,132.0
SE15o,Service Accessibility,"service availability, cattle, type",SE15o Cows/Buffalo<optional>,binary,2,0.8,True,se15o cows/buffalo<optional>,1,92.4
SE15o_1,Service Accessibility,"service availability, cattle, count",SE15o_1 How many?<optional>,unknown,0,0.0,False,se15o_1 how many?<optional>,1,132.0
SE15p,Service Accessibility,"service availability, internet connection, availability",SE15p Internet Connection at home<optional>,binary,2,0.8,True,se15p internet connection at home<optional>,1,132.0
SE15q,Service Accessibility,"service availability, boat, type",SE15q Boat<optional>,binary,2,0.8,True,se15q boat<optional>,1,92.4
SE15q_1,Service Accessibility,"service availability, boat, count",SE15q_1 How many?<optional>,unknown,0,0.0,False,se15q_1 how many?<optional>,1,132.0
SE2,Demographics,"social characteristic, gender",SE2 Gender,binary,2,0.8,False,se2 gender,1,92.4
SE3,Demographics,"social characteristic, birth year",SE3 Birth year,unknown,0,0.0,False,se3 birth year,1,132.0
SE3_1,Demographics,"social characteristic, age",SE3_1 Actual age,unknown,0,0.0,False,se3_1 actual age,1,132.0
SE4,Demographics,"social characteristic, marital status",SE4 MARITAL STATUS,likert_6,6,0.8,False,se4 marital status,1,132.0
SE5,Education,"education level, formal education",SE5 EDUCATION,scale_10,10,0.8,False,se5 education,1,92.4
SE5a,Education,"education level, years of education",SE5a How many years of formal education you have received?,unknown,0,0.0,False,how many years of formal,1,132.0
SE6,Religion,"religion, affiliation",SE6 Religion,categorical,17,0.8,False,se6 religion,1,92.4
SE6other,Religion,"religion, affiliation, other","SE6. Other specify responses 

Variable: SE7 
  Question: SE7 RELIGIOSITY: About how often do you practice religious services or rituals these days?",scale_10,10,0.8,False,se6. other specify responses variable:,1,132.0
SE7a,Religion,"self-description, religiosity",SE7a How would you describe yourself?,likert_4,4,0.8,False,se7a how would you describe,1,132.0
SE8a,Household Size,"household size, number of people",SE8a How many people live in this household?,unknown,0,0.0,False,se8a how many people live,1,132.0
SE8b,Household Size,"household size, generations",SE8b How many generations of family members live in this household?,ordinal,5,0.5,False,how many generations of family,1,132.0
SE9,Employment,"employment status, current employment",SE9 Are you currently employed?,binary,2,0.8,False,se9 are you currently employed?,1,132.0
SE9a,Employment,"self-employment, business ownership",SE9a Are you currently self-employed?,likert_4,4,0.8,False,se9a are you currently self-employed?,1,132.0
SE9b,Employment,"business size, number of employees",SE9b How many people does your business employ?,ordinal,4,0.5,False,se9b how many people does,1,132.0
SE9c,Employment Status,"job type, current employment",SE9c Here is a list of different types of jobs. Which type of job do you have now?,scale_10,11,0.8,False,se9c here is a list,1,132.0
SE9d,Employment Status,"employment status, job seeking",SE9d Are you currently seeking employment?,likert_3,3,0.8,True,se9d are you currently seeking,1,132.0
SE9e,Employment Status,"current status, employment status",SE9e What is your current status?,likert_6,6,0.8,False,se9e what is your current,1,132.0
SE9eother,Employment Status,"current status, employment status","SE9e. Other specify responses 

Variable: SE10 
  Question: SE10 Are you the main earner in your household?",binary,2,0.8,True,se9e. other specify responses variable:,1,132.0
Se10c_3,Unknown,,SE10c_3 Extended application. Elite vs. Mass,binary,2,0.8,False,se10c_3 extended application. elite vs.,1,132.0
Se10c_4,Unknown,,SE10c_4 Extended application. White vs. blue collar,binary,2,0.8,False,se10c_4 extended application. white vs.,1,132.0
Se9c_3,Unknown,,SE9c_3 Extended application. Elite vs. Mass,binary,2,0.8,False,se9c_3 extended application. elite vs.,1,132.0
Se9c_4,Unknown,,SE9c_4 Extended application. White vs. blue collar,binary,2,0.8,False,se9c_4 extended application. white vs.,1,132.0
YEAR,Survey Administration,"interview year, survey timing","Interview year 

Variable: MONTH 
  Question: Interview month",categorical,12,0.8,False,interview year variable: month question:,1,132.0
q1,Economic Perception,"economic condition, national level, current evaluation",1 How would you rate the overall economic condition of our country today?,likert_5,5,0.8,True,1 how would you rate,1,132.0
q10,Political Perception,"political parties, evaluation, general perception",10 Political parties [not any specific party],likert_4,4,0.8,True,10 political parties [not any,1,132.0
q100,Election and Governance,"elections, government accountability, citizen participation","99 Citizens are able to remove a government they don't like through elections. 100  In our country, parties and candidates not in power have opportunities to be elected into government.",likert_4,4,0.8,False,don't like through elections. 100,1,132.0
q101,Election and Governance,"government accountability, responsibility, temporal comparison","99 Citizens are able to remove a government they don't like through elections. 101  Between elections, the people have no way of holding the government responsible for its actions.",likert_4,4,0.8,False,don't like through elections. 101,1,132.0
q102,Judicial Independence,"judicial independence, rule of law, government accountability","99 Citizens are able to remove a government they don't like through elections. 102  When government leaders break the laws, there is nothing the court can do.",likert_4,4,0.8,False,don't like through elections. 102,1,132.0
q103,Ethnic Equality,"equality, treatment, ethnic communities",99 Citizens are able to remove a government they don't like through elections. 103  All citizens from different ethnic communities in the [Country X] are treated equally by the government.,likert_4,4,0.8,False,don't like through elections. 103,1,132.0
q104,Social Equality,"equality, treatment, income inequality",99 Citizens are able to remove a government they don't like through elections. 104  Rich and poor people are treated equally by the government.,likert_4,4,0.8,False,don't like through elections. 104,1,132.0
q105,Basic Needs Satisfaction,"basic needs, satisfaction, living standards","99 Citizens are able to remove a government they don't like through elections. 105  People have basic necessities like food, clothes, and shelter.",likert_4,4,0.8,False,don't like through elections. 105,1,132.0
q106,Freedom of Speech,"freedom of speech, expression, government control",99 Citizens are able to remove a government they don't like through elections. 106  People are free to speak what they think without fear.,likert_4,4,0.8,False,don't like through elections. 106,1,132.0
q107,Freedom of Association,"freedom of association, organization, government control",99 Citizens are able to remove a government they don't like through elections. 107  People can join any organization they like without fear.,likert_4,4,0.8,False,don't like through elections. 107,1,132.0
q108,Government Transparency,"transparency, information, government accountability",108 How often do government officials withhold important information from the public?,likert_5,5,0.8,True,108 how often do government,2,46.66904755831214
q109,Trust in Government,"government transparency, official behavior, public perception",108 How often do government officials withhold important information from the public? 109 How often do you think government leaders break the law or abuse their power?,likert_5,5,0.8,True,information from the public? 109,1,132.0
q11,Government Institutions,"parliament, government structure",11 Parliament,likert_4,4,0.8,True,11 parliament,1,92.4
q110,Trust in Government,"election fairness, party choice, democratic process",110 How often do you think our elections offer the voters a real choice between different parties/candidates?,likert_4,4,0.8,True,110 how often do you,1,132.0
q111,Trust in Government,"legislative power, government accountability, checks and balances",111 To what extent is the legislature capable of keeping government leaders in check?,likert_4,4,0.8,False,111 to what extent is,1,132.0
q112,Trust in Government,"government responsiveness, public needs, citizen satisfaction",112 How well do you think the government responds to what people want?,likert_4,4,0.8,False,you think the government responds,1,132.0
q113,Trust in Government,"election impact, government accountability, responsive governance",113 How much do you feel that having elections make the government more responsive to people's needs?,likert_4,4,0.8,True,you feel that having elections,1,132.0
q114,Trust in Government,"government effectiveness, policy implementation, law enforcement",114 How capable is the government of enforcing laws and implementing policies?,likert_4,4,0.8,False,how capable is the government,1,132.0
q115,Corruption Perception,"corruption prevalence, bribery, governmental corruption",115 How widespread do you think corruption and bribe-taking are in your local/municipal government?,likert_5,5,0.8,False,115 how widespread do you,2,46.66904755831214
q116,Corruption Perception,"corruption prevalence, bribery, governmental corruption",115 How widespread do you think corruption and bribe-taking are in your local/municipal government? 116 How widespread do you think corruption and bribe-taking are in the national government?,likert_5,5,0.8,False,your local/municipal government? 116 how,1,132.0
q117,Corruption Perception,"corruption crackdown, government effectiveness, anti-corruption efforts",117 How effective is the government in cracking down on corruption?,likert_4,4,0.8,False,how effective is the government,1,132.0
q118,Corruption and Governance,"corruption, bribery, government accountability",118 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,binary,2,0.8,True,118 have you or anyone,1,132.0
q119a,Corruption and Governance,"personal experience, witness, information source",119a Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Personally witnessed,binary,2,0.8,True,friend who personally witnessed? personally,1,132.0
q119b,Corruption and Governance,"personal experience, witness, information source",119a Did you personally witness it or were you told about it by a family member or friend who personally witnessed? 119b Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a family member who personally witnessed,binary,2,0.8,True,friend who personally witnessed? 119b,1,132.0
q119c,Corruption and Governance,"personal experience, witness, information source",119a Did you personally witness it or were you told about it by a family member or friend who personally witnessed? 119c Did you personally witness it or were you told about it by a family member or friend who personally witnessed? Told about it by a friend who personally witnessed,binary,2,0.8,True,friend who personally witnessed? 119c,1,132.0
q12,Public Service,"civil service, public administration",12 Civil Service,likert_4,4,0.8,True,12 civil service,1,132.0
q120,Economic Perception,"economic condition, national level, current evaluation",120 Where would you place China today on this scale?,ordinal,2,0.5,False,120 where would you place,4,16.5
q121,Economic Perception,"economic condition, national level, current evaluation",120 Where would you place China today on this scale? 121 Where would you place the United States of America today on this scale?,ordinal,2,0.5,False,today on this scale? 121,1,132.0
q122,Economic Perception,"economic condition, national level, current evaluation",120 Where would you place China today on this scale? 122 Where would you place Japan today on this scale?,ordinal,2,0.5,False,today on this scale? 122,1,132.0
q123,Economic Perception,"economic condition, national level, current evaluation",120 Where would you place China today on this scale? 123 Where would you place India today on this scale?,ordinal,2,0.5,False,today on this scale? 123,1,132.0
q124,Economic Perception,"economic condition, national level, current evaluation",124 Which of the following statements comes closest to your own opinion?,likert_3,3,0.8,True,124 which of the following,1,132.0
q125,Political Perception,"evaluation, temporal comparison, personal view",125 Which of the following statements comes closer to your own view?,binary,2,0.8,False,125 which of the following,1,132.0
q126,Value Prioritization,"democracy, economic development, value comparison","126 If you had to choose between democracy and economic development, which would you say is more important?",likert_5,5,0.8,False,had to choose between democracy,1,132.0
q127,Value Prioritization,"economic inequality, political freedom, value comparison","127 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",likert_5,5,0.8,False,had to choose between reducing,1,132.0
q128,Political Perception,"democracy, evaluation, government form","128 Do you agree or disagree with the following statement: 'Democracy may have its problems, but it is still the best form of government's?",likert_4,4,0.8,False,128 do you agree or,1,132.0
q129,Political System,"leadership, parliament, elections",129 We should get rid of parliament and elections and have a strong leader to decide things.,likert_4,4,0.8,False,129 we should get rid,4,16.5
q13,Unknown,,13 The military or armed forces,likert_4,4,0.8,True,13 the military or armed,1,132.0
q130,Political System,"single-party system, elections, office holding",129 We should get rid of parliament and elections and have a strong leader to decide things. 130 Only one political party is allowed to stand for election and hold office.,likert_4,4,0.8,False,leader to decide things. 130,1,132.0
q131,Military Intervention,"military, governance, country",129 We should get rid of parliament and elections and have a strong leader to decide things. 131 The army (military) should come in to govern the country.,likert_4,4,0.8,False,leader to decide things. 131,1,132.0
q132,Expert Governance,"experts, decision making, representation",129 We should get rid of parliament and elections and have a strong leader to decide things. 132 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,likert_4,4,0.8,False,leader to decide things. 132,1,132.0
q133,Political Participation,"participation, politics, ability",133 I think I have the ability to participate in politics.,likert_4,4,0.8,False,133 i think i have,5,11.806438921198891
q134,Trust in Government,"participation in politics, perceived complexity, understanding",133 I think I have the ability to participate in politics. 134 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.,likert_4,4,0.8,False,participate in politics. 134 sometimes,1,132.0
q135,Trust in Government,"participation in politics, influence, perceived powerlessness",133 I think I have the ability to participate in politics. 135 People like me don't have any influence over what the government does.,likert_4,4,0.8,False,participate in politics. 135 people,1,132.0
q136,Trust in Government,"trust, government integrity",133 I think I have the ability to participate in politics. 136 You can generally trust the people who run our government to do what is right.,likert_4,4,0.8,False,participate in politics. 136 you,1,132.0
q137,National Identity,"loyalty, patriotism, nationalism","133 I think I have the ability to participate in politics. 137 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",likert_4,4,0.8,False,politics. 137 a citizen should,1,132.0
q138,Health Perception,"Covid-19, personal health experience",138 Have you or your family members previously contracted the Covid-19 virus?,binary,2,0.8,True,you or your family members,1,132.0
q139a,Health Perception,"serious illness or death, personal health experience",139a Did you or a member of your family suffer from serious illness or death?,binary,2,0.8,True,member of your family suffer,4,16.5
q139b,Economic Perception,"job loss, economic hardship",139a Did you or a member of your family suffer from serious illness or death? 139b Did you or a member of your family suffer from loss of job,binary,2,0.8,True,serious illness or death? 139b,1,132.0
q139c,Economic Perception,"household income, economic hardship",139a Did you or a member of your family suffer from serious illness or death? 139c Did you or a member of your family suffer from loss of household income?,binary,2,0.8,True,serious illness or death? 139c,1,132.0
q139d,Economic Perception,"education disruption, economic hardship",139a Did you or a member of your family suffer from serious illness or death? 139d Did you or a member of your family suffer from disruption of my kids' education?,binary,2,0.8,True,serious illness or death? 139d,1,132.0
q14,Law Enforcement Perception,police,14 The police,likert_4,4,0.8,True,14 the police,1,132.0
q140,Covid-19 Impact on Livelihood,"livelihood, covid-19 impact, temporal comparison","140 Thinking of the negative impact of Covid-19 on your family's livelihood, how serious it is in your view?",ordinal,5,0.5,False,140 thinking of the negative,1,132.0
q141,Government Information Trust,"government information, trust, evaluation",141 How much do you trust the Covid-19 related information provided by the government?,likert_5,5,0.8,True,do you trust the covid-19,1,132.0
q142,Government Handling of Pandemic,"government handling, pandemic, evaluation",142 How well or badly do you think the government handled the pandemic?,likert_4,4,0.8,False,142 how well or badly,1,132.0
q143a,Government Response to Public Health Challenges,"government response, public health challenges, evaluation","143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections?",likert_3,3,0.8,True,143awhen there is a public,5,11.806438921198891
q143b,Government Response to Public Health Challenges,"government response, public health challenges, evaluation, freedom of speech","143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections? 143b To limit freedom of speech or assembly",likert_3,3,0.8,True,government to postpone elections? 143b,1,132.0
q143c,Government Response to Public Health Challenges,"government response, public health challenges, evaluation, media censorship","143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections? 143c To censor the media",likert_3,3,0.8,True,government to postpone elections? 143c,1,132.0
q143d,Government Response to Public Health Challenges,"government response, public health challenges, evaluation, location tracking","143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections? 143d To track citizens’ locations at all times",likert_3,3,0.8,True,government to postpone elections? 143d,1,132.0
q143e,Government Response to Public Health Challenges,"government response, public health challenges, evaluation, lockdown","143aWhen there is a public health challenge like the coronavirus, is it justifiable for the government to postpone elections? 143e To impose a lockdown for a long time",likert_3,3,0.8,True,government to postpone elections? 143e,1,132.0
q144,Covid-19 Vaccination,"covid-19 vaccination, vaccination status",144 Have you been vaccinated against Covid-19?,likert_5,5,0.8,True,144 have you been vaccinated,1,132.0
q145,Reasons for Not Being Vaccinated,"vaccination refusal, reasons for not being vaccinated",145 Why do you prefer not to be vaccinated against Covid-19?,likert_6,6,0.8,False,145 why do you prefer,1,132.0
q145other,Unknown,,"145. Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men",likert_4,4,0.8,False,145. other specify responses variable:,1,132.0
q147,Social Attitudes and Politics,"role of religion in government, separation of church and state","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 147 The government should consult religious authorities when interpreting the laws.",likert_4,4,0.8,False,as much as men 147,1,132.0
q148,Social Attitudes and Politics,"education and politics, equality of voting rights","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 148 People with little or no education should have as much say in politics as highly-educated people.",likert_4,4,0.8,False,as much as men 148,1,132.0
q149,Social Attitudes and Politics,"leadership and authority, obedience to authority","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 149 Government leaders are like the head of a family; we should all follow their decisions.",likert_4,4,0.8,False,as much as men 149,1,132.0
q15,Government and Politics,"local government, municipal administration",15 Local government,likert_4,4,0.8,True,15 local government,1,132.0
q150,Social Attitudes and Politics,"censorship and free speech, government control of ideas","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 150 The government should decide whether certain ideas should be allowed to be discussed in society.",likert_4,4,0.8,False,as much as men 150,1,132.0
q151,Social Attitudes and Politics,"group organization and community harmony, collective rights","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 151 Harmony of the community will be disrupted if people organize lots of groups.",likert_4,4,0.8,False,as much as men 151,1,132.0
q152,Social Attitudes and Politics,"judicial independence, executive power","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 152 When judges decide important cases, they should accept the view of the executive branch.",likert_4,4,0.8,False,as much as men 152,1,132.0
q153,Social Attitudes and Politics,"separation of powers, executive-legislative relations","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 153 If the government is constantly checked by the legislature, it cannot possibly accomplish great things.",likert_4,4,0.8,False,as much as men 153,1,132.0
q154,Social Attitudes and Politics,"leadership and morality, authoritarianism","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 154 If we have political leaders who are morally upright, we can let them decide everything.",likert_4,4,0.8,False,as much as men 154,1,132.0
q155,Social Perception,"social role, gender equality, evaluation","Other specify responses 

Variable: q146 
  Question: 146 I have here other statements: Women should not be involved in politics as much as men 155 If people have too many different ways of thinking, society will be chaotic.",likert_4,4,0.8,False,as much as men 155,1,132.0
q156,Globalization and Trade,"country development, international cooperation, evaluation",156 Choose one statement.,binary,2,0.8,False,156 choose one statement.,1,132.0
q156_1,Globalization and Trade,"country development, international cooperation, evaluation",156_1 Our country should do more to learn from other countries(q156+q156a),likert_4,4,0.8,False,156_1 our country should do,1,132.0
q156a,Globalization and Trade,"country development, international cooperation, evaluation, strength of agreement",156a Do you strongly agree or just agree with the chosen statement?,binary,2,0.8,False,156a do you strongly agree,1,132.0
