wave,variable_id,question_type,scale_type,scale_points,max_value,missing_codes,distinctive_keyword,question_text
W4,q111,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,withhold,111 How often do government officials withhold important information from the public view?
W4,q112,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,abuse,112 How often do you think government leaders break the law or abuse their power?
W4,q113,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,offer,113 How often do you think our elections offer the voters a real choice between different parties/ca...
W4,q116,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,having,116 How much do you feel that having elections makes the government pay attention to what the people...
W4,q12,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,civil,What do you think the economic situation of your family will be a few years from now? 12 Civil servi...
W4,q125,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,closest,125 Which of the following statements comes closest to your own opinion?
W4,q13,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,military,What do you think the economic situation of your family will be a few years from now? 13 The militar...
W4,q14,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,police,What do you think the economic situation of your family will be a few years from now? 14 The police
W4,q15,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,local,What do you think the economic situation of your family will be a few years from now? 15 Local gover...
W4,q16,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,newspaper,What do you think the economic situation of your family will be a few years from now? 16 Newspaper
W4,q169,core_questionnaire,likert_6,6,6,-1; 7; 8; 9,speaking,"169 General speaking, the influence China has on our country is?"
W4,q17,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,television,What do you think the economic situation of your family will be a few years from now? 17 Television
W4,q171,core_questionnaire,likert_6,6,6,-1; 7; 8; 9,speaking,"171 General speaking, the influence the United States has on our country is?"
W4,q18,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,commission,What do you think the economic situation of your family will be a few years from now? 18 The electio...
W4,q19,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,organizations,What do you think the economic situation of your family will be a few years from now? 19 Non-governm...
W4,q23,core_questionnaire,binary,2,2,-1; 7; 8; 9,trusted,"23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with..."
W4,q26,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,relatives,26. How much do you trust your relatives?
W4,q27,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,neighbors,27. Trust your neighbors
W4,q28,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,interact,28. Trust other people you interact with
W4,q33,core_questionnaire,binary,2,2,-1; 7; 8; 9,national,33 Did you vote in the last national election?
W4,q35,core_questionnaire,binary,2,2,-1; 7; 8; 9,attend,35. Did you attend a campaign meeting or rally?
W4,q36,core_questionnaire,binary,2,2,-1; 7; 8; 9,persudae,36. Try to persudae others to vote for a certain candidate or party?
W4,q37,core_questionnaire,binary,2,2,-1; 7; 8; 9,anything,37. Did you do anything else to help out or work for a party or candidate running in the last nation...
W4,q4,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,today,"4. As for your own family, how do you rate the economic situation of your family today?"
W4,q46,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,discuss,"46. When you get together with your family members or friends, how often do you discuss political ma..."
W4,q47,core_questionnaire,binary,2,2,-1; 7; 8; 9,access,47. Do you have Internet access at home?
W4,q48,core_questionnaire,binary,2,2,-1; 7; 8; 9,mobile,48. Do you have Internet access on a mobile phone?
W4,q50,core_questionnaire,binary,2,2,-1; 7; 8; 9,networks,50. Do you currently use any of the following social media networks?
W4,q7,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,excutive,What do you think the economic situation of your family will be a few years from now? 7 Trust in the...
W4,q8,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,courts,What do you think the economic situation of your family will be a few years from now? 8 The courts
W4,q9,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,capital,What do you think the economic situation of your family will be a few years from now? 9 National gov...
W4,se10,socioeconomic,ordinal,3,8,-1; 9,earner,se10.  Are you the main earner in your household?
W4,se10d,socioeconomic,likert_3,3,3,-1; 7; 8; 9,se10d,se10d Is he or she currently seeking employment?
W4,se15a,socioeconomic,binary,2,2,-1; 9,se15a,se15a Do your family own the following? Car/Jeep
W4,se15b,socioeconomic,binary,2,2,-1; 9,se15b,se15b Tractor
W4,se15c,socioeconomic,binary,2,2,-1; 9,se15c,se15c Color or B/W television
W4,se15d,socioeconomic,binary,2,2,-1; 9,se15d,se15d Cable TV
W4,se15e,socioeconomic,binary,2,2,-1; 9,se15e,se15e Scooter/motorcycle/moped
W4,se15f,socioeconomic,binary,2,2,-1; 9,se15f,se15f Telephone
W4,se15g,socioeconomic,binary,2,2,-1; 9,se15g,se15g Mobile phone
W4,se15h,socioeconomic,binary,2,2,-1; 9,se15h,se15h Electric fan/cooler
W4,se15i,socioeconomic,binary,2,2,-1; 9,se15i,se15i Bicycle
W4,se15j,socioeconomic,binary,2,2,-1; 9,se15j,se15j Radio/transistor
W4,se15k,socioeconomic,binary,2,2,-1; 9,se15k,se15k pumping set
W4,se15l,socioeconomic,binary,2,2,-1; 9,se15l,se15l Fridge
W4,se15m,socioeconomic,binary,2,2,-1; 9,se15m,se15m Camera
W4,se15n,socioeconomic,binary,2,2,-1; 9,se15n,se15n Goats/sheep
W4,se15o,socioeconomic,binary,2,2,-1; 9,se15o,se15o Cows/Buffalo
W4,se9d,socioeconomic,likert_3,3,3,-1; 7; 8; 9,seeking,se9d Are you currently seeking employment?
