variable_id,domain,concepts,question_text,value_labels,validation_phrase,validation_phrase_occurrences,validation_phrase_score
ir2,Unknown,,Is this the first questionnaire interviewers have completed?,1=Yes; 2=No; 8=Not the first interviewer,this the first,1,100.0
ir2a,Unknown,,Interviewer's gender,0=Not applicable/Not the first interview; 1=Male; 2=Female,interviewer's gender,1,80.0
ir2b,Unknown,,Interviewer's age,90=Not applicable/Not the first interview; 99=Decline to answer,interviewer's age,1,80.0
ir3,Unknown,,"In the interview, other than the respondents, were others present?",0=Can't determine; 1=Yes; 2=No,"in the interview,",1,100.0
ir3a_1,Unknown,,Spouse,0=Not applicable; 1=Yes; 2=No,spouse,1,50.0
ir3a_2,Unknown,,Children,0=Not applicable; 1=Yes; 2=No,children,11,10.0
ir3a_3,Unknown,,Parents or parents in law,0=Not applicable; 1=Yes; 2=No,parents or parents,1,100.0
ir3a_4,Unknown,,Neighbors/Passers by,0=Not applicable; 1=Yes; 2=No,neighbors/passers by,1,80.0
ir3a_5,Unknown,,Party/Government Official,0=Not applicable; 1=Yes; 2=No,party/government official,1,80.0
ir3a_6,Unknown,,Others,0=Not applicable; 1=Yes; 2=No,others,5,10.0
ir4,Unknown,,Has the respondent ever refused to be interviewed during the whole process?,0=Can't determine; 1=Yes. Right at the beginning of the interview; 2=Yes. In the middle of the interview; 3=Yes. Towards the end of the interview; 4=Never,respondent ever refused,1,100.0
ir5,Unknown,,Has the respondent ever felt impatient during the interview?,0=Can't determine; 1=Never; 2=Occasionally; 3=Sometimes; 4=Always,respondent ever felt,1,100.0
ir6,Unknown,,How cooperative was the respondent during the interview?,0=Can't determine; 1=Highly cooperative; 2=Fairly cooperative; 3=Not very cooperative,how cooperative was,1,100.0
ir7,Unknown,,How sincere was the respondent when answering sensitive questions?,0=Can't determine; 1=Highly sincerely; 2=Fairly sincere; 3=Not very sincere; 4=HIghly insincerely,how sincere was,1,100.0
ir8,Unknown,,What proportion of the questions do you feel the respondent had difficulty answering?,0=Can't determine; 1=All; 2=Most; 3=Some; 4=Few; 5=None,what proportion of,1,100.0
ir9_1,Unknown,,Date of interview: month,1=January; 2=February; 3=March; 4=April; 5=May; 6=June; 7=July; 8=August; 9=September; 10=October; 11=November; 12=December,of interview: month,1,100.0
ir9_2,Unknown,,"Date of interview: day 

Variable: ir9_3 
  Question: Date of interview: year 

Variable: ir10a 
  Question: Was the interview conducted with the assistance of an interpreter?",0=Can't determine; 1=Yes; 2=No,of interview: day,1,100.0
irII13c,Unknown,,C.  Police station,0=No; 1=Yes; 3=Not sure; 7=Not applicable; 9=Can't determine,c. police station,1,100.0
q1,Unknown,,How would you rate the overall economic condition of our country today?,1=Very bad; 2=Bad; 3=So so (not good nor bad); 4=Good; 5=Very good; 8=Can't choose; 9=Decline to answer,rate the overall,1,100.0
q10,Unknown,,Trust in Political parties,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in political,1,100.0
q100,Unknown,,"In your opinion, what are the most important questions facing the country that government should address?","0=No answer; 100=Economics; 110=Management of the economy, economic development; 120=Wages, incomes and salaries (or income gap) , pension; 130=Unemployment; 140=Poverty and destitution; 150=Rates and taxes; 160=Loans, credit, debt; 170=Land privatization; 180=Inflation; 190=International Trade, globalization; 191=Basic necessities (price of rice, fuel, spicy. etc); 200=Food / Agriculture / Environment; 210=Farming/ agriculture/ fishing/ Animal husbandry; 220=Food shortage/famine; 230=Natural disaster (drought, flood, earthquake, hurricane, etc; 240=Land; 250=Environment; 260=Natural resources; 300=Infrastructure; 310=Transportation; 320=Communications; 330=Infrastructure / roads; 400=Government Services; 410=Education, educational fee; 420=Science and technology; 430=Housing; 440=Electricity; 450=Water supply; 460=Orphans/street children/homeless children; 470=Social security, social welfare; 480=Services (other); 500=Health; 510=Health (medical care); 520=AIDS (and other transmissible diseases); 530=Sickness / Disease; 540=Public health, hygiene; 550=Food and drug safety; 600=Governance; 610=Crime and Security; 620=Corruption; 630=Political violence; 640=Political instability/political divisions/ ethnic tensions; 650=Discrimination/ inequality; 660=Gender issues/women's rights, children's rights; 670=Democracy/political rights, protection of rights; 680=Malfunction of political institutions; 690=Government efficiency; 691=Constitution; 692=Budget deficit; 693=Judiciary; 694=Administrative procedure; 695=Public service independence from politics; 696=Irresponsible leader/government; 700=General Social and Political Conditions; 710=Immigration; 720=Social anomaly (suicide, divorce, moral breakdown); 730=Aging population, fewer children; 740=Growth of population; 750=Cultural problems under social change; 751=Religion problem; 752=Culture preservation; 760=War (international); 770=Civil war; 780=External relations (foreign relations); 790=Terrorism; 791=National defense; 800=Country-Specific Problems; 990=Nothing/ no problems; 991=No further reply; 995=Other issues; 996=Unclassifiable, inconceivable; 998=Can't choose; 999=Decline to answer","your opinion, what",3,19.245008972987524
q101,Unknown,,"In your opinion, what are the most important questions facing the country that government should address? Second Response","0=No answer; 100=Economics; 110=Management of the economy, economic development; 120=Wages, incomes and salaries (or income gap) , pension; 130=Unemployment; 140=Poverty and destitution; 150=Rates and taxes; 160=Loans, credit, debt; 170=Land privatization; 180=Inflation; 190=International Trade, globalization; 191=Basic necessities (price of rice, fuel, spicy. etc); 200=Food / Agriculture / Environment; 210=Farming/ agriculture/ fishing/ Animal husbandry; 220=Food shortage/famine; 230=Natural disaster (drought, flood, earthquake, hurricane, etc; 240=Land; 250=Environment; 260=Natural resources; 300=Infrastructure; 310=Transportation; 320=Communications; 330=Infrastructure / roads; 400=Government Services; 410=Education, educational fee; 420=Science and technology; 430=Housing; 440=Electricity; 450=Water supply; 460=Orphans/street children/homeless children; 470=Social security, social welfare; 480=Services (other); 500=Health; 510=Health (medical care); 520=AIDS (and other transmissible diseases); 530=Sickness / Disease; 540=Public health, hygiene; 550=Food and drug safety; 600=Governance; 610=Crime and Security; 620=Corruption; 630=Political violence; 640=Political instability/political divisions/ ethnic tensions; 650=Discrimination/ inequality; 660=Gender issues/women's rights, children's rights; 670=Democracy/political rights, protection of rights; 680=Malfunction of political institutions; 690=Government efficiency; 691=Constitution; 692=Budget deficit; 693=Judiciary; 694=Administrative procedure; 695=Public service independence from politics; 696=Irresponsible leader/government; 700=General Social and Political Conditions; 710=Immigration; 720=Social anomaly (suicide, divorce, moral breakdown); 730=Aging population, fewer children; 740=Growth of population; 750=Cultural problems under social change; 751=Religion problem; 752=Culture preservation; 760=War (international); 770=Civil war; 780=External relations (foreign relations); 790=Terrorism; 791=National defense; 800=Country-Specific Problems; 990=Nothing/ no problems; 991=No further reply; 995=Other issues; 996=Unclassifiable, inconceivable; 998=Can't choose; 999=Decline to answer",should address? second,1,100.0
q102,Unknown,,"In your opinion, what are the most important questions facing the country that government should address? Third Response","0=No answer; 100=Economics; 110=Management of the economy, economic development; 120=Wages, incomes and salaries (or income gap) , pension; 130=Unemployment; 140=Poverty and destitution; 150=Rates and taxes; 160=Loans, credit, debt; 170=Land privatization; 180=Inflation; 190=International Trade, globalization; 191=Basic necessities (price of rice, fuel, spicy. etc); 200=Food / Agriculture / Environment; 210=Farming/ agriculture/ fishing/ Animal husbandry; 220=Food shortage/famine; 230=Natural disaster (drought, flood, earthquake, hurricane, etc; 240=Land; 250=Environment; 260=Natural resources; 300=Infrastructure; 310=Transportation; 320=Communications; 330=Infrastructure / roads; 400=Government Services; 410=Education, educational fee; 420=Science and technology; 430=Housing; 440=Electricity; 450=Water supply; 460=Orphans/street children/homeless children; 470=Social security, social welfare; 480=Services (other); 500=Health; 510=Health (medical care); 520=AIDS (and other transmissible diseases); 530=Sickness / Disease; 540=Public health, hygiene; 550=Food and drug safety; 600=Governance; 610=Crime and Security; 620=Corruption; 630=Political violence; 640=Political instability/political divisions/ ethnic tensions; 650=Discrimination/ inequality; 660=Gender issues/women's rights, children's rights; 670=Democracy/political rights, protection of rights; 680=Malfunction of political institutions; 690=Government efficiency; 691=Constitution; 692=Budget deficit; 693=Judiciary; 694=Administrative procedure; 695=Public service independence from politics; 696=Irresponsible leader/government; 700=General Social and Political Conditions; 710=Immigration; 720=Social anomaly (suicide, divorce, moral breakdown); 730=Aging population, fewer children; 740=Growth of population; 750=Cultural problems under social change; 751=Religion problem; 752=Culture preservation; 760=War (international); 770=Civil war; 780=External relations (foreign relations); 790=Terrorism; 791=National defense; 800=Country-Specific Problems; 990=Nothing/ no problems; 991=No further reply; 995=Other issues; 996=Unclassifiable, inconceivable; 998=Can't choose; 999=Decline to answer",should address? third,1,100.0
q102a,Unknown,,How likely is it that the government will solve the most important problem you identified?,0=Not applicable; 1=Very likely; 2=Likely; 3=Not very likely; 4=Not at all likely; 7=No answer; 8=Can't choose; 9=Decline to answer,how likely is,1,100.0
q103,Unknown,,People have the power to change a government they don't like,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,people have the,9,3.7037037037037037
q104,Unknown,,People have the power to change a government they don't like Our current courts always punish the guilty even if they are high-ranking officials,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,don't like our,1,100.0
q105,Unknown,,People have the power to change a government they don't like Political parties or candidates in our country have equal access to the mass media during the election period,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,don't like political,1,100.0
q106,Unknown,,"People have the power to change a government they don't like Between elections, the people have no way of holding the government responsible for its actions",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,don't like between,1,100.0
q107,Unknown,,"People have the power to change a government they don't like When the government breaks the laws, there is nothing the legal system can do",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,don't like when,1,100.0
q108,Unknown,,People have the power to change a government they don't like Everyone is treated equally by the government,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,don't like everyone,1,100.0
q109,Unknown,,"People have the power to change a government they don't like People have basic necessities like food, clothes, and shelter",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,like people have,1,100.0
q11,Unknown,,Trust in Parliament,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in parliament,1,100.0
q110,Unknown,,People have the power to change a government they don't like People are free to speak what they think without fear,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,like people are,1,100.0
q111,Unknown,,People have the power to change a government they don't like People can join any organization the like without fear,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,like people can,1,100.0
q112,Unknown,,How often do government officials withhold important information from the public view?,1=Always; 2=Most of the time; 3=Occasionally; 4=Rarely; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,often do government,1,100.0
q113,Unknown,,How often do national government officials abide by the law? (HK: Hong Kong government),1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,the law? (hk:,1,100.0
q114,Unknown,,How often do national government officials abide by the law? How often do your think our elections offer the voters a real choice between different parties/candidates?,1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,the law? how,1,100.0
q115,Unknown,,To what extent is the legislature capable of keeping the government in check?,1=Very capable; 2=Capable; 3=Not capable; 4=Not at all capable; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,what extent is,1,100.0
q116,Unknown,,How well do you think the government responds to what people want?,1=Very responsive; 2=Largely responsive; 3=Not very responsive; 4=Not responsive at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,how well do,1,100.0
q117,Unknown,,How widespread do you think corruption and bribe-taking are in your local/municipal government?,1=Almost everyone is corrupt; 2=Most officials are corrupt; 3=Not a lot of officials are corrupt; 4=Hardly anyone is involved; 8=Can't choose; 9=Decline to answer,how widespread do,2,35.35533905932737
q118,Unknown,,How widespread do you think corruption and bribe-taking are in your local/municipal government? How widespread do you think corruption and bribe-taking are in the national government?,1=Almost everyone is corrupt; 2=Most officials are corrupt; 3=Not a lot of officials are corrupt; 4=Hardly anyone is involved; 8=Can't choose; 9=Decline to answer,local/municipal government? how,1,100.0
q119,Unknown,,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,1=Witnessed; 2=Never witnessed; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,you or anyone,1,100.0
q119_1,Unknown,,119_1 Personally witnessed,0=Not applicable; 1=Yes; 2=No; 7=Do not understand; 8=Can't choose; 9=Decline to answer,119_1 personally witnessed,1,100.0
q119_2,Unknown,,119_2 Told about it by family member,0=Not applicable; 1=Yes; 2=No; 7=Do not understand; 8=Can't choose; 9=Decline to answer,119_2 told about,1,100.0
q119_3,Unknown,,119_3 Told about it by friend,0=Not applicable; 1=Yes; 2=No; 7=Do not understand; 8=Can't choose; 9=Decline to answer,119_3 told about,1,100.0
q12,Unknown,,Trust in Civil service,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in civil,1,100.0
q120,Unknown,,"In your opinion, is the government working to crackdown corruption and root out bribes?",0=It is doing this quite effectively; 1=It is doing its best; 2=It is doing something; 3=It is not doing much; 4=Doing nothing; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,"your opinion, is",1,100.0
q121,Unknown,,Which of the following statements comes closest to your own opinion?,"1=For people like me, it does not matter whether we have a democratic or a nondemocratic regime; 2=Under some circumstances, an authoritarian government can be peferable to a democratic one; 3=Democracy is always preferable to any other kind of government; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer",statements comes closest,1,100.0
q122,Unknown,,Which of the following statements comes closer to your own view?,1=Democracy can not solve our society's problems; 2=Democracy is capable of solving the problems of our society; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,your own view?,1,100.0
q123,Unknown,,"If you had to choose between democracy and economic development, which would you say is more important?",1=Economic development is definitely more important; 2=Economic development is somewhat more important; 3=Democracy is somewhat more important; 4=Democracy is definitely more important; 5=They are both equally important; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,choose between democracy,1,100.0
q124,Unknown,,We should get rid of parliament and elections and have a strong leader decide things,1=Strongly approve; 2=Approve; 3=Disapprove; 4=Strongly Disapprove; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,we should get,3,19.245008972987524
q125,Unknown,,We should get rid of parliament and elections and have a strong leader decide things Only one political party is allowed to stand for election and hold office,1=Strongly approve; 2=Approve; 3=Disapprove; 4=Strongly Disapprove; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,decide things only,1,100.0
q126,Unknown,,We should get rid of parliament and elections and have a strong leader decide things The army should come in to govern the country,1=Strongly approve; 2=Approve; 3=Disapprove; 4=Strongly Disapprove; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,decide things the,1,100.0
q127,Unknown,,I think I have the ability to participate in politics,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,i think i,5,8.94427190999916
q128,Unknown,,I think I have the ability to participate in politics Sometimes politics and government seems so complicated that a person like me can't really understand what is going on,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,in politics sometimes,1,100.0
q129,Unknown,,"I think I have the ability to participate in politics Whatever its faults may be, our form of government is still the best for us",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,in politics whatever,1,100.0
q13,Unknown,,Trust in the military(or armed forces),1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,in the military(or,1,100.0
q130,Unknown,,I think I have the ability to participate in politics You can generally trust the people who run our government to do what is right (HK: Hong Kong government),1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,in politics you,1,100.0
q131,Unknown,,"I think I have the ability to participate in politics Generally speaking, we can trust the local government officials to do the right things",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,in politics generally,1,100.0
q132,Unknown,,Which of these two statements comes closer to your own view,1=It is essential that the (country) remains one nation; 2=Part of the (country) should be allowed to become fully separate states if they choose to; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,of these two,1,100.0
q133,Unknown,,People with little or no education should have as much say in politics as highly-educated people,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,people with little,14,1.9090088708030313
q134,Unknown,,People with little or no education should have as much say in politics as highly-educated people Government leaders are like the head of a family; we should all follow their decisions,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,highly-educated people government,1,100.0
q135,Unknown,,People with little or no education should have as much say in politics as highly-educated people The government should decide whether certain ideas should be allowed to be discussed in society,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,government should decide,1,100.0
q136,Unknown,,People with little or no education should have as much say in politics as highly-educated people Harmony of the community will be disrupted if people organize lots of groups,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,highly-educated people harmony,1,100.0
q137,Unknown,,"People with little or no education should have as much say in politics as highly-educated people When judges decide important cases, they should accept the view of the executive branch",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,people when judges,1,100.0
q138,Unknown,,"People with little or no education should have as much say in politics as highly-educated people If the government is constantly checked by the legislature, it cannot possibly accomplish great things",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,people if the,1,100.0
q139,Unknown,,"People with little or no education should have as much say in politics as highly-educated people If we have political leaders who are morally upright, we can let them decide everything",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,people if we,1,100.0
q14,Unknown,,Trust in the police,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,in the police,1,100.0
q140,Unknown,,"People with little or no education should have as much say in politics as highly-educated people If people have too many different ways of thinking, society will be chaotic",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,people if people,1,100.0
q141,Unknown,,"People with little or no education should have as much say in politics as highly-educated people When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,people when the,1,100.0
q142,Unknown,,People with little or no education should have as much say in politics as highly-educated people The government should maintain ownership of major state-owned enterprises,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,government should maintain,1,100.0
q143,Unknown,,People with little or no education should have as much say in politics as highly-educated people The local government should have more authority over local decisions than it does now,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,people the local,1,100.0
q144,Unknown,,People with little or no education should have as much say in politics as highly-educated people Our country should defend our way of life instead of becoming more and more like other countries,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,country should defend,1,100.0
q145,Unknown,,"People with little or no education should have as much say in politics as highly-educated people In order to preserve social justice, the government should prevent the gap between rich and poor from growing any larger",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,highly-educated people in,1,100.0
q146,Unknown,,People with little or no education should have as much say in politics as highly-educated people Our country should become more self-sufficient and less reliant on trade with other countries,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,country should become,1,100.0
q147,Unknown,,Let us suppose that you had to choose between being a..... which of these do you feel most strongly attached to,"1=R""s Citizenship; 2=R""s ethnic/regional group; 3=R""S another identity; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer",let us suppose,1,100.0
q148,Unknown,,These people should have the equal right to do whatever they want to do as other citizens,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 5=Not agree nor disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,these people should,6,6.804138174397717
q149,Unknown,,These people should have the equal right to do whatever they want to do as other citizens They should enjoy the same right as other citizens to vote in the election of the top leader,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 5=Not agree nor disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,other citizens they,1,100.0
q15,Unknown,,Trust in local government,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in local,1,100.0
q150,Unknown,,These people should have the equal right to do whatever they want to do as other citizens Their basic well-being should be taken care of by the government to the same extent as other citizens,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 5=Not agree nor disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,other citizens their,1,100.0
q151,Unknown,,These people should have the equal right to do whatever they want to do as other citizens A citizen who does not actively participate in the affairs of his local and national community is not performing his duties,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 5=Not agree nor disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,other citizens a,1,100.0
q152,Unknown,,"These people should have the equal right to do whatever they want to do as other citizens Citizens should always obey laws and regulations, even if they disagree with them",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 5=Not agree nor disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,other citizens citizens,1,100.0
q153,Unknown,,"These people should have the equal right to do whatever they want to do as other citizens Do you agree or disagree with the following statement: ""A citizen should always remain loyal only to his country, no matter how imperfect",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 5=Not agree nor disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,other citizens do,1,100.0
q154,Unknown,,How proud are you to be a citizen of [Country],1=Very proud; 2=Somewhat proud; 3=Not very proud; 4=Not proud at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,how proud are,1,100.0
q155,Unknown,,"Given the chance, how willing would you be to go and live in another country?",1=Very willing; 2=Willing; 3=Not willing; 4=Not willing at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,"given the chance,",1,100.0
q156,Unknown,,Relation: The European Community or European Union,1=Yes; 2=No; 9=Decline to answer,relation: the european,1,100.0
q157,Unknown,,Relation: The United Nations or UN,1=Yes; 2=No; 9=Decline to answer,relation: the united,1,100.0
q158,Unknown,,Relation: International Monetary Fund or IMF,1=Yes; 2=No; 9=Decline to answer,relation: international monetary,1,100.0
q159,Unknown,,Relation: World Bank,1=Yes; 2=No; 9=Decline to answer,relation: world bank,1,100.0
q16,Unknown,,Trust in newspaper,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in newspaper,1,100.0
