variable_id,domain,concepts,question_text,value_labels
ir12f,Telecommunication,"cellular phone signal, mobile network, connectivity, accessibility",ir12f. Signal for cellular phone,-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir12g,Recreation and Leisure,"recreational facilities, sports field, entertainment, accessibility","ir12g. Recreational facilities, e.g., a sports field",-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir12h,Service Accessibility,"public places, worship, community facilities","ir12h. Any churches, mosques, temples or other public places of worship",-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir12i,Service Accessibility,"community buildings, meeting spaces, public facilities",ir12i. Any town halls or community buildings that can be used for meetings,-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir12j,Service Accessibility,"market stalls, groceries, clothing, retail services",ir12j. Market stalls (selling groceries and/or clothing),-1=Missing; 1=Walking Yes; 2=Walking No; 3=Driving Yes; 4=Driving No; 9=Can't determine
ir13,Geographic Location,"residence, administrative level, geographic location",ir13 Which of the following levels within the country the respondent live?,"-1=Missing; 1=Capital or Megacity (1 million population plus); 2=Regional center or Other major cities (100,000 plus); 3=Small city or town (less than 100,000 people); 4=Village or countryside"
ir2,Survey Participation,"survey experience, questionnaire completion, respondent history",ir2 Is this the first questionnaire you have completed?,-1=Misisng; 1=Yes; 2=No
ir2a,Interviewer Characteristics,"interviewer attributes, gender, demographics",ir2a Interviewer's gender,-1=Missing; 1=Male; 2=Female
ir2b,Interviewer Characteristics,"interviewer attributes, age, demographics",ir2b Interviewer's Age,-1=Missing; 90=Not applicable
ir2c,Language and Culture,"language use, home language, cultural background",ir2c What kind of language do you normally use at home?,-1=Missing; 201=Mostly Cantonese; 501=Mongolian; 601=Bicolano; 602=Cebuano; 603=English; 604=Ilocano; 605=Ilonggo; 606=Tagalog; 607=Others; 701=Only or mostly offical language (Mandarin); 702=A mixture of Mandarin and Min-nan; 703=A mixture of Mandarin and Hakka; 704=A mixture of Min-nan and Hakka; 705=Only or mostly Min-nan; 706=Only or mostly Hakka; 801=Official language; 802=Northern language; 803=Esan language; 804=Southern language; 805=Malayu language; 607=Others; 901=Bahasa Indonesia; 902=Other languages; 603=English; 1002=Mandarin; 1003=Chinese dialect; 1101=Vietnamese; 1201=Khmer; 1301=Malay and others; 1302=Chinese; 1303=Sarawak and others; 1304=Iban and others; 1305=English and others; 1306=Other; 1401=Myanmar; 1402=Kachin; 1403=Mon
ir3,Interview Environment,"interview setting, presence of others, social context","ir3 In the interview, other than the respondent, were others present?",-1=Missing; 1=Yes; 2=No
ir3a,Interview Environment,"others present, relationship to respondent, social context",ir3a Who were they?,-1=Missing; 0=Not applicable; 1=Respondent's spouse; 2=Children; 3=Parents or parents-in-law; 4=Neighbors/Passers by; 5=Party/government offical; 6=Others
ir4,Interview Experience,"interview process, refusal, respondent behavior",ir4 Has the respondent ever refused to be interviewed during the whole process?,-1=Misisng; 1=Yes. Right at the beginning of the interview; 2=Yes. In the middle of the interview.; 3=Yes. Towards the end of the interview.; 4=Never
ir5,Interview Experience,"interview process, respondent emotion, impatience",ir5 Has the respondent ever felt impatient during the interview?,-1=Missing; 1=Never; 2=Occasionally; 3=Sometimes; 4=Always
ir6,Interview Experience,"respondent behavior, cooperation, interview quality",ir6 How cooperative was the respondent during the interview?,-1=Missing; 1=Highly cooperative; 2=Fairly cooperative; 3=Not very cooperative
ir7,Interview Experience,"respondent behavior, sincerity, question sensitivity",ir7 How sincere was the respondent when answering sensitive questions?,-1=Missing; 1=Highly sincerely; 2=Fairly sincere; 3=Not  sincere/not very sincere
ir8,Interview Experience,"question difficulty, respondent ability, interview challenge",ir8 What proportion of the questions do you feel the respondent had the difficulty answering?,-1=Missing; 1=All; 2=Most; 3=Some; 4=Few; 5=None
level,Geographic Location,"residence type, urban-rural distinction",Rural or urban,-1=Missing; 1=Rural; 2=Urban
month,Temporal Reference,"time, interview timing, month of interview",Interview month,-1=Missing
q1,Economic Perception,"economic condition, national level, current evaluation",1. How would you rate the overll economic condition of our country today?,-1=Missing; 1=Very good; 2=Good; 3=So-so [not good nor bad]; 4=Bad; 5=Very bad; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q10,Political Affiliation,"political party, affiliation, political identity",10 Political parties,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q100,Trust in Government,"government effectiveness, problem-solving, future expectation",100. How likely is it that the government will solve the most important problem you identified within the next five years?,-1=Missing; 0=Not applicable; 1=Very likely; 2=Likely; 3=Not very likely; 4=Not at all likely; 8=Can`t choose; 9=Decline to answer
q101,Trust in Government,"government accountability, citizen empowerment, political power",101. People have the power to change a government they don't like,-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q102,Trust in Government,"political equality, media access, election fairness",People have the power to change a government they don't like Political parties or candidates in our country have equal access to the mass media during the election period.,-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q103,Trust in Government,"government accountability, citizen oversight, inter-election period","People have the power to change a government they don't like Between elections, the people have no way of holding the government responsible for its actions.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q104,Trust in Government,"rule of law, judicial independence, government accountability","People have the power to change a government they don't like When government leaders break the laws, there is nothing the court can do.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q105,Social Equality,"ethnic equality, government treatment, social justice",People have the power to change a government they don't like All citizens from different ethnic communities in the country are treated equally by the government.,-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q106,Social Equality,"economic equality, government treatment, social justice",People have the power to change a government they don't like 106 Rich and poor people are treated equally by the government,-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q107,Basic Needs,"basic necessities, poverty, human well-being","People have the power to change a government they don't like People have basic necessities like food, clothes, and shelter",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q108,Freedom of Expression,"free speech, fearlessness, citizen freedom",People have the power to change a government they don't like People are free to speak what they think without fear.,-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q109,Freedom of Association,"organizational freedom, fearlessness, citizen rights",People have the power to change a government they don't like 109 People can join any organization they like without fear.,-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer
q11,Government Institutions,"parliament, legislative body, government structure",11 Parliament,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q110,Trust in Government,"government accountability, official misconduct, punishment",110 Do officials who commit crimes go unpunished?,-1=Missing; 1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q111,Government Transparency,"information disclosure, government secrecy, public access",110 Do officials who commit crimes go unpunished? 111 How often do government officials withhold important information from the public view?,-1=Missing; 1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q112,Trust in Government,"government corruption, abuse of power, leadership accountability",110 Do officials who commit crimes go unpunished? 112 How often do you think government leaders break the law or abuse their power?,-1=Missing; 1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q113,Election Integrity,"electoral choice, party competition, democratic process",110 Do officials who commit crimes go unpunished? 113 How often do you think our elections offer the voters a real choice between different parties/candidates?,-1=Missing; 1=Always; 2=Most of the time; 3=Sometimes; 4=Rarely; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q114,Government Accountability,"legislative oversight, government checks and balances, leadership accountability",114 To what extent is the legislature capable of keeping government leaders in check?,-1=Missing; 1=Very capable; 2=Capable; 3=Not capable; 4=Not at all capable; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q115,Government Responsiveness,"government responsiveness, public needs, policy implementation",115 How well do you think the government responds to what people want?,-1=Missing; 1=Very responsive; 2=Largely responsive; 3=Not very responsive; 4=Not responsive at all; 7=Don not understand the question; 8=Can't choose; 9=Decline to answer
q116,Election Impact,"electoral influence, government accountability, public opinion",116 How much do you feel that having elections makes the government pay attention to what the people think?,-1=Missing; 1=A good deal; 2=Quite a lot; 3=Not much; 4=Not at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q117,Corruption Perception,"corruption prevalence, bribery, local government",117 How widespread do you think corruption and bribe-taking are in your local/municipal government?,-1=Missing; 1=Hardly anyone is involved; 2=Not a lot of officials are corrupt; 3=Most officials are corrupt; 4=Almost everyone is corrupt; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q118,Corruption Perception,"corruption prevalence, bribery, national government",117 How widespread do you think corruption and bribe-taking are in your local/municipal government? 118 How widespread do you think corruption and bribe-taking are in the national government?,-1=Missing; 1=Hardly anyone is involved; 2=Not a lot of officials are corrupt; 3=Most officials are corrupt; 4=Almost everyone is corrupt; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q119,Anti-Corruption Efforts,"government anti-corruption efforts, corruption reduction, policy effectiveness","119 In your opinion, is the government working to crack down on corruption and root out bribery?",-1=Missing; 1=It is doing its best; 2=It is doing something; 3=It is not doing much; 4=Doing nothing; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q12,Government Services,"civil service, government administration",12 Civil service,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q120,Corruption Perception,"corruption, bribe-taking, government official, personal experience",120 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,-1=Missing; 1=Personally witnessed; 2=Told about it by a family member who personally witnessed; 3=Told about it by a friend who personally witnessed; 4=Personally never witnessed; 5=No one I know has personally witnessed; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q121,Country Evaluation,"country evaluation, China, current assessment",121 Where would you place China today on this scale?,-1=Missing; 1=Completely Undemocratic; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=Completely democratic; 97=Don't understand the question; 98=Can't choose; 99=Decline to answer
q122,Country Comparison,"country comparison, China, United States, current evaluation",121 Where would you place China today on this scale? 122 Where would you place the United States today on this scale?,-1=Missing; 1=Completely Undemocratic; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=Completely democratic; 97=Don't understand the question; 98=Can't choose; 99=Decline to answer
q123,Country Comparison,"country comparison, China, Japan, current evaluation",121 Where would you place China today on this scale? 123 Where would you place Japan on this scale?,-1=Missing; 1=Completely Undemocratic; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=Completely democratic; 97=Don't understand the question; 98=Can't choose; 99=Decline to answer
q124,Country Comparison,"country comparison, China, India, current evaluation",121 Where would you place China today on this scale? 124 Where would you place India on this scale?,-1=Missing; 1=Completely Undemocratic; 2=2; 3=3; 4=4; 5=5; 6=6; 7=7; 8=8; 9=9; 10=Completely democratic; 97=Don't understand the question; 98=Can't choose; 99=Decline to answer
q125,Personal Opinion,"personal opinion, statement evaluation, social issue",125 Which of the following statements comes closest to your own opinion?,"-1=Missing; 1=Democracy is always preferable to any other kind of government; 2=Under some circumstances, an authoritarian government can be preferable to a democratic one; 3=For people like me, it does not matter whether we have a democratic or nondemocratic regime; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
q126,Personal View,"personal view, statement evaluation, social issue",126 Which of the following statements comes closer to your own view?,-1=Missing; 1=Democracy is capable of solving the problems of our society; 2=Democracy cannot solve our society`s problems; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q127,Value Prioritization,"democracy, economic development, priority evaluation","127 If you had to choose between democracy and economic development, which would you say is more important?",-1=Missing; 1=Economic development is definitely more important; 2=Economic development is somewhat more important; 3=Democracy is somewhat more important; 4=Democracy is definitely more important; 5=They are both equally important; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q128,Value Prioritization,"economic inequality, political freedom, priority evaluation","128 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",-1=Missing; 1=Reducing economic inequality is definitely more important; 2=Reducing economic inequality is somewhat more important; 3=Protecting political freedom is somewhat more important; 4=Protecting political freedom is definitely more important; 5=They are both equally important; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q129,Trust in Government,"democracy, evaluation, government form","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q13,Institutional Trust,"military, institutional trust",13 The military,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q130,Trust in Government,"authoritarianism, governance, leadership","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 130 We should get rid of parliament and elections and have a strong leader decide things.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q131,Trust in Government,"single-party system, political freedom, elections","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 131 Only one political party should be allowed to stand for election and hold office.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q132,Trust in Government,"militarism, governance, authoritarianism","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 132 The army (military) should come in to govern the country.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q133,Trust in Government,"technocracy, governance, decision-making","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 133 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q134,Political Efficacy,"political participation, self-efficacy, civic engagement","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 134 I think I have the ability to participate in politics.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q135,Political Efficacy,"political complexity, understanding, civic engagement","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 135 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q136,Political Efficacy,"political influence, powerlessness, civic engagement","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 136 People like me don't have any influence over what the government does.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q137,Trust in Government,"trust in government, institutional trust, government officials","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 137 You can generally trust the people who run our government to do what is right.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q138,Trust in Government,"government legitimacy, national loyalty, institutional evaluation","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 138 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q139,Social Equality,"gender equality, political participation, social norms","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 139 Women should not be involved in politics as much as men",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q14,Public Services,"law enforcement, public safety, institutional trust",14 The police,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q140,Church-State Relations,"religion, governance, legislative interpretation","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 140 The government should consult religious authorities when interpreting the laws",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q141,Social Equality,"educational attainment, political participation, social justice","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 141 People with little or no education should have as much say in politics as highly-educated people",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q142,Trust in Government,"government authority, leadership, obedience","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 142 Government leaders are like the head of a family; we should all follow their decisions",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q143,Freedom of Expression,"censorship, government control, social discourse","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 143 The government should decide whether certain ideas should be allowed to be discussed in society",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q144,Social Order,"community harmony, social organization, group formation","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 144 Harmony of the community will be disrupted if people organize lots of groups",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q145,Separation of Powers,"judicial independence, executive influence, checks and balances","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 145 When judges decide important cases, they should accept the view of the executive branch",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q146,Government Effectiveness,"legislative oversight, government performance, institutional capacity","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 146 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q147,Trust in Government,"democracy, government evaluation, moral leadership","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 147 If we have political leaders who are morally upright, we can let them decide everything",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q148,Social Order,"social cohesion, diversity, chaos","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 148 If people have too many different ways of thinking, society will be chaotic",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q149,Rule of Law,"government authority, legal boundaries, crisis management","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 149 When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q15,Local Governance,"local government, administration",15 Local government,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q150,Global Awareness,"international events, news consumption",150 How closely do you follow major events in foreign countries/ the world?,-1=Missing; 1=Very closely; 2=Somewhat closely; 3=Not too closely; 4=Very little; 5=Not at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q151,National Identity,"cultural preservation, nationalism",151 Our country should defend our way of life instead of becoming more and more like other countries.,-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q152,Economic Nationalism,"protectionism, trade policy, worker protection","151 Our country should defend our way of life instead of becoming more and more like other countries. 152 Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""",-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q153,Immigration Policy,"immigration control, border management",153 Do you think the government should increase or decrease the inflow of foreign immigrants into the country?,-1=Missing; 1=The government should increase the inflow of immigrants; 2=The government should maintain the current inflow of immigrants; 3=The government should reduce the inflow of immigrant; 4=The government should not allow any more immigrants; 7=Do not understand the question; 8=Can`t choose; 9=Decline to answer
q154,Unknown,missing information,154 Which of these statements comes closer to your view?,-1=Misisng; 1=Protecting the environment should be given priority; 2=Economic growth and creating jobs should be the top priority; 7=Do not understand the question; 8=Can`t choose; 9=Decline to answer
q155,Economic Perception,"income distribution, fairness evaluation, economic justice",155 How fair do you think income distribution is in the country?,-1=Missing; 1=Very fair; 2=Fair; 3=Unfair; 4=Very unfair; 7=Do not understand the question; 8=Can`t choose; 9=Decline to answer
q156,Economic Perception,"income inequality, government responsibility, social justice",156 It is the responsibility of the government to reduce the differences between people with high income and those with low incomes.,-1=Missing; 1=Strongly agree; 2=Agree; 3=Disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
