variable_id,domain,concepts,question_text,validation_phrase,validation_phrase_occurrences,validation_phrase_score
q032,Social Influence,"family influence, voting behavior, social pressure",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_FAMILY MEMBER/RELATIVE,a particular candidate?_family,1,100.0
q033,Social Influence,"social influence, clan influence, extended family influence",Did you attend a campaign meeting or rally? Asked following personally ask you to vote for a particular candidate?_SENIORS IN A CLAN OR EXTENDED FAMILY,rally? asked following,1,100.0
q034,Political Participation,"campaign meeting, rally attendance, voting influence, social network",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_NEIGHBOR/FRIEND,a particular candidate?_neighbor/friend,1,100.0
q035,Political Participation,"campaign meeting, rally attendance, voting influence, community leadership",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_COMMUNITY LEADERS,a particular candidate?_community,1,100.0
q036,Political Participation,"campaign meeting, rally attendance, voting influence, workplace authority",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_SUPERIOR AT WORK/SCHOOL,a particular candidate?_superior,1,100.0
q037,Political Participation,"campaign meeting, rally attendance, voting influence, organizational authority",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,a particular candidate?_owners,1,100.0
q038,Political Participation,"campaign meeting, rally attendance, voting influence, organizational affiliation",Did you attend a campaign meeting or rally? Asked to vote for a particularcandidate?_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,for a particularcandidate?_member/official,1,100.0
q039,Political Participation,"campaign meeting, rally attendance, voting influence, personal connection to government",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,candidate?_government official whom you know,1,90.0
q040,Political Participation,"campaign meeting, rally attendance, voting influence, government official",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,candidate?_government official whom you don't,1,90.0
q041,Political Participation,"campaign meeting, rally attendance, voting influence, personal connection to candidate",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,candidate?_candidate/party activist whom you know,1,90.0
q042,Political Participation,"campaign meeting, rally attendance, voting influence, candidate or party activist",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU DONT KNOW,whom you dont,1,100.0
q043,Political Participation,"campaign meeting, rally attendance, voting influence, other sources of influence",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_OTHERS,a particular candidate?_others,1,100.0
q044,Political Participation,"campaign meeting, attendance, family influence",Did you attend a campaign meeting or rally? Influential_FAMILY MEMBER/RELATIVE,or rally? influential_family,1,100.0
q045,Political Participation,"campaign meeting, attendance, clan influence",Did you attend a campaign meeting or rally? Influential_SENIORS IN A CLAN OR EXTENDED FAMILY,or rally? influential_seniors,1,100.0
q046,Political Participation,"campaign meeting, attendance, social influence",Did you attend a campaign meeting or rally? Influential_NEIGHBOR/FRIEND,or rally? influential_neighbor/friend,1,100.0
q047,Political Participation,"campaign meeting, attendance, community leadership influence",Did you attend a campaign meeting or rally? Influential_COMMUNITY LEADERS,or rally? influential_community,1,100.0
q048,Political Participation,"campaign meeting, attendance, workplace influence",Did you attend a campaign meeting or rally? Influential_SUPERIOR AT WORK/SCHOOL,or rally? influential_superior,1,100.0
q049,Political Participation,"campaign meeting, attendance, organizational influence",Did you attend a campaign meeting or rally? Influential_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,or rally? influential_owners,1,100.0
q050,Political Participation,"campaign meeting, attendance, organizational affiliation influence",Did you attend a campaign meeting or rally? Influential_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,or rally? influential_member/official,1,100.0
q051,Political Participation,"campaign meeting, attendance, personal government connection influence",Did you attend a campaign meeting or rally? Influential_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,influential_government official whom you know,1,90.0
q052,Political Participation,"campaign meeting, attendance, government official influence",Did you attend a campaign meeting or rally? Influential_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,influential_government official whom you don't,1,90.0
q053,Political Participation,"campaign meeting, attendance, personal candidate influence",Did you attend a campaign meeting or rally? Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,influential_candidate/party activist whom you know,1,90.0
q054,Political Participation,"campaign meeting, rally attendance, influential figures",Did you attend a campaign meeting or rally? Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU DON'T KNOW,activist whom you don't,1,100.0
q055,Political Participation,"campaign meeting, rally attendance, social influence",Did you attend a campaign meeting or rally? Influential_OTHERS,or rally? influential_others,1,100.0
q056,Political Interest,"political interest, self-assessment, engagement level",How interested would you say you are interested in politics?,how interested would,1,100.0
q057,Political Information Seeking,"news consumption, politics, frequency",How often do you follow news about politics?,do you follow,5,8.94427190999916
q057a,Political Information Seeking,"news consumption, politics, media channels, frequency","How often do you follow news about politics? How often do you follow news about politics in the daily newspaper, television, and radio?","the daily newspaper,",1,100.0
q058,Political Information Seeking,"news consumption, politics, newspaper, frequency",How often do you follow news about politics? How often do you follow news about politics in the daily newspaper?,the daily newspaper?,1,100.0
q059,Political Information Seeking,"news consumption, politics, television, frequency",How often do you follow news about politics? How often do you follow news about politics on television?,politics on television?,1,100.0
q060,Political Information Seeking,"news consumption, politics, radio, frequency",How often do you follow news about politics? How often do you follow news about politics on the radio?,politics on the,1,100.0
q061,Government Impact,"government policies, personal impact, daily life",How much impact do you feel government policies have on your daily life?,how much impact,1,100.0
q062,Party Affiliation,"party identification, closest party, political affiliation",party feel closest to,party feel closest,1,100.0
q063,Social Relationships,"closeness, interpersonal connection, relationship quality",closeness,closeness,1,50.0
q064,Family Obligations,"filial piety, parental authority, unreasonable demands","Even if parents' demands are unreasonable, children still should do what they ask?",even if parents',9,3.7037037037037037
q065,Social Norms,"nepotism, favoritism, meritocracy","Even if parents' demands are unreasonable, children still should do what they ask? When hiring someone, even if a stranger is more qualified, the opportunity should still be given to relatives and friend",ask? when hiring,1,100.0
q066,Conflict Resolution,"accommodation, conflict avoidance, neighborly relations","Even if parents' demands are unreasonable, children still should do what they ask? When one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person?",ask? when one,1,100.0
q067,Fatalism,"fate, destiny, socioeconomic outcomes","Even if parents' demands are unreasonable, children still should do what they ask? Wealth and poverty, success and failure are all determined by fate?",they ask? wealth,1,100.0
q068,Workplace Dynamics,"conformity, group consensus, opinion suppression","Even if parents' demands are unreasonable, children still should do what they ask? A person should not insist on his own opinion if his co-workers disagree with him?",ask? a person,1,100.0
q069,Family Values,"self-sacrifice, family loyalty, personal interests","Even if parents' demands are unreasonable, children still should do what they ask? For the sake of the family, the individual should put his personal interests second?",they ask? for,1,100.0
q070,Gender Roles,"masculinity, femininity, workplace hierarchy","Even if parents' demands are unreasonable, children still should do what they ask? A man will lose face if he works under a female supervisor?",ask? a man,1,100.0
q071,Dispute Resolution,"elderly authority, conflict mediation, respect for elders","Even if parents' demands are unreasonable, children still should do what they ask? If there is a quarrel, we should ask an elder to resolve the dispute?",they ask? if,1,100.0
q072,Family Dynamics,"marital relationships, in-law relationships, conflict resolution","Even if parents' demands are unreasonable, children still should do what they ask? When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband sh",ask? when a,1,100.0
q073,Government Engagement,"government interaction, opinion expression, citizen participation",Contacted any government official to express your opinions?,contacted any government,8,4.419417382415921
q074,Government Engagement,"government interaction, opinion expression, hierarchical level, officials",Contacted any government official to express your opinions? Contacted officials to express your opinions at higher level?,opinions? contacted officials,1,100.0
q075,Government Engagement,"government interaction, opinion expression, elected representatives, legislative level",Contacted any government official to express your opinions? contacted elected legislative representatives at any level?,opinions? contacted elected,1,100.0
q076,Government Engagement,"government interaction, opinion expression, political parties, organizations",Contacted any government official to express your opinions? Contacted political parties or other political organizations?,opinions? contacted political,1,100.0
q077,Government Engagement,"government interaction, opinion expression, non-government organizations, civil society",Contacted any government official to express your opinions? Contacted non-government/civil society organizations?,opinions? contacted non-government/civil,1,100.0
q078,Government Engagement,"government interaction, opinion expression, media engagement, public commentary",Contacted any government official to express your opinions? Contacted media to comment on something?,opinions? contacted media,1,100.0
q079,Government Engagement,"government interaction, opinion expression, protest, activism, collective action","Contacted any government official to express your opinions? Demonstrated, striken, or sat-in for something?","your opinions? demonstrated,",1,100.0
q080,Government Engagement,"government interaction, opinion expression, social networks, interpersonal communication",Contacted any government official to express your opinions? Contacted other people?,opinions? contacted other,1,100.0
q081,Government Engagement,"government interaction, collective action, group participation, social support",Did you do this alone or with others?_contacted government official,do this alone,16,1.5625
q082,Government Engagement,"government interaction, collective action, group participation, hierarchical level, officials",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted officials at higher level,with others?_contacted officials,1,100.0
q083,Civic Engagement,"government interaction, collaboration, legislative contact",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted elected legislative representatives at any level,with others?_contacted elected,1,100.0
q084,Civic Engagement,"government interaction, collaboration, political organization contact",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted political parties or other political organizations,with others?_contacted political,1,100.0
q085,Civic Engagement,"government interaction, collaboration, non-government organization contact",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_ contacted non-government/civil society organizations,with others?_ contacted,1,100.0
q086,Civic Engagement,"government interaction, collaboration, media contact",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted media,with others?_contacted media,1,100.0
q087,Civic Engagement,"government interaction, collaboration, protest participation","Did you do this alone or with others?_contacted government official Did you do this alone or with others?_demonstration, strike, sit-in","or with others?_demonstration,",1,100.0
q088,Civic Engagement,"government interaction, collaboration, social networking",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted other people,with others?_contacted other,1,100.0
q089,Government Interaction,"gift giving, government contact, corruption",Did you do this alone or with others?_contacted government official Gift or dinner_contacted government,or dinner_contacted government,1,100.0
q090,Government Interaction,"gift giving, government contact, hierarchy, corruption",Did you do this alone or with others?_contacted government official Gift or dinner_contacted officials at highter level,or dinner_contacted officials,1,100.0
q091,Government Interaction,"gift giving, government contact, legislative contact, corruption",Did you do this alone or with others?_contacted government official Gift or dinner_contacted elected legislative representatives,or dinner_contacted elected,1,100.0
q092,Government Interaction,"gift giving, government contact, political organization contact, corruption",Did you do this alone or with others?_contacted government official Gift or dinner_contacted political parties or other political organizations,or dinner_contacted political,1,100.0
q093,Civic Engagement,"collective action, government interaction, gift or dinner",Did you do this alone or with others?_contacted government official Gift or dinner_contacted non-goverment/civil society organizations,or dinner_contacted non-goverment/civil,1,100.0
q094,Civic Engagement,"collective action, government interaction, media engagement",Did you do this alone or with others?_contacted government official Gift or dinner_contacted media,or dinner_contacted media,1,100.0
q095,Civic Engagement,"collective action, government interaction, protest participation","Did you do this alone or with others?_contacted government official Gift or dinner_demonstration, strike, sit-in","gift or dinner_demonstration,",1,100.0
q096,Civic Engagement,"collective action, government interaction, social networking",Did you do this alone or with others?_contacted government official Gift or dinner_contacted other people,or dinner_contacted other,1,100.0
q097_1,Democracy Perception,"democracy definition, personal interpretation, first priority",MEANING OF DEMOCRACY FIRST,of democracy first,1,100.0
q097_2,Democracy Perception,"democracy definition, personal interpretation, second priority",MEANING OF DEMOCRACY SECOND,of democracy second,1,100.0
q097_3,Democracy Perception,"democracy definition, personal interpretation, third priority",MEANING OF DEMOCRACY THIRD,of democracy third,1,100.0
q098,Democracy Satisfaction,"democracy evaluation, current satisfaction, national level",Satisfaction with the way democracy works in our country?,satisfaction with the,1,100.0
q099,Democracy Evaluation,"democracy rating, historical comparison, authoritarian period",Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]?,where would you,4,12.5
q100,Democracy Evaluation,"democracy rating, temporal comparison, government transition",Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? Where would you place our country under the present government?,rule]? where would,1,100.0
q101,Trust in Government,"democratic values, government evaluation, temporal comparison, desire for democracy",Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? To what extent would you want our country to be democratic now?,authoritarian rule]? to,1,100.0
q102,Trust in Government,"democratic values, government evaluation, temporal comparison, future expectations",Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? Where do you expect our country to be in five years?,rule]? where do,1,100.0
q103,Trust in Government,"democratic suitability, national level, government evaluation",Do you think democracy is suitable for our country?,you think democracy,1,100.0
q104,Trust in Government,"government satisfaction, current evaluation, national level",How satisfied or dissatisfied are you with the current government?,how satisfied or,1,100.0
q105,Service Accessibility,"freedom of speech, temporal comparison, current evaluation",Everyone is free to say what they think- is better than before?,everyone is free,9,3.7037037037037037
q106,Service Accessibility,"freedom of speech, equality of treatment, temporal comparison, government evaluation",Everyone is free to say what they think- is better than before? Everyone is treated equally by the government- is better than before?,than before? everyone,1,100.0
q107,Service Accessibility,"freedom of speech, influence on government, temporal comparison, citizen empowerment",Everyone is free to say what they think- is better than before? People like me can have an influence on government- is better than before?,than before? people,1,100.0
q108,Trust in Government,"freedom of speech, corruption control, temporal comparison, government evaluation",Everyone is free to say what they think- is better than before? Corruption in politics and government is under control- is better than before?,than before? corruption,1,100.0
q109,Economic Perception,"freedom of speech, income inequality, temporal comparison, economic evaluation",Everyone is free to say what they think- is better than before? The gap between the rich and the poor have narrowed- is better than before?,than before? the,1,100.0
q110,Service Accessibility,"freedom of speech, crime prevention, temporal comparison, public safety",Everyone is free to say what they think- is better than before? Preventing crime and maintaining order- is better than before?,than before? preventing,1,100.0
q111,Economic and Political Freedom,"freedom of speech, economic development, temporal comparison",Everyone is free to say what they think- is better than before? Economic development- is better than before?,than before? economic,1,100.0
q112,Judicial Independence and Freedom of Speech,"judicial independence, freedom of speech, political interference, temporal comparison",Everyone is free to say what they think- is better than before? Judges and courts are free from political interference- is better than before?,than before? judges,1,100.0
q113,Freedom of Association and Speech,"freedom of association, freedom of speech, temporal comparison",Everyone is free to say what they think- is better than before? You can join any organization you like- is better than before?,than before? you,1,100.0
q114,Corruption Perception,"corruption, local government, prevalence",How widespread corruption in your local/municipal government?,how widespread corruption,2,35.35533905932737
q115,Corruption Perception,"corruption, local government, national government, prevalence, comparison",How widespread corruption in your local/municipal government? How widespread corruption in the national government?,local/municipal government? how,1,100.0
q116,Personal Experience with Corruption,"corruption, personal experience, social network",anyone you know personally witnessed an act of corruption?,personally witnessed an,1,100.0
q116e,Personal Experience,"personal experience, social network, event witnessing",anyone you know personally witnessed ?,personally witnessed ?,1,100.0
q117,Opinion and Values,"personal opinion, value orientation",Which comes closest to your own opinion?,which comes closest,1,100.0
q118,Opinion and Values,"personal view, value orientation, comparison",Which comes closer to your own view?,which comes closer,2,35.35533905932737
q119,Democracy and Economic Development,"democracy, economic development, trade-off, preference",choose between democracy and economic development?,choose between democracy,1,100.0
q120,Political Preference,"political view, evaluation, leadership style",Which comes closer to your own view?,which comes closer,2,35.35533905932737
q121,Trust in Government,"authoritarianism, leadership style, democratic values",We should get rid of parliament and elections and have a strong leader decide things,we should get,5,8.94427190999916
q122,Trust in Government,"authoritarianism, opposition suppression, democratic values",We should get rid of parliament and elections and have a strong leader decide things No opposition party should be allowed to compete for power,decide things no,1,100.0
q123,Trust in Government,"militarism, authoritarianism, governance style",We should get rid of parliament and elections and have a strong leader decide things The military should come in to govern the country,decide things the,1,100.0
q124,Trust in Government,"technocracy, authoritarianism, decision-making process",We should get rid of parliament and elections and have a strong leader decide things We should get rid of parliament and elections and have the experts decide everything,decide things we,1,100.0
q125,Trust in Government,"rule of law, authoritarianism, crisis management","We should get rid of parliament and elections and have a strong leader decide things It is ok for the government to disregard the law in order to deal with the situation, when the country is facing a diffi",decide things it,1,100.0
q126,Political Efficacy,"political participation, personal ability, empowerment",I have the ability to participate in politics,i have the,1,100.0
q127,Political Efficacy,"political complexity, personal understanding, disempowerment",Politics and government seems so complicated that a person like me can't really understand what is going on,and government seems,5,8.94427190999916
q128,Political Efficacy,"power dynamics, political complexity, disempowerment",Politics and government seems so complicated that a person like me can't really understand what is going on The nation is run by a powerful few and ordinary citizens cannot do much about it,going on the,1,100.0
q129,Political Efficacy,"influence, political participation, disempowerment",Politics and government seems so complicated that a person like me can't really understand what is going on People like me don't have any influence over what the government does,going on people,1,100.0
q130,Trust in Government,"government complexity, evaluation, system effectiveness",Politics and government seems so complicated that a person like me can't really understand what is going on Our form of government is still the best for us,going on our,1,100.0
q131,Trust in Government,"government complexity, trust, government integrity",Politics and government seems so complicated that a person like me can't really understand what is going on You can generally trust the people who run our government to do what is right,going on you,1,100.0
q132,Political Participation,"education level, political equality, participation rights",People with little or no education should have as much say in politics as highly-educated people,people with little,1,100.0
q133,Authority and Obedience,"government authority, obedience, leadership role",Government leaders are like the head of a family; we should all follow their decisions,government leaders are,9,3.7037037037037037
q134,Freedom of Expression,"government control, idea discussion, censorship",Government leaders are like the head of a family; we should all follow their decisions The government should decide whether certain ideas should be allowed to be discussed in society,government should decide,1,100.0
q135,Social Order,"community harmony, group organization, social stability",Government leaders are like the head of a family; we should all follow their decisions Harmony of the community will be disrupted if people organize lots of groups,their decisions harmony,1,100.0
q136,Separation of Powers,"judicial independence, executive influence, branch interaction","Government leaders are like the head of a family; we should all follow their decisions When judges decide important cases, they should accept the view of the executive branch",their decisions when,1,100.0
q137,Government Effectiveness,"legislative oversight, government capability, leadership effectiveness","Government leaders are like the head of a family; we should all follow their decisions If the government is constantly checked by the legislature, it cannot possibly accomplish great things",decisions if the,1,100.0
q138,Moral Leadership,"moral authority, leadership decision-making, trust in leaders","Government leaders are like the head of a family; we should all follow their decisions If we have political leaders who are morally upright, we can let them decide everything",decisions if we,1,100.0
q139,Social Cohesion,"diversity of thought, social order, chaos perception","Government leaders are like the head of a family; we should all follow their decisions If people have too many different ways of thinking, society will be chaotic",decisions if people,1,100.0
q140,Trust in Government,"government authority, decision-making, state ownership",Government leaders are like the head of a family; we should all follow their decisions The government should maintain ownership of major state-owned enterprises,government should maintain,1,100.0
q141,Trust in Government,"government authority, centralization, decision-making",Government leaders are like the head of a family; we should all follow their decisions The national government should have more authority over local decisions than it does now,decisions the national,1,100.0
q142,National Identity,"nationalism, cultural preservation, globalization",Our country should defend our way of life instead of becoming more and more like other countries,our country should,1,100.0
q143,Social Cohesion,"collectivism, individual sacrifice, national interest","For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest",of the national,4,12.5
q144,Social Cohesion,"collectivism, individual sacrifice, state control","For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest The state is like a big machine and the individual is but a small cog, with no independent status",interest the state,1,100.0
q145,Political Leadership,"leadership style, goal accomplishment, rule of law","For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc",interest the most,1,100.0
q146,Political Leadership,"leadership style, conviction, compromise","For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest If a political leader really believes in his position, he should refuse to compromise regardless of how many people disa",personal interest if,1,100.0
q147,Political Tolerance,"tolerance, political dissent, leadership",A political leader should tolerate the views of those who challenge his political ideals,leader should tolerate,1,100.0
q147a,Political Tolerance,"intolerance, political dissent, leadership",A political leader should not tolerate the views of those who challenge his political ideals,leader should not,2,35.35533905932737
q148,Political Leadership,"leadership style, majority support, authoritarianism","A political leader should not tolerate the views of those who challenge his political ideals As long as a political leader enjoys majority support, he should implement his own agenda and disregard the view of the",political ideals as,1,100.0
relig1,Demographic Characteristics,"religion, personal belief, affiliation",Religion,religion,2,50.0
se002,Demographic Characteristics,"gender, personal characteristic, identity",gender,gender,2,50.0
se003,Demographic Characteristics,"age, age group, demographic classification",age group,age group,1,80.0
se003a,Demographic Characteristics,"age, actual age, numerical value",actual age,actual age,1,80.0
se004,Demographic Characteristics,"marital status, relationship status, personal situation",marital status,marital status,2,28.2842712474619
se004a,Demographic Characteristics,"marital status, binary classification, yes/no response",Marital Status(Y/N),marital status(y/n),1,80.0
se005,Demographic Characteristics,"education, educational attainment, personal achievement",education,education,4,10.0
se005a,Demographic Characteristics,"education, educational attainment, year of completion",education by year,education by year,1,100.0
se005b,Demographic Characteristics,"education, educational attainment, categorical classification",education(four categories),education(four categories),1,80.0
se006,Demographic Characteristics,"religion, personal belief, affiliation",religion,religion,2,50.0
se007,Religiosity,"religiosity, personal belief, spirituality",relgiosity,relgiosity,1,50.0
se008a,Household Demographics,"household size, family composition, demographic characteristics",n of household members,n of household,1,100.0
