variable_id,domain,concepts,question_text,scale_type,scale_points,confidence,needs_reversal,validation_phrase,validation_phrase_occurrences,validation_phrase_score
ir12j,Unknown,,ir12j. Market stalls (selling groceries and/or clothing),likert_4,4,0.8,True,ir12j. market stalls (selling groceries,1,132.0
ir13,Unknown,,ir13 Which of the following levels within the country the respondent live?,likert_4,4,0.8,False,ir13 which of the following,1,132.0
ir2,Unknown,,ir2 Is this the first questionnaire you have completed?,binary,2,0.8,True,ir2 is this the first,1,132.0
ir2a,Unknown,,ir2a Interviewer's gender,binary,2,0.8,False,ir2a interviewer's gender,1,132.0
ir2b,Unknown,,ir2b Interviewer's Age,unknown,0,0.0,False,ir2b interviewer's age,1,132.0
ir2c,Unknown,,ir2c What kind of language do you normally use at home?,categorical,24,0.8,False,ir2c what kind of language,1,132.0
ir3,Unknown,,"ir3 In the interview, other than the respondent, were others present?",binary,2,0.8,True,"ir3 in the interview, other",1,132.0
ir3a,Unknown,,ir3a Who were they?,likert_6,6,0.8,False,ir3a who were they?,1,132.0
ir4,Survey Methodology,"refusal, cooperation, interview process",ir4 Has the respondent ever refused to be interviewed during the whole process?,likert_4,4,0.8,True,ir4 has the respondent ever,1,132.0
ir5,Survey Methodology,"impatience, cooperation, interview process",ir5 Has the respondent ever felt impatient during the interview?,likert_4,4,0.8,False,ir5 has the respondent ever,1,132.0
ir6,Survey Methodology,"cooperation, interview process, evaluation",ir6 How cooperative was the respondent during the interview?,likert_3,3,0.8,False,how cooperative was the respondent,1,132.0
ir7,Survey Methodology,"sincerity, response quality, sensitive questions",ir7 How sincere was the respondent when answering sensitive questions?,likert_3,3,0.8,False,how sincere was the respondent,1,132.0
ir8,Survey Methodology,"difficulty, question understanding, response quality",ir8 What proportion of the questions do you feel the respondent had the difficulty answering?,likert_5,5,0.8,False,what proportion of the questions,1,132.0
level,Geography,"rural, urban, location",Rural or urban,binary,2,0.8,False,rural or urban,1,132.0
month,Time,"date, time, temporal context",Interview month,unknown,0,0.0,False,interview month,1,92.4
q1,Economic Perception,"economic condition, national level, current evaluation",1. How would you rate the overll economic condition of our country today?,likert_5,5,0.8,True,1. how would you rate,1,132.0
q10,Politics,"political parties, politics, elections",10 Political parties,likert_4,4,0.8,True,10 political parties,1,132.0
q100,Government Effectiveness,"government performance, problem solving, temporal comparison",100. How likely is it that the government will solve the most important problem you identified within the next five years?,likert_4,4,0.8,False,100. how likely is it,1,132.0
q101,Government Accountability,"government accountability, power to change government, citizen empowerment",101. People have the power to change a government they don't like,likert_4,4,0.8,False,101. people have the power,1,132.0
q102,Government Accountability,"government accountability, access to media, election fairness",People have the power to change a government they don't like Political parties or candidates in our country have equal access to the mass media during the election period.,likert_4,4,0.8,False,government they don't like political,1,132.0
q103,Government Accountability,"government accountability, accountability between elections, citizen empowerment","People have the power to change a government they don't like Between elections, the people have no way of holding the government responsible for its actions.",likert_4,4,0.8,False,government they don't like between,1,132.0
q104,Government Accountability,"government accountability, judicial independence, rule of law","People have the power to change a government they don't like When government leaders break the laws, there is nothing the court can do.",likert_4,4,0.8,False,government they don't like when,1,132.0
q105,Social Justice,"social justice, equality of treatment, citizen rights",People have the power to change a government they don't like All citizens from different ethnic communities in the country are treated equally by the government.,likert_4,4,0.8,False,government they don't like all,1,132.0
q106,Social Justice,"social justice, equality of treatment, economic equality",People have the power to change a government they don't like 106 Rich and poor people are treated equally by the government,likert_4,4,0.8,False,government they don't like 106,1,132.0
q107,Economic Welfare,"economic welfare, basic necessities, human well-being","People have the power to change a government they don't like People have basic necessities like food, clothes, and shelter",likert_4,4,0.8,False,they don't like people have,1,132.0
q108,Freedom of Expression,"freedom of expression, speech freedom, citizen rights",People have the power to change a government they don't like People are free to speak what they think without fear.,likert_4,4,0.8,False,they don't like people are,1,132.0
q109,Freedom of Association,"freedom of association, organization freedom, citizen rights",People have the power to change a government they don't like 109 People can join any organization they like without fear.,likert_4,4,0.8,False,government they don't like 109,1,132.0
q11,Government Structure,"government structure, parliament, institutional framework",11 Parliament,likert_4,4,0.8,True,11 parliament,1,92.4
q110,Trust in Government,"official misconduct, punishment, evaluation",110 Do officials who commit crimes go unpunished?,likert_4,4,0.8,True,110 do officials who commit,4,16.5
q111,Trust in Government,"official misconduct, information withholding, evaluation",110 Do officials who commit crimes go unpunished? 111 How often do government officials withhold important information from the public view?,likert_4,4,0.8,True,commit crimes go unpunished? 111,1,132.0
q112,Trust in Government,"official misconduct, law breaking, evaluation",110 Do officials who commit crimes go unpunished? 112 How often do you think government leaders break the law or abuse their power?,likert_4,4,0.8,True,commit crimes go unpunished? 112,1,132.0
q113,Elections and Representation,"election quality, choice, evaluation",110 Do officials who commit crimes go unpunished? 113 How often do you think our elections offer the voters a real choice between different parties/candidates?,likert_4,4,0.8,True,commit crimes go unpunished? 113,1,132.0
q114,Legislative Effectiveness,"legislative capability, government oversight, evaluation",114 To what extent is the legislature capable of keeping government leaders in check?,likert_4,4,0.8,False,114 to what extent is,1,132.0
q115,Government Responsiveness,"government responsiveness, citizen needs, evaluation",115 How well do you think the government responds to what people want?,likert_4,4,0.8,False,you think the government responds,1,132.0
q116,Elections and Representation,"election impact, government accountability, evaluation",116 How much do you feel that having elections makes the government pay attention to what the people think?,likert_4,4,0.8,True,you feel that having elections,1,132.0
q117,Corruption and Bribery,"corruption prevalence, bribery, evaluation",117 How widespread do you think corruption and bribe-taking are in your local/municipal government?,likert_4,4,0.8,False,117 how widespread do you,2,46.66904755831214
q118,Corruption and Bribery,"corruption prevalence, bribery, evaluation, government level",117 How widespread do you think corruption and bribe-taking are in your local/municipal government? 118 How widespread do you think corruption and bribe-taking are in the national government?,likert_4,4,0.8,False,your local/municipal government? 118 how,1,132.0
q119,Anti-Corruption Efforts,"government anti-corruption efforts, evaluation","119 In your opinion, is the government working to crack down on corruption and root out bribery?",likert_4,4,0.8,False,"119 in your opinion, is",1,132.0
q12,Service Accessibility,civil service,12 Civil service,likert_4,4,0.8,True,12 civil service,1,132.0
q120,Corruption Perception,"corruption, bribery, personal experience",120 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year?,likert_5,5,0.8,False,120 have you or anyone,1,132.0
q121,Economic Perception,"economic condition, temporal comparison, evaluation",121 Where would you place China today on this scale?,scale_10,10,0.8,False,121 where would you place,4,16.5
q122,Economic Perception,"economic condition, temporal comparison, evaluation, country comparison",121 Where would you place China today on this scale? 122 Where would you place the United States today on this scale?,scale_10,10,0.8,False,today on this scale? 122,1,132.0
q123,Economic Perception,"economic condition, temporal comparison, evaluation, country comparison, specific country",121 Where would you place China today on this scale? 123 Where would you place Japan on this scale?,scale_10,10,0.8,False,today on this scale? 123,1,132.0
q124,Economic Perception,"economic condition, temporal comparison, evaluation, country comparison, specific country",121 Where would you place China today on this scale? 124 Where would you place India on this scale?,scale_10,10,0.8,False,today on this scale? 124,1,132.0
q125,Value and Priorities,"statement evaluation, personal opinion",125 Which of the following statements comes closest to your own opinion?,likert_3,3,0.8,True,125 which of the following,1,132.0
q126,Value and Priorities,"statement evaluation, personal view",126 Which of the following statements comes closer to your own view?,binary,2,0.8,False,126 which of the following,1,132.0
q127,Value and Priorities,"democracy, economic development, trade-off","127 If you had to choose between democracy and economic development, which would you say is more important?",likert_5,5,0.8,False,had to choose between democracy,1,132.0
q128,Value and Priorities,"economic inequality, political freedom, trade-off","128 If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?",likert_5,5,0.8,False,had to choose between reducing,1,132.0
q129,Trust in Government,"democracy, government, evaluation, temporal comparison","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"".",likert_4,4,0.8,False,129 do you agree or,21,1.3716553100548095
q13,Government and Politics,"military, institution",13 The military,likert_4,4,0.8,True,13 the military,1,132.0
q130,Trust in Government,"democracy, government, evaluation, temporal comparison, leadership","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 130 We should get rid of parliament and elections and have a strong leader decide things.",likert_4,4,0.8,False,"best form of government"". 130",1,132.0
q131,Trust in Government,"democracy, government, evaluation, temporal comparison, politics, election","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 131 Only one political party should be allowed to stand for election and hold office.",likert_4,4,0.8,False,"best form of government"". 131",1,132.0
q132,Trust in Government,"democracy, government, evaluation, temporal comparison, military, institution","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 132 The army (military) should come in to govern the country.",likert_4,4,0.8,False,"best form of government"". 132",1,132.0
q133,Trust in Government,"democracy, government, evaluation, temporal comparison, experts, decision-making","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 133 We should get rid of elections and parliaments and have experts make decisions on behalf of the people.",likert_4,4,0.8,False,"best form of government"". 133",1,132.0
q134,Citizen Participation,"participation, politics, ability","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 134 I think I have the ability to participate in politics.",likert_4,4,0.8,False,"best form of government"". 134",1,132.0
q135,Citizen Participation,"participation, politics, complexity, understanding","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 135 Sometimes politics and government seems so complicated that a person like me can't really understand what is going on.",likert_4,4,0.8,False,"best form of government"". 135",1,132.0
q136,Citizen Participation,"participation, politics, influence","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 136 People like me don't have any influence over what the government does.",likert_4,4,0.8,False,"best form of government"". 136",1,132.0
q137,Trust in Government,"trust, government, evaluation, temporal comparison","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 137 You can generally trust the people who run our government to do what is right.",likert_4,4,0.8,False,"best form of government"". 137",1,132.0
q138,Trust in Government,"democracy, government, evaluation","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 138 A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",likert_4,4,0.8,False,"best form of government"". 138",1,132.0
q139,Trust in Government,"democracy, government, equality","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 139 Women should not be involved in politics as much as men",likert_4,4,0.8,False,"best form of government"". 139",1,132.0
q14,Service Accessibility,"police, service quality",14 The police,likert_4,4,0.8,True,14 the police,1,132.0
q140,Trust in Government,"democracy, government, religion","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 140 The government should consult religious authorities when interpreting the laws",likert_4,4,0.8,False,"best form of government"". 140",1,132.0
q141,Trust in Government,"democracy, government, equality","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 141 People with little or no education should have as much say in politics as highly-educated people",likert_4,4,0.8,False,"best form of government"". 141",1,132.0
q142,Trust in Government,"democracy, government, leadership","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 142 Government leaders are like the head of a family; we should all follow their decisions",likert_4,4,0.8,False,"best form of government"". 142",1,132.0
q143,Freedom of Speech,"censorship, government control","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 143 The government should decide whether certain ideas should be allowed to be discussed in society",likert_4,4,0.8,False,"best form of government"". 143",1,132.0
q144,Freedom of Association,"group formation, community harmony","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 144 Harmony of the community will be disrupted if people organize lots of groups",likert_4,4,0.8,False,"best form of government"". 144",1,132.0
q145,Judicial Independence,"judicial system, executive branch","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 145 When judges decide important cases, they should accept the view of the executive branch",likert_4,4,0.8,False,"best form of government"". 145",1,132.0
q146,Separation of Powers,"government oversight, legislative branch","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 146 If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things",likert_4,4,0.8,False,"best form of government"". 146",1,132.0
q147,Trust in Government,"government, morality, decision-making","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 147 If we have political leaders who are morally upright, we can let them decide everything",likert_4,4,0.8,False,"best form of government"". 147",1,132.0
q148,Trust in Government,"society, chaos, diversity","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 148 If people have too many different ways of thinking, society will be chaotic",likert_4,4,0.8,False,"best form of government"". 148",1,132.0
q149,Trust in Government,"government, law, emergency","129 Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government"". 149 When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",likert_4,4,0.8,False,"best form of government"". 149",1,132.0
q15,Service Accessibility,local government,15 Local government,likert_4,4,0.8,True,15 local government,1,132.0
q150,Global Awareness,"global events, foreign countries",150 How closely do you follow major events in foreign countries/ the world?,likert_5,5,0.8,False,150 how closely do you,1,132.0
q151,National Identity,"national identity, cultural homogenization",151 Our country should defend our way of life instead of becoming more and more like other countries.,likert_4,4,0.8,False,151 our country should defend,2,46.66904755831214
q152,National Identity,"trade, protectionism, national interest","151 Our country should defend our way of life instead of becoming more and more like other countries. 152 Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods.""",likert_4,4,0.8,False,more like other countries. 152,1,132.0
q153,Immigration Policy,"immigration, government policy",153 Do you think the government should increase or decrease the inflow of foreign immigrants into the country?,likert_4,4,0.8,False,think the government should increase,1,132.0
q154,National Identity,"national identity, cultural homogenization",154 Which of these statements comes closer to your view?,binary,2,0.8,False,154 which of these statements,1,132.0
q155,Economic Perception,"income distribution, economic fairness",155 How fair do you think income distribution is in the country?,likert_4,4,0.8,False,155 how fair do you,1,132.0
q156,Economic Inequality,"income distribution, government responsibility, social justice",156 It is the responsibility of the government to reduce the differences between people with high income and those with low incomes.,likert_4,4,0.8,False,156 it is the responsibility,1,132.0
q157,Economic Security,"income stability, financial concern, temporal comparison",157 How concerned are you about the loss of your major source of income within the next 12 months?,likert_4,4,0.8,False,157 how concerned are you,1,132.0
q158,Economic Vulnerability,"income loss, family impact, seriousness assessment","158 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?",likert_3,3,0.8,False,following is a hypothetical question:,1,132.0
q159,Perceived Fairness,"income fairness, effort evaluation, evaluation category","159 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-4 categories?",likert_4,4,0.8,False,159 considering all the effort,1,132.0
q159a,Perceived Fairness,"income fairness, effort evaluation, evaluation category","159a Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-6 categories?",likert_6,6,0.8,False,159a considering all the effort,1,132.0
q16,Media Consumption,"newspaper use, media preference",16 Newspaper,likert_4,4,0.8,True,16 newspaper,1,92.4
q160,Social Mobility,"opportunity comparison, generational comparison, standard of living","160 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?",likert_5,5,0.8,False,160 as compared to my,1,132.0
q161,National Pride,"national identity, citizenship pride",161 How proud are you to be a citizen of the country? Are you?,likert_4,4,0.8,False,161 how proud are you,1,132.0
q162,Geographic Mobility,"migration willingness, country preference","162 Given the chance, how willing would you be to go and live in another country",likert_4,4,0.8,False,"162 given the chance, how",1,132.0
q163,International Relations,"country influence, regional politics",163 Which country has the most influence in Asia?,categorical,29,0.8,False,country has the most influence,1,132.0
q164,International Relations,"country influence, regional impact, evaluation",164 Does the United States do more good or harm to the region?,likert_4,4,0.8,False,164 does the united states,2,46.66904755831214
q165,International Relations,"country influence, regional impact, evaluation",164 Does the United States do more good or harm to the region? 165 Does China do more good or harm to the region?,likert_4,4,0.8,False,harm to the region? 165,1,132.0
q166,International Relations,"country influence, regional influence, temporal comparison","166 In ten years, which country will have the most influence in Asia?",categorical,29,0.8,False,"166 in ten years, which",1,132.0
q167,International Relations,"country development, model, evaluation",167 Which country should be a model for our own country's future development?,categorical,41,0.8,False,167 which country should be,1,132.0
q168,International Relations,"country influence, evaluation",168 How much influence does China have on our country?,likert_4,4,0.8,False,168 how much influence does,1,132.0
q169,International Relations,"country influence, evaluation","169 General speaking, the influence China has on our country is?",likert_6,6,0.8,True,"169 general speaking, the influence",1,132.0
q17,Media and Technology,"media, television",17 Television,likert_4,4,0.8,True,17 television,1,92.4
q170,International Relations,"country influence, evaluation",170 How much influence does the United States have on our country?,likert_4,4,0.8,False,170 how much influence does,1,132.0
q171,International Relations,"country influence, evaluation","171 General speaking, the influence the United States has on our country is?",likert_6,6,0.8,True,"171 general speaking, the influence",1,132.0
q172,Regional Identity,"regional identity, closeness, evaluation",172 How close do you feel to ASEAN? (ASEAN countries only),likert_4,4,0.8,False,172 how close do you,1,132.0
q18,Institutional Trust,"election commission, institutional trust",18 The election commission,likert_4,4,0.8,True,18 the election commission,1,132.0
q19,Institutional Trust,"non-government organizations, institutional trust",19 Non-government organizations or NGOs,likert_4,4,0.8,True,19 non-government organizations or ngos,1,132.0
q2,Economic Perception,"economic condition, national level, temporal comparison, evaluation",2. How would you dsecribe the change in the economic condition of our country over the last few years?,likert_5,5,0.8,False,2. how would you dsecribe,1,132.0
q20,Organizational Affiliation,"organizational affiliation, identification",20. Name of the organization you belong to. First,categorical,21,0.8,False,20. name of the organization,1,132.0
q21,Organizational Affiliation,"organizational affiliation, identification",21. Name of the organization you belong to. Second,categorical,21,0.8,False,21. name of the organization,1,132.0
q22,Organizational Affiliation,"organizational affiliation, identification",22. Name of the organization that you belong to. Third,categorical,21,0.8,False,22. name of the organization,1,132.0
q23,Trust in People,"trust, social behavior, caution","23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",binary,2,0.8,True,"you say that ""most people",1,132.0
q24,Trust in People,"trustworthiness, social evaluation",24. Do you ageee with the statement 'Most people are trustworthy',likert_4,4,0.8,False,you ageee with the statement,1,132.0
q25,Trust in People,"trust, social behavior, fairness","25 Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?",binary,2,0.8,False,think most people would try,1,132.0
q26,Interpersonal Trust,"trust, relatives, interpersonal relationships",26. How much do you trust your relatives?,likert_4,4,0.8,True,26. how much,1,132.0
q27,Trust in Social Relationships,"trust, social relationships, relatives, neighbors",How much do you trust your relatives? Trust your neighbors,likert_4,4,0.8,True,trust your relatives? trust your,1,132.0
q28,Trust in Social Relationships,"trust, social relationships, relatives, interactions",How much do you trust your relatives? Trust other people you interact with,likert_4,4,0.8,True,trust your relatives? trust other,1,132.0
q29,Social Network,"social network, contact frequency",29. How many people do you have contact within a typical week day?,likert_5,5,0.8,False,29. how many people do,1,132.0
q3,Economic Perception,"economic condition, national level, current evaluation, temporal comparison",How would you dsecribe the change in the economic condition of our country over the last few years? What do you think will be the state of our country's economic condition a few years from now?,likert_5,5,0.8,False,last few years? what do,1,132.0
q30,Social Support,"social support, help-seeking behavior","30. If you have a difficult problem to manage, are there people outside your household you can ask for help?",likert_4,4,0.8,False,30. if you,1,132.0
q31,Social Support,"social support, help-seeking behavior, help-giving behavior","If you have a difficult problem to manage, are there people outside your household you can ask for help? When people outside your household have problems, do they come to you for help?",likert_4,4,0.8,False,ask for help? when people,1,132.0
q32,Social Tolerance,"social tolerance, political disagreement","32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",likert_4,4,0.8,False,32 if you had friends,1,132.0
q33,Civic Engagement,"voting behavior, civic participation",33 Did you vote in the last national election?,binary,2,0.8,True,you vote in the last,1,132.0
q34,Civic Engagement,"voting behavior, party preference",34 Which parties or candidates did you vote for?,categorical,66,0.8,False,34 which parties or candidates,1,132.0
q34a,Civic Engagement,"voting behavior, outcome evaluation",34a Did the respondent vote for the winning or losing camp?,binary,2,0.8,False,34a did the respondent vote,1,132.0
q35,Political Engagement,"political activity, campaign participation",35. Did you attend a campaign meeting or rally?,binary,2,0.8,True,35. did you attend,1,132.0
q36,Political Engagement,"political persuasion, campaign participation",Did you attend a campaign meeting or rally? Try to persudae others to vote for a certain candidate or party?,binary,2,0.8,True,campaign meeting or rally? try,1,132.0
q37,Political Engagement,"political activity, campaign participation, volunteer work",Did you attend a campaign meeting or rally? Did you do anything else to help out or work for a party or candidate running in the last national election?,binary,2,0.8,True,campaign meeting or rally? did,1,132.0
q38,Election Integrity,"election fairness, election freedom","38.On the whole, how free and fair would you say the last national election was?",likert_4,4,0.8,False,"38.on the whole, how free",1,132.0
q39,Service Accessibility,"service ease, identity document service",39. How easy or difficult to obtain an identity document service,likert_5,5,0.8,False,39. how easy or difficult,1,132.0
q4,Economic Perception,"economic condition, national level, current evaluation","4. As for your own family, how do you rate the economic situation of your family today?",likert_5,5,0.8,True,4. as for your own,1,132.0
q40,Service Accessibility,"service ease, identity document service, public primary school service",How easy or difficult to obtain an identity document service How easy or difficult to obtain a place in a public primirary school for a child,likert_5,5,0.8,False,difficult to obtain a place,1,132.0
q41,Service Accessibility,"service ease, identity document service, medical treatment service",How easy or difficult to obtain an identity document service How easy or difficult to obtain medical treatment at nearby clinic,likert_5,5,0.8,False,or difficult to obtain medical,1,132.0
q42,Service Accessibility,"service ease, identity document service, police service",How easy or difficult to obtain an identity document service How easy or difficult to obtain help from the police when you need it,likert_5,5,0.8,False,or difficult to obtain help,1,132.0
q43,Safety Perception,"safety level, living environment",43. How safe is living in this city/ town/ village,likert_4,4,0.8,False,43. how safe is living,1,132.0
q44,Political Engagement,"political interest, evaluation",44. How interested would you say you are in politics?,likert_4,4,0.8,False,44. how interested would you,1,132.0
q45,Political Engagement,"news consumption, evaluation",45. How often do you follow news about politics and government?,likert_5,5,0.8,False,45. how often do you,1,132.0
q46,Political Engagement,"social interaction, political discussion","46. When you get together with your family members or friends, how often do you discuss political matters",likert_3,3,0.8,True,46. when you get together,1,132.0
q47,Digital Access,"internet access, evaluation",47. Do you have Internet access at home?,binary,2,0.8,True,47. do you have internet,1,132.0
q48,Digital Access,"mobile internet access, evaluation",48. Do you have Internet access on a mobile phone?,binary,3,0.8,False,48. do you have internet,1,132.0
q49,Digital Access,internet usage frequency,49. How often do you use the internet?,ordinal,8,0.8,False,49. how often do you,1,132.0
q5,Economic Perception,"economic condition, temporal comparison, current evaluation",5. How would you compare the current economic condition of your family with what it was a few years ago?,likert_5,5,0.8,False,5. how would you compare,1,132.0
q50,Digital Access,"social media access, evaluation",50. Do you currently use any of the following social media networks?,binary,2,0.8,True,50. do you currently use,1,132.0
q51,Information Seeking,"information seeking behavior, political information, evaluation",51. How often do you use the Internet or social media networks to find information about politics and government?,likert_6,6,0.8,False,51. how often do you,1,132.0
q52,Information Seeking and Expression,"information seeking behavior, political information, opinion expression",How often do you use the Internet or social media networks to find information about politics and government? How often do you use the Internet or social media networks to express your opinion about politics and government?,likert_6,6,0.8,False,about politics and government? how,1,132.0
q53,Political Affiliation,"political party, identification, affiliation","53.Among the political parties listed here, which party if any do you feel closest to?",categorical,114,0.8,False,53.among the political parties listed,1,132.0
q54,Political Affiliation,"closeness, evaluation, identification",54. How close do you feel to (answer in q53)?,likert_3,3,0.8,False,54. how close do you,1,132.0
q55,Social Norms and Values,"family, personal interest, sacrifice","55 For the sake of the family, the individual should put his personal interests second.",likert_4,4,0.8,False,"family, the individual should put",14,2.5198917094600017
q56,Social Norms and Values,"group interest, individual interest, collective interest","55 For the sake of the family, the individual should put his personal interests second. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",likert_4,4,0.8,False,"group, we should sacrifice our",1,132.0
q57,Social Norms and Values,"national interest, individual interest, sacrifice","55 For the sake of the family, the individual should put his personal interests second. For the sake of national interest, individual interest could be sacrificed.",likert_4,4,0.8,False,interests second. for the sake,1,132.0
q58,Social Norms and Values,"long-term relationship, immediate interest","55 For the sake of the family, the individual should put his personal interests second. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",likert_4,4,0.8,False,"when dealing with others, developing",1,132.0
q59,Social Norms and Values,"future planning, immediate interest","55 For the sake of the family, the individual should put his personal interests second. When dealing with others, one should not only focus on immediate interest but also plan for future.",likert_4,4,0.8,False,"others, one should not only",1,132.0
q6,Economic Perception,"economic condition, temporal comparison, evaluation",How would you compare the current economic condition of your family with what it was a few years ago? What do you think the economic situation of your family will be a few years from now?,likert_5,5,0.8,False,few years ago? what do,1,132.0
q60,Family Dynamics,"parent-child relationship, obedience, authority","55 For the sake of the family, the individual should put his personal interests second. Even if parents' demands are unreasonable, children still should do what they ask.",likert_4,4,0.8,False,interests second. even if parents',1,132.0
q61,Family Dynamics,"marital relationship, in-law relationship, conflict resolution","55 For the sake of the family, the individual should put his personal interests second. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",likert_4,4,0.8,False,interests second. when a mother-in-law,1,132.0
q62,Social Norms and Family Values,"family values, personal interests, authority","55 For the sake of the family, the individual should put his personal interests second. Being a student, one should not question the authority of their teacher.",likert_4,4,0.8,False,his personal interests second. being,1,132.0
