wave,variable_id,question_type,scale_type,scale_points,max_value,missing_codes,distinctive_keyword,question_text
W2,ir13k,interviewer,likert_3,2,3,7; 9,market,How far is it between the nearest public transportation stop and the respondent's house? Market stal...
W2,ir2,interviewer,ordinal,3,8,-1; 7; 8; 9,questionnaire,Is this the first questionnaire interviewers have completed?
W2,ir3a_1,interviewer,binary,2,2,-1; 7; 8; 9,spouse,Spouse
W2,ir3a_2,interviewer,binary,2,2,-1; 7; 8; 9,children,Children
W2,ir3a_3,interviewer,binary,2,2,-1; 7; 8; 9,parents,Parents or parents in law
W2,ir3a_4,interviewer,binary,2,2,-1; 7; 8; 9,passers,Neighbors/Passers by
W2,ir3a_5,interviewer,binary,2,2,-1; 7; 8; 9,party,Party/Government Official
W2,ir3a_6,interviewer,binary,2,2,-1; 7; 8; 9,others,Others
W2,irII13c,interviewer,likert_3,2,3,7; 9,station,How far is it between the nearest public transportation stop and the respondent's house? Police stat...
W2,q112,core_questionnaire,likert_4,4,4,7; 8; 9,withhold,How often do government officials withhold important information from the public view?
W2,q113,core_questionnaire,likert_4,4,4,7; 8; 9,abide,How often do national government officials abide by the law? (HK: Hong Kong government)
W2,q114,core_questionnaire,likert_4,4,4,7; 8; 9,offer,How often do your think our elections offer the voters a real choice between different parties/candi...
W2,q119_1,core_questionnaire,binary,2,2,7; 8; 9,119_1,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W2,q119_2,core_questionnaire,binary,2,2,7; 8; 9,119_2,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W2,q119_3,core_questionnaire,binary,2,2,7; 8; 9,119_3,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W2,q156,core_questionnaire,binary,2,2,9,union,Relation: The European Community or European Union
W2,q157,core_questionnaire,binary,2,2,9,nations,Relation: The United Nations or UN
W2,q158,core_questionnaire,binary,2,2,9,monetary,Relation: International Monetary Fund or IMF
W2,q159,core_questionnaire,binary,2,2,9,world,Relation: World Bank
W2,q20,core_questionnaire,binary,2,2,8; 9,member,Are you a member of any organization or formal groups?
W2,q48,core_questionnaire,likert_5,5,5,8; 9,describe,"On the whole, how would you rate the freeness and fairness of the last national election? How would ..."
W2,q51_1,core_questionnaire,binary,2,2,8; 9,information,"On the whole, how would you rate the freeness and fairness of the last national election? Main sourc..."
W2,q51_2,core_questionnaire,binary,2,2,8; 9,newspaper,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_3,core_questionnaire,binary,2,2,8; 9,radio,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_4,core_questionnaire,binary,2,2,8; 9,internet,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_5,core_questionnaire,binary,2,2,8; 9,short,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_6,core_questionnaire,binary,2,2,8; 9,contact,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_7,core_questionnaire,binary,2,2,8; 9,other,"On the whole, how would you rate the freeness and fairness of the last national election? Question 5..."
W2,q51_8,core_questionnaire,binary,2,2,8; 9,magazine,"On the whole, how would you rate the freeness and fairness of the last national election? Magazine"
W2,q52,core_questionnaire,likert_3,3,3,7; 8; 9,discuss,"When you get together with your family members or friends, how often do you discuss political matter..."
W2,se10a,socioeconomic,binary,2,2,-1; 7; 8; 9,total,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.1 Car/Je...
W2,se10b,socioeconomic,binary,2,2,-1; 7; 8; 9,tractor,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.2 Tracto...
W2,se10c,socioeconomic,binary,2,2,-1; 7; 8; 9,color,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.3 Color ...
W2,se10d,socioeconomic,binary,2,2,-1; 7; 8; 9,cable,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.4 Cable ...
W2,se10e,socioeconomic,binary,2,2,-1; 7; 8; 9,scooter,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.5 Scoote...
W2,se10f,socioeconomic,binary,2,2,-1; 7; 8; 9,telephone,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.6 Teleph...
W2,se10g,socioeconomic,binary,2,2,-1; 7; 8; 9,mobile,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.7 Mobile...
W2,se10h,socioeconomic,binary,2,2,-1; 7; 8; 9,electric,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.8 Electr...
W2,se10i,socioeconomic,binary,2,2,9,bicycle,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.9 Bicycl...
W2,se10j,socioeconomic,binary,2,2,-1; 7; 8; 9,transistor,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.10 Radio...
W2,se10k,socioeconomic,binary,2,2,-1; 7; 8; 9,pumping,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.11 Pumpi...
W2,se10l,socioeconomic,binary,2,2,-1; 7; 8; 9,fridge,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.12 Fridg...
W2,se10m,socioeconomic,binary,2,2,-1; 7; 8; 9,camera,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.13 Camer...
W2,se10n,socioeconomic,binary,2,2,-1; 7; 8; 9,goats,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.14 Goats...
W2,se10o,socioeconomic,binary,2,2,-1; 7; 8; 9,buffalo,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.15 Cows/...
W2,se12b,socioeconomic,binary,2,2,9,chief,Respondent is also the chief wage earner?
W3,ir10a,interviewer,binary,2,2,-1,ir10a,IR10a. Was the interview conducted with the assistance of an interpreter?
W3,ir11c,interviewer,binary,2,2,-1; 9,ir11c,IR11c. Is electricity the main source of lighting in the house?
W3,ir2,interviewer,binary,2,2,-1; 90,questionnaire,IR2. Is this the first questionnaire you have completed?
W3,ir3,interviewer,binary,2,2,-1,present,"IR3. In the interview, other than the respondent, were others present?"
W3,ir4,interviewer,likert_4,4,4,-1; 9,refused,IR4. Has the respondent ever refused to be interviewed during the whole process?
W3,q1,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,overall,q1. How would you rate the overall economic condition of our country today?  Is it …
W3,q10,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,specific,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q108,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,commit,q108. Do officials who commit crimes go unpunished?
W3,q109,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,withhold,q109. How often do government officials withhold important information from the public view?
W3,q11,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,parliament,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q110,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,abuse,q110. How often do you think government leaders break the law or abuse their power?
W3,q111,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,offer,q111.  How often do you think our elections offer the voters a real choice between different parties...
W3,q115,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,having,q115. How much do you feel that having elections makes the government pay attention to what the peop...
W3,q119_1,core_questionnaire,likert_6,3,6,-1; 7; 8; 9,119_1,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W3,q119_2,core_questionnaire,likert_6,3,6,-1; 7; 8; 9,119_2,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W3,q119_3,core_questionnaire,likert_6,3,6,-1; 7; 8; 9,119_3,Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politicia...
W3,q12,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,civil,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q124,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,comes,q124. Which of the following statements comes closest to your own opinion?
W3,q13,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,armed,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q14,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,police,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q15,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,local,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q16,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,newspapers,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q161,core_questionnaire,likert_6,6,6,-1; 7; 8; 9,general,"q161. General speaking, the influence China has on our country is?"
W3,q17,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,television,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q18,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,commission,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q19,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,governmental,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q23,core_questionnaire,likert_6,3,6,-1; 7; 8; 9,trusted,"q23. General speaking, would you say that ""Most people can be trusted"" or ""that you must be very car..."
W3,q25,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,relatives,q25. How much trust do you have in each of the following types of people?   Your relatives
W3,q26,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,neighbors,How much trust do you have in each of the following types of people? Your neighbors
W3,q27,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,interact,How much trust do you have in each of the following types of people? Other people you interact with
W3,q32,core_questionnaire,likert_3,3,3,-1; 8; 9,talking,"q32. In talking to people about elections, we often find that a lot of people were not able to vote ..."
W3,q34,core_questionnaire,binary,2,2,-1; 8; 9,attend,"q34. Thinking about the national election in [year], did you attend a campaign meeting or rally?"
W3,q35,core_questionnaire,binary,2,2,-1; 8; 9,persuade,q35. try to persuade others to vote for a certain candidate or party?
W3,q36,core_questionnaire,binary,2,2,-1; 8; 9,anything,q36. Did you do anything else to help out or work for a party or candidate running in the election?
W3,q4,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,situation,"q4. As for your own family, how do you rate the economic situation of your family today?  Is it …"
W3,q46,core_questionnaire,likert_3,3,3,-1; 8; 9,members,"q46. When you get together with your family members or friends, how often do you discuss political m..."
W3,q7,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,president,"q7. I'm going to name a number of institutions. For each one, please tell me how much trust do you h..."
W3,q8,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,courts,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,q9,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,capital,"I'm going to name a number of institutions. For each one, please tell me how much trust do you have ..."
W3,se10,socioeconomic,binary,2,2,-1; 8; 9,chief,SE10. Are you the main earner in your household?(Chief wage earner)<Optional>
W3,se10d,socioeconomic,likert_3,3,3,-1; 9,se10d,SE10d. Is he or she currently seeking employment?
W3,se14a,socioeconomic,binary,2,2,-1; 9,total,Does the total income of your household allow you to satisfactorily cover your needs? Car/Jeep/Van
W3,se14b,socioeconomic,binary,2,2,-1; 9,tractor,Does the total income of your household allow you to satisfactorily cover your needs? Tractor
W3,se14c,socioeconomic,binary,2,2,-1; 9,television,Does the total income of your household allow you to satisfactorily cover your needs? Television
W3,se14d,socioeconomic,binary,2,2,-1; 9,cable,Does the total income of your household allow you to satisfactorily cover your needs? Cable Televisi...
W3,se14e,socioeconomic,binary,2,2,-1; 9,motorcycle,Does the total income of your household allow you to satisfactorily cover your needs? Motorcycle
W3,se14f,socioeconomic,binary,2,2,-1; 9,telephone,Does the total income of your household allow you to satisfactorily cover your needs? Telephone
W3,se14g,socioeconomic,binary,2,2,-1; 9,mobile,Does the total income of your household allow you to satisfactorily cover your needs? Mobile Phone
W3,se14h,socioeconomic,binary,2,2,-1; 9,electric,Does the total income of your household allow you to satisfactorily cover your needs? Electric Fan
W3,se14i,socioeconomic,binary,2,2,-1; 9,bicycle,Does the total income of your household allow you to satisfactorily cover your needs? Bicycle
W3,se14j,socioeconomic,binary,2,2,-1; 9,radio,Does the total income of your household allow you to satisfactorily cover your needs? Radio
W3,se14k,socioeconomic,binary,2,2,-1; 9,pumping,Does the total income of your household allow you to satisfactorily cover your needs? Pumping Set
W3,se14l,socioeconomic,binary,2,2,-1; 9,fridge,Does the total income of your household allow you to satisfactorily cover your needs? Fridge
W3,se14m,socioeconomic,binary,2,2,-1; 9,camera,Does the total income of your household allow you to satisfactorily cover your needs? Camera
W3,se14n,socioeconomic,binary,2,2,-1; 9,goats,Does the total income of your household allow you to satisfactorily cover your needs? Goats/Sheep
W3,se14o,socioeconomic,binary,2,2,-1; 9,buffalo,Does the total income of your household allow you to satisfactorily cover your needs? Cow/Buffalo
W3,se9d,socioeconomic,likert_3,3,3,-1; 9,seeking,SE9d. Are you currently seeking employment?
W4,fg,other,binary,2,2,-1; 7; 8; 9,member,What do you think the economic situation of your family will be a few years from now? Whether the re...
W4,ir10a,interviewer,binary,2,2,-1,ir10a,ir10a Was the interview conducted with the assistance of an interpreter?
W4,ir11b,interviewer,likert_3,3,3,-1,ir11b,ir11b Is there tape water in the household?
W4,ir11c,interviewer,binary,2,2,-1; 3,ir11c,ir11c Is electricity the main source of lighting in the house?
W4,ir11d,interviewer,binary,2,2,-1; 3,ir11d,ir11d Is this neighborhood covered by mobil phone network?
W4,ir12a,interviewer,ordinal,5,9,-1,ir12a,ir12a. Post-office
W4,ir12b,interviewer,ordinal,5,9,-1,ir12b,ir12b. School
W4,ir12c,interviewer,ordinal,5,9,-1,ir12c,ir12c. Police station
W4,ir12d,interviewer,ordinal,5,9,-1,ir12d,ir12d. Sewerage system that most houses could access
W4,ir12e,interviewer,ordinal,5,9,-1,ir12e,ir12e. Health clinic
W4,ir12f,interviewer,ordinal,5,9,-1,ir12f,ir12f. Signal for cellular phone
W4,ir12g,interviewer,ordinal,5,9,-1,ir12g,"ir12g. Recreational facilities, e.g., a sports field"
W4,ir12h,interviewer,ordinal,5,9,-1,ir12h,"ir12h. Any churches, mosques, temples or other public places of worship"
W4,ir12i,interviewer,ordinal,5,9,-1,ir12i,ir12i. Any town halls or community buildings that can be used for meetings
W4,ir12j,interviewer,ordinal,5,9,-1,ir12j,ir12j. Market stalls (selling groceries and/or clothing)
W4,ir2,interviewer,binary,2,2,-1,questionnaire,ir2 Is this the first questionnaire you have completed?
W4,ir3,interviewer,binary,2,2,-1,present,"ir3 In the interview, other than the respondent, were others present?"
W4,ir4,interviewer,likert_4,4,4,-1,refused,ir4 Has the respondent ever refused to be interviewed during the whole process?
W4,q1,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,overll,1. How would you rate the overll economic condition of our country today?
W4,q10,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,parties,What do you think the economic situation of your family will be a few years from now? 10 Political p...
W4,q11,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,parliament,What do you think the economic situation of your family will be a few years from now? 11 Parliament
W4,q110,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,commit,110 Do officials who commit crimes go unpunished?
W4,q111,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,withhold,111 How often do government officials withhold important information from the public view?
W4,q112,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,abuse,112 How often do you think government leaders break the law or abuse their power?
W4,q113,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,offer,113 How often do you think our elections offer the voters a real choice between different parties/ca...
W4,q116,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,having,116 How much do you feel that having elections makes the government pay attention to what the people...
W4,q12,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,civil,What do you think the economic situation of your family will be a few years from now? 12 Civil servi...
W4,q125,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,closest,125 Which of the following statements comes closest to your own opinion?
W4,q13,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,military,What do you think the economic situation of your family will be a few years from now? 13 The militar...
W4,q14,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,police,What do you think the economic situation of your family will be a few years from now? 14 The police
W4,q15,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,local,What do you think the economic situation of your family will be a few years from now? 15 Local gover...
W4,q16,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,newspaper,What do you think the economic situation of your family will be a few years from now? 16 Newspaper
W4,q169,core_questionnaire,likert_6,6,6,-1; 7; 8; 9,speaking,"169 General speaking, the influence China has on our country is?"
W4,q17,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,television,What do you think the economic situation of your family will be a few years from now? 17 Television
W4,q171,core_questionnaire,likert_6,6,6,-1; 7; 8; 9,speaking,"171 General speaking, the influence the United States has on our country is?"
W4,q18,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,commission,What do you think the economic situation of your family will be a few years from now? 18 The electio...
W4,q19,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,organizations,What do you think the economic situation of your family will be a few years from now? 19 Non-governm...
W4,q23,core_questionnaire,binary,2,2,-1; 7; 8; 9,trusted,"23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with..."
W4,q26,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,relatives,26. How much do you trust your relatives?
W4,q27,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,neighbors,27. Trust your neighbors
W4,q28,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,interact,28. Trust other people you interact with
W4,q33,core_questionnaire,binary,2,2,-1; 7; 8; 9,national,33 Did you vote in the last national election?
W4,q35,core_questionnaire,binary,2,2,-1; 7; 8; 9,attend,35. Did you attend a campaign meeting or rally?
W4,q36,core_questionnaire,binary,2,2,-1; 7; 8; 9,persudae,36. Try to persudae others to vote for a certain candidate or party?
W4,q37,core_questionnaire,binary,2,2,-1; 7; 8; 9,anything,37. Did you do anything else to help out or work for a party or candidate running in the last nation...
W4,q4,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,today,"4. As for your own family, how do you rate the economic situation of your family today?"
W4,q46,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,discuss,"46. When you get together with your family members or friends, how often do you discuss political ma..."
W4,q47,core_questionnaire,binary,2,2,-1; 7; 8; 9,access,47. Do you have Internet access at home?
W4,q48,core_questionnaire,binary,2,2,-1; 7; 8; 9,mobile,48. Do you have Internet access on a mobile phone?
W4,q50,core_questionnaire,binary,2,2,-1; 7; 8; 9,networks,50. Do you currently use any of the following social media networks?
W4,q7,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,excutive,What do you think the economic situation of your family will be a few years from now? 7 Trust in the...
W4,q8,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,courts,What do you think the economic situation of your family will be a few years from now? 8 The courts
W4,q9,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,capital,What do you think the economic situation of your family will be a few years from now? 9 National gov...
W4,se10,socioeconomic,ordinal,3,8,-1; 9,earner,se10.  Are you the main earner in your household?
W4,se10d,socioeconomic,likert_3,3,3,-1; 7; 8; 9,se10d,se10d Is he or she currently seeking employment?
W4,se15a,socioeconomic,binary,2,2,-1; 9,se15a,se15a Do your family own the following? Car/Jeep
W4,se15b,socioeconomic,binary,2,2,-1; 9,se15b,se15b Tractor
W4,se15c,socioeconomic,binary,2,2,-1; 9,se15c,se15c Color or B/W television
W4,se15d,socioeconomic,binary,2,2,-1; 9,se15d,se15d Cable TV
W4,se15e,socioeconomic,binary,2,2,-1; 9,se15e,se15e Scooter/motorcycle/moped
W4,se15f,socioeconomic,binary,2,2,-1; 9,se15f,se15f Telephone
W4,se15g,socioeconomic,binary,2,2,-1; 9,se15g,se15g Mobile phone
W4,se15h,socioeconomic,binary,2,2,-1; 9,se15h,se15h Electric fan/cooler
W4,se15i,socioeconomic,binary,2,2,-1; 9,se15i,se15i Bicycle
W4,se15j,socioeconomic,binary,2,2,-1; 9,se15j,se15j Radio/transistor
W4,se15k,socioeconomic,binary,2,2,-1; 9,se15k,se15k pumping set
W4,se15l,socioeconomic,binary,2,2,-1; 9,se15l,se15l Fridge
W4,se15m,socioeconomic,binary,2,2,-1; 9,se15m,se15m Camera
W4,se15n,socioeconomic,binary,2,2,-1; 9,se15n,se15n Goats/sheep
W4,se15o,socioeconomic,binary,2,2,-1; 9,se15o,se15o Cows/Buffalo
W4,se9d,socioeconomic,likert_3,3,3,-1; 7; 8; 9,seeking,se9d Are you currently seeking employment?
W5,IR10a,interviewer,binary,2,2,-1,ir10a,ir10a Was the interview conducted with the assistance of an interpreter?
W5,IR11c,interviewer,binary,2,2,-1; 3,ir11c,ir11c Is electricity the main source of lighting in the house?
W5,IR11d,interviewer,binary,2,2,-1; 9,ir11d,ir11d Is this neighborhood coverd by mobile phone network(signals)?
W5,IR3,interviewer,binary,2,2,-1,present,"ir3 In the interview, other than the respondent, were others present?"
W5,IR4,interviewer,likert_4,4,4,-1,refused,ir4 Has the respondent ever refused to be interviewed during the whole process?
W5,Ir2,interviewer,binary,2,2,-1,questionnaire,ir2 Is this the first questionnaire you have completed?
W5,SE10,socioeconomic,ordinal,3,8,-1; 9,earner,se10 Are you the main earner in your household?
W5,SE10D,socioeconomic,likert_3,3,3,-1; 7; 9,se10d,se10d Is he or she currently seeking employment?
W5,SE15A,socioeconomic,binary,2,2,-1,se15a,Se15a Do you or your fmaily own the following?Car/Jeep/Van
W5,SE15B,socioeconomic,binary,2,2,-1,se15b,Se15b Tractor
W5,SE15C,socioeconomic,binary,2,2,-1,se15c,Se15c Color or B/W Television
W5,SE15D,socioeconomic,binary,2,2,-1,se15d,Se15d Cable Televsion
W5,SE15E,socioeconomic,binary,2,2,-1,se15e,Se15e Scooter/Motorcycle/Moped
W5,SE15F,socioeconomic,binary,2,2,-1,se15f,Se15f Telephone
W5,SE15G,socioeconomic,binary,2,2,-1,se15g,Se15g Mobile Telephone
W5,SE15H,socioeconomic,binary,2,2,-1,se15h,Se15h Electric fan/cooler
W5,SE15I,socioeconomic,binary,2,2,-1,se15i,Se15i Bicycle
W5,SE15J,socioeconomic,binary,2,2,-1,se15j,Se15j Radio/transistor
W5,SE15K,socioeconomic,binary,2,2,-1,se15k,Se15k Pumping set
W5,SE15L,socioeconomic,binary,2,2,-1,se15l,Se15l Fridge
W5,SE15M,socioeconomic,binary,2,2,-1,se15m,Se15m Camera
W5,SE15N,socioeconomic,binary,2,2,-1,se15n,Se15n Goats/Sheep
W5,SE15O,socioeconomic,binary,2,2,-1,se15o,Se15o Cows/Buffalo
W5,SE9D,socioeconomic,likert_3,3,3,-1; 7; 9,seeking,se9d Are you currently seeking employment?
W5,q1,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,overall,1. How would you rate the overall economic condition of our country today?
W5,q117,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,withhold,117 How often do government officials withhold important information from the public?
W5,q118,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,break,118 How often do you think government leaders break the law or abuse their power?
W5,q119,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,offer,119 How often do you think our elections offer the voters a real choice between different parties/ca...
W5,q122,core_questionnaire,likert_4,4,4,-1; 7; 8; 9,having,122 How much do you feel that having elections makes the government more responsive to people's need...
W5,q127,core_questionnaire,binary,2,2,-1; 7; 8; 9,anyone,127 Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a polit...
W5,q127a_1,core_questionnaire,binary,2,2,-1; 8; 9,127a_1,127a_1 Did you personally witness it or were you told about it by a family member or friend who pers...
W5,q127a_2,core_questionnaire,binary,2,2,-1; 8; 9,127a_2,127a_2  Did you personally witness it or were you told about it by a family member or friend who per...
W5,q127a_3,core_questionnaire,binary,2,2,-1; 8; 9,127a_3,127a_3  Did you personally witness it or were you told about it by a family member or friend who per...
W5,q132,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,comes,132 Which of the following statements comes closest to your own opinion?
W5,q157,core_questionnaire,binary,2,2,-1; 7; 8; 9,limit,157 Which of the following statements do you agree with the most? limit or import of foreign goods
W5,q182,core_questionnaire,likert_6,6,6,-1; 7; 8; 9,general,"182 General speaking, the influence China has on our country is?"
W5,q184,core_questionnaire,likert_6,6,6,-1; 7; 8; 9,general,"184 General speaking, the influence the United States has on our country is?"
W5,q22,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,trusted,"22 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with..."
W5,q33,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,national,33 Did you vote in the last national election?
W5,q35,core_questionnaire,binary,2,2,-1; 7; 8; 9,attend,35. Did you attend a campaign meeting or rally in the last national election?
W5,q36,core_questionnaire,binary,2,2,-1; 7; 8; 9,persudae,36. Try to persudae others to vote for a certain candidate or party?
W5,q37,core_questionnaire,binary,2,2,-1; 7; 8; 9,anything,37. Did you do anything else to help out or work for a party or candidate running in the last nation...
W5,q39,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,roads,39 How easy or difficult to obtain roads in good condition
W5,q4,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,today,"4. As for your own family, how do you rate the economic situation of your family today?"
W5,q40,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,running,40 How easy or difficult to obtain running water
W5,q41,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,transportation,41 How easy or difficult to obtain public transportation
W5,q42,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,healthcare,42 How easy or difficult to obtain healthcare
W5,q43,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,pollice,43 How easy or difficult to obtain help from the pollice when you need it
W5,q44,core_questionnaire,likert_5,5,5,-1; 7; 8; 9,access,44 How easy or difficult to obtain access to the internet
W5,q48,core_questionnaire,likert_3,3,3,-1; 7; 8; 9,discuss,"48 When you get together with your family members or friends, how often do you discuss political mat..."
