variable_id,domain,concepts,question_text,value_labels,scale_type,scale_points,confidence,needs_reversal,first_na_value,max_substantive_value,validation_phrase,validation_phrase_occurrences,validation_phrase_score
ir010b,Unknown,,How do rate the sanitary condition in the public area in the interviewee's nearby neighborhood,1=Very bad; 2=Somewhat bad; 3=So so; 4=Fairly good; 5=Very good; 99=No Answer,likert_5,5,0.8,False,99,5,how do rate the sanitary,1,132.0
ir010c,Unknown,,Tell us whetherthe interviewee's residence has public water supply,1=Yes; 2=No; 99=No Answer,binary,2,0.8,True,99,2,tell us whetherthe interviewee's residence,2,46.66904755831214
ir010d,Unknown,,Tell us whetherthe interviewee's residence has public water supply Tell us whetherthe interviewee's residence has electricity,1=Yes; 2=No; 99=No Answer,binary,2,0.8,True,99,2,has public water supply tell,1,132.0
ir010e,Unknown,,Walking distance between the nearest public transportation stop and the respondent's house,1=Less than 10 minutes by walking; 2=Less than 20 minutes; 3=Less than 40 minutes; 4=Less than an hour; 5=Less than two hours; 6=Less than three hours; 7=Less than four hours; 8=More than fours hours; 99=No Answer,ordinal,8,0.8,False,99,8,walking distance between the nearest,1,132.0
pgnum,Unknown,,number of private group,0=None; 1=One; 2=Two; 3=Three; 99=No Answer,likert_3,4,0.8,False,99,3,number of private group,1,132.0
q001,Unknown,,How would you rate the overall economic condition of our country today?,1=Very Bad; 2=Bad; 3=So so; 4=Good; 5=Very Good; 98=Don't know; 99=No answer,likert_5,5,0.8,False,98,5,would you rate the overall,1,132.0
q002,Unknown,,How would you describe the change in the economic condition of our country over the past five years?,1=Much Worse; 2=A little Worse; 3=About the same; 4=A little Better; 5=Much Better; 98=Don't know; 99=No answer,likert_5,5,0.8,False,98,5,would you describe the change,2,46.66904755831214
q003,Unknown,,How would you describe the change in the economic condition of our country over the past five years? What do you think will be the state of our country's economic condition five years from now?,1=Much Worse; 2=A little Worse; 3=About the same; 4=A little Better; 5=Much Better; 98=Don't know; 99=No answer,likert_5,5,0.8,False,98,5,past five years? what do,1,132.0
q004,Unknown,,"As for your own family, how do you rate your economic situation today?",1=Very Bad; 2=Bad; 3=So so; 4=Good; 5=Very Good; 98=Don't know; 99=No answer,likert_5,5,0.8,False,98,5,"as for your own family,",1,132.0
q005,Unknown,,How would you compare the current economic condition of your family with what it was five years ago?,1=Much worse now; 2=A little worse now; 3=About the same; 4=A little better now; 5=Much better now; 98=Don't know; 99=No answer,likert_5,5,0.8,False,98,5,would you compare the current,1,132.0
q006,Unknown,,What do you think the economic situation of your family will be five years from now?,1=Much Worse; 2=A little Worse; 3=About the same; 4=A little Better; 5=Much Better; 98=Don't know; 99=No answer,likert_5,5,0.8,False,98,5,you think the economic situation,1,132.0
q007,Unknown,,How much trust do you have in the courts?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,much trust do,17,1.8832177943997621
q008,Unknown,,How much trust do you have in the courts? How much trust do you have in the national government?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,have in the national government?,1,132.0
q009,Unknown,,How much trust do you have in the courts? How much trust do you have in political parties?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,you have in political parties?,1,132.0
q010,Trust in Institutions,"trust, evaluation, institutional level",How much trust do you have in the courts? How much trust do you have in Parliament?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,have in parliament?,1,132.0
q011,Trust in Institutions,"trust, evaluation, institutional level",How much trust do you have in the courts? How much trust do you have in civil service?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,you have in civil service?,1,132.0
q012,Trust in Institutions,"trust, evaluation, institutional level",How much trust do you have in the courts? How much trust do you have in the military?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,in the military?,1,110.00000000000001
q013,Trust in Institutions,"trust, evaluation, institutional level",How much trust do you have in the courts? How much trust do you have in the police?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,in the police?,1,110.00000000000001
q014,Trust in Institutions,"trust, evaluation, institutional level",How much trust do you have in the courts? How much trust do you have in local government?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,you have in local government?,1,132.0
q015,Trust in Media,"trust, evaluation, media type",How much trust do you have in the courts? How much trust do you have in newspapers?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,have in newspapers?,1,132.0
q016,Trust in Media,"trust, evaluation, media type",How much trust do you have in the courts? How much trust do you have in television?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,have in television?,1,132.0
q017,Trust in Electoral Process,"trust, evaluation, institutional level",How much trust do you have in the courts? How much trust do you have in the election commission?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,have in the election commission?,1,132.0
q018,Trust in Institutions,"trust, evaluation, institutional level",How much trust do you have in the courts? How much trust do you have in non-governmental organizations?,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,you have in non-governmental organizations?,1,132.0
q018_1,Trust in Law Enforcement,"trust, evaluation, institutional level",How much trust do you have in the courts? TRUST POLICE STATION,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,courts? trust police station,1,132.0
q018_2,Trust in Institutions,"trust, institutions, courts, state owned enterprises",How much trust do you have in the courts? TRUST STATE OWNED ENTERPRISES,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,courts? trust state owned enterprises,1,132.0
q018_3,Trust in Institutions,"trust, institutions, courts, private enterprises",How much trust do you have in the courts? TRUST PRIVATE ENTERPRISES,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,courts? trust private enterprises,1,132.0
q018_4,Trust in Institutions,"trust, institutions, courts, foreign enterprises",How much trust do you have in the courts? TRUST FOREIGN ENTERPRISES,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,courts? trust foreign enterprises,1,132.0
q018_5,National Identity,"trust, country",How much trust do you have in the courts? TRUST OUR COUNTRY,0=Not sure; 1=None at all; 2=Not very much trust; 3=Quite a lot of trust; 4=A great deal of trust; 98=Don't know; 99=No Answer,likert_4,5,0.8,False,98,4,courts? trust our country,1,132.0
q018_6,Media Perception,"trust, media, radio",how much trust in radio?,1=none at all; 2=not very much trust; 3=quite a lot of trust; 4=a great deal of trust; 99=No answer,likert_4,4,0.8,False,99,4,how much trust in radio?,4,16.5
q018_7,Media Perception,"trust, media, radio, local mp",how much trust in radio? Local MP(q18_1),1=none at all; 2=not very much trust; 3=quite a lot of trust; 4=a great deal of trust; 99=No Answer,likert_4,4,0.8,False,99,4,much trust in radio? local,1,132.0
q018_8,Media Perception,"trust, media, radio, constitution court",how much trust in radio? The Constitution Court(q18_2),1=none at all; 2=not very much trust; 3=quite a lot of trust; 4=a great deal of trust; 99=No Answer,likert_4,4,0.8,False,99,4,trust in radio? the constitution,1,132.0
q018_9,Media Perception,"trust, media, radio, corruption commission",how much trust in radio? The Corruption Commission(q18_3),1=none at all; 2=not very much trust; 3=quite a lot of trust; 4=a great deal of trust; 99=No Answer,likert_4,4,0.8,False,99,4,trust in radio? the corruption,1,132.0
q022,Civic Engagement,"participation, frequency",How frequently do you participate?,1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; 97=Not applicable; 98=Don't know; 99=No answer,likert_5,5,0.8,False,97,5,how frequently do you participate?,2,46.66904755831214
q023,Civic Engagement,"participation, politics, frequency",How frequently do you participate? How often do you discuss politics?,1=Never; 2=Rarely; 3=Sometimes; 4=Often; 5=Very often; 97=Not applicable; 98=Don't know; 99=No answer,likert_5,5,0.8,False,97,5,frequently do you participate? how,1,132.0
q024,Trust in Society,"trust, people, generalization",most people can be trusted??,1=One can't be too careful in dealing with them; 2=Most people can be trusted; 3=Both; 98=Don't know; 99=No answer,likert_3,3,0.8,False,98,3,most people can be trusted??,1,132.0
q025,Social Support,"social connections, help seeking, evaluation",I have enough friends and connections so that I can get help if I need it,1=Applies very well; 2=Applies pretty well; 3=Doesn't apply much; 4=Doesn't apply at all; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,i have enough friends and,2,46.66904755831214
q026,Social Support,"social influence, help seeking, evaluation","I have enough friends and connections so that I can get help if I need it I have some friends with influence, so I don't have to worry too much if I get into a tight spot",1=Applies very well; 2=Applies pretty well; 3=Doesn't apply much; 4=Doesn't apply at all; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,if i need it i,1,132.0
q027,Voting Behavior,"election participation, behavioral action",Have you participated in last election?,1=No; 2=Yes; 97=Not applicable; 98=Don't remember; 99=No answer,binary,2,0.8,False,97,2,have you participated in last,1,132.0
q028,Voting Behavior,"party affiliation, voting choice",Which party did you vote for?,96=Forgot; 97=Not applicable; 98=Don't know; 99=No answer; 101=LDP; 102=DPJ; 103=New Komeito; 104=SDP; 105=JCP; 106=NCP; 107=LP; 108=Other parties; 109=Not affiliated; 301=Lee Hoi-chang; 302=Roh Moo-hyun; 303=Kwon Young-ghil; 304=Jang Se-Dong; 501=MAHN; 502=AN; 503=MAShSN; 504=IZ-BNN; 505=other; 701=James Chu Yu Soong; 702=Chan Lien; 703=Ao Lee; 704=Hsin-liang Hsu; 705=Shui-bian Chen; 801=Democrat; 805=New Aspiration; 807=Thai Rak Thai; 809=Chat Thai; 811=Thai Motherland; 813=Rassadorn; 815=Seritham; 818=Prachakorn Thai; 821=Chat Pattana,categorical,10,0.8,False,301,109,which party did you vote,1,132.0
q029,Voting Behavior,"campaign engagement, behavioral action",Did you attend a campaign meeting or rally?,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,did you attend a campaign,27,0.9408671053460568
q030,Voting Behavior,"persuasion, behavioral action",Did you attend a campaign meeting or rally? Did you try to persuade others to vote for a certain candidate or party?,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,or rally? did you try,1,132.0
q031,Voting Behavior,"campaign engagement, behavioral action",Did you attend a campaign meeting or rally? Did you do anything else to help or show your support for a party or candidate running in the election?,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,rally? did you do anything,1,132.0
q032,Voting Behavior,"candidate endorsement, behavioral action",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_FAMILY MEMBER/RELATIVE,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,vote for a particular candidate?_family,1,132.0
q033,Voting Behavior,"candidate endorsement, behavioral action",Did you attend a campaign meeting or rally? Asked following personally ask you to vote for a particular candidate?_SENIORS IN A CLAN OR EXTENDED FAMILY,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,meeting or rally? asked following,1,132.0
q034,Political Participation,"campaign meeting, rally, election, voting, candidate",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_NEIGHBOR/FRIEND,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,vote for a particular candidate?_neighbor/friend,1,132.0
q035,Political Participation,"campaign meeting, rally, election, voting, candidate",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_COMMUNITY LEADERS,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,vote for a particular candidate?_community,1,132.0
q036,Political Participation,"campaign meeting, rally, election, voting, candidate",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_SUPERIOR AT WORK/SCHOOL,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,vote for a particular candidate?_superior,1,132.0
q037,Political Participation,"campaign meeting, rally, election, voting, candidate",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,vote for a particular candidate?_owners,1,132.0
q038,Political Participation,"campaign meeting, rally, election, voting, candidate",Did you attend a campaign meeting or rally? Asked to vote for a particularcandidate?_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,particularcandidate?_member/official of organization that you,1,132.0
q039,Political Participation,"campaign meeting, rally, election, voting, candidate, government official",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,candidate?_government official whom you know,1,132.0
q040,Political Participation,"campaign meeting, rally, election, voting, candidate, government official",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,candidate?_government official whom you don't,1,132.0
q041,Political Participation,"campaign meeting, rally, election, voting, candidate, party activist",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,candidate?_candidate/party activist whom you know,1,132.0
q042,Political Participation,"campaign meeting, rally, election, voting, candidate, party activist",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_CANDIDATE/PARTY ACTIVIST WHOM YOU DONT KNOW,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,candidate?_candidate/party activist whom you dont,1,132.0
q043,Political Participation,"campaign meeting, rally, election, voting, candidate",Did you attend a campaign meeting or rally? Asked to vote for a particular candidate?_OTHERS,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,vote for a particular candidate?_others,1,132.0
q044,Political Participation,"political event attendance, influence of family member",Did you attend a campaign meeting or rally? Influential_FAMILY MEMBER/RELATIVE,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,campaign meeting or rally? influential_family,1,132.0
q045,Political Participation,"political event attendance, influence of seniors in a clan or extended family",Did you attend a campaign meeting or rally? Influential_SENIORS IN A CLAN OR EXTENDED FAMILY,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,campaign meeting or rally? influential_seniors,1,132.0
q046,Political Participation,"political event attendance, influence of neighbor or friend",Did you attend a campaign meeting or rally? Influential_NEIGHBOR/FRIEND,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,campaign meeting or rally? influential_neighbor/friend,1,132.0
q047,Political Participation,"political event attendance, influence of community leaders",Did you attend a campaign meeting or rally? Influential_COMMUNITY LEADERS,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,campaign meeting or rally? influential_community,1,132.0
q048,Political Participation,"political event attendance, influence of superior at work or school",Did you attend a campaign meeting or rally? Influential_SUPERIOR AT WORK/SCHOOL,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,campaign meeting or rally? influential_superior,1,132.0
q049,Political Participation,"political event attendance, influence of owner of the firm/unit that you work for",Did you attend a campaign meeting or rally? Influential_OWNERS OF THE FIRM/UNIT THAT YOU WORK FOR,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,campaign meeting or rally? influential_owners,1,132.0
q050,Political Participation,"political event attendance, influence of member/official of organization that you belong to",Did you attend a campaign meeting or rally? Influential_MEMBER/OFFICIAL OF ORGANIZATION THAT YOU BELONG TO,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,campaign meeting or rally? influential_member/official,1,132.0
q051,Political Participation,"political event attendance, influence of government official whom you know personally",Did you attend a campaign meeting or rally? Influential_GOVERNMENT OFFICIAL WHOM YOU KNOW PERSONALLY,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,influential_government official whom you know,1,132.0
q052,Political Participation,"political event attendance, influence of government official whom you don't know",Did you attend a campaign meeting or rally? Influential_GOVERNMENT OFFICIAL WHOM YOU DON'T KNOW,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,influential_government official whom you don't,1,132.0
q053,Political Participation,"political event attendance, influence of candidate/party activist whom you know personally",Did you attend a campaign meeting or rally? Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU KNOW PERSONALLY,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,influential_candidate/party activist whom you know,1,132.0
q054,Political Participation,"political participation, campaign events, influence",Did you attend a campaign meeting or rally? Influential_CANDIDATE/PARTY ACTIVIST WHOM YOU DON'T KNOW,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,influential_candidate/party activist whom you don't,1,132.0
q055,Political Participation,"political participation, campaign events, influence",Did you attend a campaign meeting or rally? Influential_OTHERS,1=No; 2=Yes; 97=Not applicable; 98=Don't know; 99=No answer,binary,2,0.8,False,97,2,campaign meeting or rally? influential_others,1,132.0
q056,Political Interest,"political interest, evaluation, temporal comparison",How interested would you say you are interested in politics?,1=Not at all interested; 2=Not very interested; 3=Somewhat interested; 4=Very interested; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,you are interested in politics?,1,132.0
q057,Media Consumption,"media consumption, news following, frequency",How often do you follow news about politics?,2=Practically never; 3=Not even once a week; 4=Once or twice a week; 5=Several times a week; 6=Everyday; 98=Don't know; 99=No answer,likert_6,5,0.8,False,98,6,how often do you follow,5,11.806438921198891
q057a,Media Consumption,"media consumption, news following, frequency, media channels","How often do you follow news about politics? How often do you follow news about politics in the daily newspaper, television, and radio?",2=Practically never; 3=Not even once a week; 4=Once or twice a week; 5=Several times a week; 6=Everyday; 98=Don't know; 99=No answer,likert_6,5,0.8,False,98,6,"politics in the daily newspaper,",1,132.0
q058,Media Consumption,"media consumption, news following, frequency, newspaper",How often do you follow news about politics? How often do you follow news about politics in the daily newspaper?,2=Practically never; 3=Not even once a week; 4=Once or twice a week; 5=Several times a week; 6=Everyday; 98=Don't know; 99=No answer,likert_6,5,0.8,False,98,6,politics in the daily newspaper?,1,132.0
q059,Media Consumption,"media consumption, news following, frequency, television",How often do you follow news about politics? How often do you follow news about politics on television?,2=Practically never; 3=Not even once a week; 4=Once or twice a week; 5=Several times a week; 6=Everyday; 98=Don't know; 99=No answer,likert_6,5,0.8,False,98,6,news about politics on television?,1,132.0
q060,Media Consumption,"media consumption, news following, frequency, radio",How often do you follow news about politics? How often do you follow news about politics on the radio?,2=Practically never; 3=Not even once a week; 4=Once or twice a week; 5=Several times a week; 6=Everyday; 98=Don't know; 99=No answer,likert_6,5,0.8,False,98,6,about politics on the radio?,1,132.0
q061,Government Impact,"government policies, daily life impact, evaluation",How much impact do you feel government policies have on your daily life?,1=No impact at all; 2=A little impact; 3=Quite some impact; 4=A great deal of impact; 97=Not applicable; 98=Don't know; 99=No answer,likert_4,4,0.8,False,97,4,much impact do you feel,1,132.0
q062,Party Affiliation,"party affiliation, evaluation, temporal comparison",party feel closest to,97=Don't know; 98=No answer; 99=Don't feel close to any political party; 101=LDP; 102=DPJ; 103=New Komeito; 104=SDP; 105=JCP; 106=NCP; 107=LP; 108=other; 201=DEMOCRATIC PARTY; 202=LIBERAL PARTY; 203=DAB; 204=THE FRONTIER; 205=HKADPL; 206=CITIZENS PARTY; 207=HK PROGRESSIVE ALLIANCE; 209=FEDERATION OF TRADE UNIONS; 210=KUOMINTANG; 301=Democratic party; 302=Grand National party; 303=United Liberal Democrats; 304=Democratic Labor party; 305=Others; 501=MAHN; 502=AN; 503=IZ-BNN; 504=MASnSN; 505=others; 601=LABAN NG DEMOKRATIKONG PILIPINO; 602=LAKAS NG TAO-NATIONAL UNION OF CHRISTIAN DEMOCRATS-UNITED M; 603=LIBERAL PARTY; 604=NACIONALISTA PARTY; 605=NATIONALIST PEOPLES COALITION; 606=PARTIDO NG MASANG PILIPINO; 607=PHILIPPINE DEMOCRATIC PARTY-LAKAS NG BAYAN; 608=PING LACSON PARTY; 609=KBL; 610=PROMDI; 611=ESTRADA PARTY; 612=PUWERSA NG MASA; 613=GLORIA ARROYO PARTY; 614=KANG VELOSO MAYOR SA UNA; 615=COJUSIGCO PARTY; 616=OMPIA PARTY (GOV. OF LANAO DEL SUR); 617=MAGDALO PARTY; 618=LITO OSMENA PARTY; 619=COROMINAS PARTY; 620=GROUP OF MIRIAM SANTIAGO; 621=MAYOR DODONG VILLABA; 622=INDEPENDENT; 623=PPC - PEOPLE POWER COALITION; 624=CEBU MAYOR PARTY; 625=TOMMY OSMENA PARTY; 626=BAYAN MUNA; 627=KUSOG; 628=ROCO PARTY; 701=KMT; 702=DPP; 703=NP; 704=PFP; 705=TIP; 706=Green parties; 801=Democrat; 802=Thai rak Thai; 803=Chat thai; 804=Chat Pattana; 805=Rassadorn; 806=Kuamwangmai; 807=Thai Motherland; 808=Seritham; 108=other,categorical,10,0.8,False,201,108,party feel closest,1,132.0
q063,Social Norms and Family,"family relationships, obedience, parent-child dynamics",closeness,0=Extent unknown; 1=Just a little close; 2=Somewhat close; 3=Very close; 97=Not applicable; 98=Don't know; 99=No answer,likert_3,4,0.8,False,97,3,closeness,1,50.0
q064,Social Norms and Family,"obedience, parent-child dynamics, authority","Even if parents' demands are unreasonable, children still should do what they ask?",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,even if parents' demands are,9,4.888888888888889
q065,Social Norms and Family,"family relationships, favoritism, employment","Even if parents' demands are unreasonable, children still should do what they ask? When hiring someone, even if a stranger is more qualified, the opportunity should still be given to relatives and friend",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,what they ask? when hiring,1,132.0
