"variable_id","domain","concepts","question_text"
"q105","Basic Necessities","basic needs; access to resources; living standards","q105. People have basic necessities like food, clothes, and shelter."
"q106","Freedom of Speech","freedom of expression; political dissent; social freedoms","q106. People are free to speak what they think without fear."
"q107","Freedom of Association","freedom of assembly; political participation; social groups","q107. People can join any organization they like without fear."
"q108","Government Accountability","law enforcement; justice system; corruption","q108. Do officials who commit crimes go unpunished?"
"q109","Political Trust and Accountability","government officials; information withholding; public view; frequency","q109. How often do government officials withhold important information from the public view?"
"q11","Political Trust","trust; parliament; institution; evaluation","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Parliament"
"q110","Political Trust and Accountability","government leaders; law breaking; abuse of power; frequency","q110. How often do you think government leaders break the law or abuse their power?"
"q111","Political Trust and Election Process","elections; choice; parties/candidates; frequency","q111.  How often do you think our elections offer the voters a real choice between different parties/candidates?"
"q112","Political Accountability and Oversight","legislature; government leaders; check; effectiveness; extent","q112. To what extent is the legislature capable of keeping government leaders in check?"
"q113","Public Perception of Government","government; response; public wants; effectiveness","q113. How well do you think the government responds to what people want?"
"q114","Community Engagement and Local Affairs","neighborhood; community; voice; interests; concerns; frequency","q114. In your neighborhood or community, do people voice their interests and concerns in local affairs?"
"q115","Public Perception of Government","elections; attention; government; people's thoughts; frequency","q115. How much do you feel that having elections makes the government pay attention to what the people think?"
"q116","Corruption and Bribery","corruption; bribery; local government; widespread; extent","q116. How widespread do you think corruption and bribe-taking are in your local/municipal government?  Would you say …?"
"q117","Corruption and Bribery","corruption; bribery; national government; capital city; widespread; extent","q117. How widespread do you think corruption and bribe-taking are in the national government [in capital city]?  Would you say …?"
"q118","Trust in Government","corruption; bribery; government actions","q118. In your opinion, is the government working to crack down on corruption and root out bribery?"
"q119","Witnessing Corruption","corruption; bribery; witnessing; personal experience; family member; friend","q119. Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? IF WITNESSED: Did you personally witness it or were you told about it by a family member or friend who per"
"q119_1","Witnessing Corruption","corruption; bribery; witnessing; personal experience","Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? 119_1 Personally witnessed"
"q119_2","Witnessing Corruption","corruption; bribery; witnessing; told about; family member","Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? 119_2 Told about it by family member"
"q119_3","Witnessing Corruption","corruption; bribery; witnessing; told about; friend","Have you or anyone you know personally witnessed an act of corruption or bribe-taking by a politician or government official in the past year? 119_3 Told about it by friend"
"q12","Trust in Institutions","civil service; trust level; evaluation","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Civil service"
"q120","Political System","democracy; China; scale; evaluation","q120. Remember the scale that we used before: 1 means completely undemocratic and 10 means completely democratic. Where would you place China today on this scale?"
"q121","Political System","democracy; United States; scale; evaluation","q121. Where would you place the United States today on this scale?"
"q122","Political System","democracy; Japan; scale; evaluation","q122. Where would you place Japan today on this scale?"
"q123","Political System","democracy; India; scale; evaluation","q123. Where would you place India today on this scale?"
"q124","Political Attitudes","opinion; political system; evaluation","q124. Which of the following statements comes closest to your own opinion?"
"q125","Political Attitudes","opinion; political system; evaluation","q125. Which of the following statements comes closer to your own view?"
"q126","Political Attitudes","political ideology; prioritization; economic development; democracy","q126. If you had to choose between democracy and economic development, which would you say is more important?"
"q127","Political Attitudes","political ideology; prioritization; economic inequality; political freedom","q127. If you had to choose between reducing economic inequality and protecting political freedom, which would you say is more important?"
"q128","Political Attitudes","political system; evaluation; democracy","q128. Do you agree or disagree with the following statement: ""Democracy may have its problems, but it is still the best form of government."""
"q129","Political Attitudes","political system; approval/disapproval; parliament; election","q129. There are many ways to govern a country. Would you disapprove or approve of the following alternatives? For each statement, would you say you strongly approve, approve, disapprove, or strongly disapprove? We should get rid of parliament and election"
"q129a_q131a","Political Attitudes","political system; approval/disapproval; authoritarian options","sum of Q129a_q131a(reject all authoritarian options)"
"q13","Trust in Institutions","trust level; military; political system","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The military(or armed forces)"
"q130","Political Attitudes","political system; approval/disapproval; single-party system","There are many ways to govern a country. Would you disapprove or approve of the following alternatives? Only one political party should be allowed to stand for election and hold office."
"q130a","Political Attitudes","political system; approval/disapproval; single-party system","one poltical party"
"q131","Political Participation and Trust","government takeover; approval/disapproval; military involvement","There are many ways to govern a country. Would you disapprove or approve of the following alternatives? The army (military) should come in to govern the country."
"q131a","Unknown","","army"
"q132","Political Participation and Trust","expert governance; parliamentary system; elections","q132. We should get rid of elections and parliaments and have experts make decisions on behalf of the people."
"q133","Political Participation and Civic Engagement","political participation; ability to participate; agreement/disagreement","q133. I have here some statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? I think I have the ability to participate in politics."
"q134","Political Complexity and Understanding","political complexity; understanding of government; difficulty","q134. Sometimes politics and government seems so complicated that a person like me can't really understand what is going on."
"q135","Political Participation and Influence","influence over government; lack of influence; powerlessness","q135. People like me don't have any influence over what the government does."
"q136","Political Trust and Confidence","trust in government; government trustworthiness; moral character","q136. You can generally trust the people who run our government to do what is right."
"q137","Political Loyalty and Patriotism","national loyalty; patriotism; country imperfections","q137. A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done."
"q138","Religious Influence and Law","religious authority; law interpretation; government consultation","q138. I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? The government should consult religious authorities when interpreting the laws."
"q139","Gender and Political Participation","women in politics; gender roles; political involvement","I have here other statements. For each statement, would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Women should not be involved in politics as much as men."
"q14","Trust in Institutions","trust; police","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The police"
"q140","Political Participation","education; political representation; equality","q140. People with little or no education should have as much say in politics as highly-educated people."
"q141","Political Authority and Leadership","leadership; obedience; family analogy","q141. Government leaders are like the head of a family; we should all follow their decisions."
"q141a","Political Authority and Leadership","government leader","government leader"
"q141a_q147a","Political Values","authoritarian values; rejection","average rejection of authoritarian values"
"q142","Political Freedom and Censorship","government control; ideas; discussion","q142. The government should decide whether certain ideas should be allowed to be discussed in society."
"q142a","Political Freedom and Censorship","certain ideas","certain ideas"
"q143","Community Harmony","community harmony; group organization; disruption","q143. Harmony of the community will be disrupted if people organize lots of groups."
"q143a","Community Harmony","harmony of the community","Harmony of the community"
"q144","Judicial Authority","judges; executive branch; decision making","q144. When judges decide important cases, they should accept the view of the executive branch."
"q144a","Trust in Government","judges; government; legislature; supervision; accomplishment","judges"
"q145","Trust in Government","government; legislature; monitoring; accomplishment; great things","q145. If the government is constantly checked [i.e. monitored and supervised] by the legislature, it cannot possibly accomplish great things."
"q145a","Trust in Government","legislature; checked; government","checked by the legislature"
"q146","Trust in Government","political leaders; morality; decision making; government","q146. If we have political leaders who are morally upright, we can let them decide everything."
"q146a","Trust in Government","political leaders; morality; decision making","political leaders"
"q147","Social Stability","society; different thinking; chaotic","q147. If people have too many different ways of thinking, society will be chaotic."
"q147a","Social Stability","chaotic","chaotic"
"q148","Government's Role in Crisis","government; law; difficult situation; disregard","q148. When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation."
"q149","Foreign Policy Awareness","foreign countries; world; events; follow","q149. How closely do you follow major events in foreign countries / the world?"
"q15","Public Trust in Institutions","trust; local government","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Local government"
"q150","Economic Perception","foreign media consumption; frequency","q150. How often do you watch or listen to foreign programs (television, DVDs, movies, radio)?"
"q151","Political Ideology","national identity; cultural assimilation; defense policy","q151. Our country should defend our way of life instead of becoming more and more like other countries."
"q152","Economic Policy","protectionism; import restrictions; domestic industry","q152. Do you agree or disagree with the following statement: ""We should protect our farmers and workers by limiting the import of foreign goods."""
"q153","Economic Policy","foreign goods impact; local community; economic competition","q153. Do you agree or disagree with the following statement: ""Foreign goods are hurting the local community."""
"q154","National Identity","patriotism; citizenship pride; national sentiment","q154. How proud are you to be a citizen of (COUNTRY)?"
"q155","Migration and Mobility","international relocation; willingness to emigrate; cultural integration","q155. Given the chance, how willing would you be to go and live in another country?"
"q156","Geopolitical Influence","regional power; international influence; regional leadership","q156. Which country has the most influence in Asia?"
"q157","Geopolitical Influence","regional power; international influence; regional leadership","q157. Does (answer in Q156) do more good or harm to the region? Ask Q157a if the answer in Q156 is not China, otherwise skip to Q158"
"q157a","Geopolitical Influence","China's impact; regional impact; positive/negative impact","q157a. Does China do more good or harm to the region?"
"q157b","Geopolitical Influence","China's impact; regional impact; positive/negative impact","q157b. Does China do more good or harm to the region? (Whether the most influence country is China or not.)"
"q158","Geopolitical Influence","country; influence; Asia; future","q158. In ten years, which country will have the most influence in Asia?"
"q159","Geopolitical Influence","country; model; future development; own country","q159. Which country should be a model for our own country's future development?"
"q16","Trust in Institutions","trust; newspapers; institutions","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Newspapers"
"q160","China's Influence","influence; China; country","q160. How much influence does China have on our country?"
"q161","China's Influence","influence; China; country; general","q161. General speaking, the influence China has on our country is?"
"q17","Trust in Institutions","trust; television; institutions","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Television"
"q18","Trust in Institutions","trust; election commission; institutions","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The election commission [specify institution by name] <Optional>"
"q19","Trust in Institutions","trust; NGOs; institutions","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Non-governmental organizations or NGOs <Optional>"
"q2","Economic Perception","economic condition; country; change; current evaluation","q2. How would you describe the change in the economic condition of our country over the last few years"
"q20","Organizational Affiliation","organizations; groups; membership; first organization","q20. Could you identity the three most important organizations or formal groups you belong to. First Organization"
"q21","Second Organization","organization; type of organization","q21. Second Organization"
"q22","Third Organization","organization; type of organization","q22. Third Organization"
"q23","Trust in People","trust level; general evaluation; risk assessment","q23. General speaking, would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?"
"q24","Trust in People","trust level; general evaluation; risk assessment","q24. Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? (NEW)"
"q25","Trust in People","trust level; familial relationships; trust evaluation","q25. How much trust do you have in each of the following types of people?   Your relatives"
"q26","Trust in People","trust level; neighboring relationships; trust evaluation","q26. Your neighbors"
"q27","Trust in People","trust level; other social interactions; trust evaluation","q27. Other people you interact with"
"q28","Social Interaction","social contact; frequency; one-on-one interactions","q28. On average, about how many people do you have contact with in a typical week day?  We are interested in contact on a one-on-one basis, including everyone with whom you chat, talk, or discuss matters.  This can be face to face, by telephone, by mail,"
"q29","Social Support","social support; help seeking; external support","q29. If you have a difficult problem to manage, are there people outside your household you can ask for help? (NEW)"
"q3","Economic Perception","economic condition; national level; future prediction","q3. What do you think will be the state of our country's economic condition a few years from now? Will it be …"
"q30","Social Support","social support; help seeking; household","q30. When people outside your household have problems, do they come to you for help? (NEW)"
"q31","Political Attitudes","political differences; conversation; political opinions","q31. If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them? (NEW)"
"q32","Election Participation","voting; election participation; reasons for non-voting","q32. In talking to people about elections, we often find that a lot of people were not able to vote because they were away from home, they were sick or they just didn't have time. How about you? Did you vote in the election [the most recent national elect"
"q33","Election Participation","voting; candidate voting; party voting","q33. Which parties (or candidates for president if it was presidential race) did you vote for? [country-specific response grid]"
"q33a","Election Participation","winning camp; losing camp; election outcome","q33a. Based on the answer to Q33, please construct a new variable indicating if the respondent voted for the winning camp or losing camp."
"q34","Political Participation","campaign attendance; rally attendance; political engagement","q34. Thinking about the national election in [year], did you attend a campaign meeting or rally?"
"q35","Political Behavior","persuasion; voter mobilization; political advocacy","q35. try to persuade others to vote for a certain candidate or party?"
"q36","Political Participation","campaign work; volunteer work; political activism","q36. Did you do anything else to help out or work for a party or candidate running in the election?"
"q37","Election Perception","election fairness; fairness evaluation; election integrity","q37. On the whole, how free and fair would you say the last national election was? (NEW)"
"q38","Government Services","service access; government services; service availability","q38. Based on your experience, how easy or difficult is it to obtain the following services?  Or have you never tried to get these services from government?  An identity document (such as a birth certificate or passport)"
"q39","Service Accessibility","public primary school; child; ease of access; difficulty","Based on your experience, how easy or difficult is it to obtain the following services? A place in a public primary school for a child"
"q4","Economic Perception","economic situation; family; evaluation; current situation","q4. As for your own family, how do you rate the economic situation of your family today?  Is it …"
"q40","Service Accessibility","medical treatment; nearby clinic; ease of access; difficulty","Based on your experience, how easy or difficult is it to obtain the following services? Medical treatment at a nearby clinic"
"q41","Public Safety","police assistance; need for assistance; ease of access; difficulty","Based on your experience, how easy or difficult is it to obtain the following services? Help from the police when you need it"
"q42","Safety Perception","safety; city/town/village; level of safety; perception","q42. Generally speaking, how safe is living in this city/ town/ village - very safe, safe, unsafe or very unsafe?"
"q43","Political Interest","political interest; level of interest; political engagement","q43. How interested would you say you are in politics?"
"q44","Political Engagement","news consumption; frequency of following; political news","q44. How often do you follow news about politics and government?"
"q45","Technology Usage","internet usage; frequency of use; digital access","q45. How often do you use the internet?"
"q46","Social Interactions","family/friend gatherings; frequency of discussion; political topics","q46. When you get together with your family members or friends, how often do you discuss political matters?"
"q47","Political Affiliation","political party identification; party affiliation; closest party","q47. Among the political parties listed here, which party if any do you feel closest to?"
"q48","Economic Perception","economic condition; evaluation; temporal comparison","q48. How close do you feel to (answer in Q47)? Is it very close, somewhat close, or just a little close?"
"q49","Trust in Government","trustworthiness; agreement/disagreement","q49. Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Most people are trustworthy?"
"q5","Economic Perception","economic condition; comparison; time frame","q5. How would you compare the current economic condition of your family with what it was a few years ago? Is it …"
"q50","Social Values","personal interests; sacrifice; family","Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? For the sake of the family, the individual should put his personal interests second"
"q51","Social Values","group interest; individual interest; sacrifice","q51. In a group, we should sacrifice our individual interest for the sake of the group's collective interest."
"q52","National Interest","national interest; individual interest; sacrifice","q52. For the sake of national interest, individual interest could be sacrificed."
"q53","Social Values","relationship; long-term; immediate interest","q53. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest."
"q54","Social Values","interest; future planning; immediate interest","q54. When dealing with others, one should not only focus on immediate interest but also plan for future."
"q55","Family Dynamics","parental demands; obedience; children","q55. Even if parents' demands are unreasonable, children still should do what they ask."
"q56","Family Dynamics","mother-in-law; daughter-in-law; husband; obedience","q56. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother."
"q57","Social Norms and Values","authority; obedience; student behavior","q57. Being a student, one should not question the authority of their teacher."
"q58","Social Norms and Values","group harmony; conflict avoidance; disagreement","q58. In a group, we should avoid open quarrel to preserve the harmony of the group"
"q59","Social Norms and Values","conflict avoidance; disagreement; personal conflict","q59. Even if there is some disagreement with others, one should avoid the conflict"
"q6","Economic Perception","economic situation; family future; economic outlook","q6. What do you think the economic situation of your family will be a few years from now? Will it be …"
"q60","Social Norms and Values","opinion sharing; persuasion; coworker disagreement","q60. A person should not insist on his own opinion if his co-workers disagree with him"
"q61","Philosophical Beliefs","fate; destiny; social determinism","q61. Wealth and poverty, success and failure are all determined by fate."
"q62","Gender Roles and Preferences","gender preference; sex ratio; family planning","q62. If one could have only one child, it is more preferable to have a boy than a girl."
"q63","Ethics and Values","short-term gain; long-term perspective; ethical behavior","q63. When dealing with others, one should not be preoccupied with temporary gains and losses."
"q64","Political and Social Issues","government interaction; citizen engagement; political participation","q64. In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ"
"q65","Political and Social Issues","government interaction; citizen engagement; political participation","In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ Contacted officials at higher level."
"q66","Political Engagement","contacting officials; personal/family/neighborhood problems; government policies","In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ Contacted traditional leaders/community leaders."
"q67","Political Engagement","contacting officials; influential people outside government; personal/family/neighborhood problems","In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ Contacted other influential people outside the government"
"q68","Political Engagement","contacting officials; news media; personal/family/neighborhood problems","In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contacted elected officials or legislative representativ Contacted news media"
"q69","Civic Engagement","gathering with others; political action","q69. Here is a list of actions that people sometimes take as citizens. For each of these, please tell me whether you, personally, have never, once, or more than once done any of these things during the past three years.   Got together with others to try t"
"q7","Trust in Government","trust in president; trust level","q7. I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The president"
"q70","Civic Engagement","gathering with others; political action","q70. Got together with others to raise an issue or sign a petition"
"q71","Civic Engagement","attending demonstrations; political participation","q71. Attended a demonstration or protest march"
"q72","Political Activism","using force; political action","q72. Used force or violence for a political cause"
"q73","Voting Behavior","voting history; voting frequency","q73. Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself -have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?"
"q74","Political Preference","government type; political ideology","q74. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o"
"q74a","Political Ideology/Preference","agreement; political preference","q74a. Do you strongly agree or just agree with the chosen statement?"
"q75","Political Ideology/Preference","government type; political ideology; agreement","q75. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o"
"q75a","Political Ideology/Preference","agreement; political preference","q75a. Do you strongly agree or just agree with the chosen statement?"
"q76","Political Ideology/Preference","government type; political ideology; agreement","q76. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o"
"q76a","Political Ideology/Preference","agreement; political preference","q76a. Do you strongly agree or just agree with the chosen statement?"
"q77","Political Ideology/Preference","government type; political ideology; agreement","q77. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o"
"q77a","Political Ideology/Preference","agreement; political preference","q77a. Do you strongly agree or just agree with the chosen statement?"
"q78","Political Ideology/Preference","government type; political ideology; agreement","q78. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o"
"q78a","Political Ideology/Preference","agreement; political preference","q78a. Do you strongly agree or just agree with the chosen statement?"
"q79","Political Ideology/Preference","government type; political ideology; agreement","q79. Let's talk for a moment about the kind of government you would like to have in this country, which of the followings statements do you agree with most? Choose the first or the second statement. [Interviewer: Probe whether respondent strongly agrees o"
"q79a","Political Attitudes","agreement level; political stance","q79a. Do you strongly agree or just agree with the chosen statement?"
"q8","Trust in Institutions","trust level; institution; courts","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The courts"
"q80","Government Effectiveness","government capability; problem solving; long-term perspective","q80. Over the long run, our system of government is capable of solving the problems our country faces."
"q81","Government Pride","government pride; general sentiment","q81. Thinking in general, I am proud of our system of government."
"q82","Government Support","government support; system resilience; public support","q82. A system like ours, even if it runs into problems, deserves the people's support."
"q83","Government Preference","government preference; alternative systems; preference for current system","q83. I would rather live under our system of government than any other that I can think of."
"q84","Government Evaluation","system performance; change needs; replacement consideration","q84. Compared with other systems in the world, would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?"
"q85","Democracy Characteristics","essential democracy characteristics; choice of essential characteristics","q85. Many things may be desirable, but not all of them are essential characteristics of democracy. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics o"
"q86","Democracy Characteristics","essential democracy characteristics; choice of essential characteristics","q86. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?"
"q87","Democracy Characteristics","essential democracy characteristics; choice of essential characteristics","q87. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?"
"q88","Political System","democracy; essential characteristics; evaluation","q88. If you have to choose only one from each four sets of statements that I am going to read, which one would you choose as the most essential characteristics of a democracy?"
"q89","Political System","satisfaction with democracy; country-specific; evaluation","q89. On the whole, how satisfied or dissatisfied are you with the way democracy works in [Country].  Are you …?"
"q9","Trust in Institutions","trust in government; national level; institution","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The national government [in capital city]"
"q90","Political System","democracy level; country-specific; evaluation","q90. In your opinion how much of a democracy is [Country Name] ?"
"q91","Political System","democracy level; scale; country-specific","q91. Here is a scale: 1 means completely undemocratic and 10 means completely democratic. Where would you place our country under the present government?"
"q92","Political System","democracy level; country-specific; evaluation; temporal comparison","q92. Where would you place our country ten years ago?"
"q93","Political System","democracy level; country-specific; evaluation; temporal comparison","q93. Where would you want our country to be in the future?"
"q94","Political System","democracy suitability; country-specific; scale","q94. Here is a similar scale of 1 to 10 measuring the extent to which people think democracy is suitable for our country. If ""1"" means that democracy is completely unsuitable for [name of country] today and ""10"" means that it is completely suitable, where"
"q95","Political System","government satisfaction; government; evaluation","q95. How satisfied or dissatisfied are you with the [name of president, etc. ruling current] government?  Are you …?"
"q96","Political System","government problems; country-specific; evaluation","q96. In your opinion, what are the most important problems facing this country that government should address?"
"q97","Economic Perception","government solution; problem importance; time horizon; future expectation","q97. How likely is it that the government will solve the most important problem you identified within the next five years? [Read out options]"
"q98","Public Opinion","public sentiment; state of affairs; agreement/disagreement; country-specific","q98. Now I am going to read to you a list of statements that describe how people often feel about the state of affairs in [country name]. Please tell me whether you strongly agree, somewhat agree, somewhat disagree, or strongly disagree with each of these"
"q99","Political Participation","media access; election period; equal access; political influence","q99. Political parties or candidates in our country have equal access to the mass media during the election period."
"se10","Household Income","main earner; household income; employment status","SE10. Are you the main earner in your household?(Chief wage earner)<Optional>"
"se10_1","Household Income","employment status; main earner","SE10_1. Is the main earner in your household currently employed?"
"se10a","Household Income","self-employment; business ownership; family business; employment status","SE10a. Is he or she currently self-employed (including business owners), working in a family business, or working for an outsid"
"se10b","Household Income","business size; employment size; number of employees","SE10b. How many people do his or her business employ?"
"se10c","Household Income","job title; job description; ISCO code","SE10c. What is his or her job title and job description?<The code number of ISCO>"
"se10d","Household Income","seeking employment; employment status; job search","SE10d. Is he or she currently seeking employment?"
"se10e","Household Income","current status; employment status; job search","SE10e. What is his or her current status?"
"se11","Demographics","language spoken; home language","SE11. LANGUAGE: What language do you speak the most in the home?"
"se12","Social Status","subjective social status; perception of social standing","SE12. SUBJECTIVE SOCIAL STATUS"
"se13","Economic Perception","household income; financial status; income adequacy","SE13. HOUSEHOLD INCOME"
"se13a","Economic Perception","income sufficiency; financial needs; income adequacy","SE13a. Does the total income of your household allow you to satisfactorily cover your needs?"
"se14a","Transportation","vehicle ownership; car ownership; transportation access","SE14a. Car/Jeep/Van"
"se14b","Transportation","tractor ownership; agricultural equipment; farming access","SE14b. Tractor"
"se14c","Consumer Goods","television ownership; media access; entertainment","SE14c. Television"
"se14d","Consumer Goods","cable television ownership; media access; entertainment","SE14d. Cable Television"
"se14e","Transportation","motorcycle ownership; personal transportation; mobility","SE14e. Motorcycle"
"se14f","Communication","telephone ownership; communication access; connectivity","SE14f. Telephone"
"se14g","Unknown","","SE14g. Mobile Phone"
"se14h","Unknown","","SE14h. Electric Fan"
