Cluster_ID,Wave_Count,Avg_Confidence,Min_Confidence,W1_Vars,W2_Vars,W3_Vars,W4_Vars,W5_Vars,W6_Vars,Question_Text,Concepts,Domains
224,2,1.0000,1.0000,,,,,q165,q165,Will the next generation have had a better or worse life than our generation?,future evaluation; future outlook; generational comparison; generational progress; life quality,Intergenerational Outlook; Societal Progress
57,5,0.9993,0.9982,,q114,q111,q113,q119,q110,How often do you think our elections offer the voters a real choice between different parties/candidates?,choice; democratic process; elections; electoral choice; electoral competition,Democracy and Elections; Election Effectiveness; Election Integrity; Trust in Government
211,2,0.9989,0.9989,,,,,q80,q77,Taken an action or done something for a political cause that put you in a risk of getting injured,personal sacrifice; political activism; risk taking; social engagement,Political Participation; Social Participation
192,3,0.9982,0.9972,,,,q160,q164,q164,"As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?",generational comparison; intergenerational comparison; social mobility; social status; standard of living,Intergenerational Mobility; Social Mobility
150,4,0.9978,0.9967,,,q82,q85,q88,q82,"A system like ours, even if it runs into problems, deserves the people's support",citizen support; government evaluation; government loyalty; government system; problem tolerance,System Support; System of Government Support; Trust in Government
114,3,0.9969,0.9954,,,q51,,q59,q57,"In a group, we should sacrifice our individual interest for the sake of the groups collective interest.",collective interest; collectivism; group interest; individual interest; sacrifice,Group Dynamics; Social Norms and Collective Interest; Social Values
106,4,0.9968,0.9936,,,se10e,se10e,SE10E,SE10e,se10e What is his or her current status?,current employment status; current occupation; current status; current work situation; employment,Employment Status
52,4,0.9965,0.9948,,q109,q105,,q114,q105,"People have basic necessities like food, clothes, and shelter.",basic necessities; citizen well-being; poverty; standard of living; wellbeing,Basic Needs
108,4,0.9965,0.9931,,,se9e,se9e,SE9E,SE9e,SE9e What is your current status?,current situation; current status; employment situation; employment status; job circumstances,Employment Status
40,6,0.9962,0.9929,q139,q140,q147,q148,q155,q155,"If people have too many different ways of thinking, society will be chaotic.",chaos; diversity; diversity of thought; social cohesion; social diversity,Social Cohesion; Social Order
34,6,0.9959,0.9922,q132,q133,q140,q141,q148,q148,People with little or no education should have as much say in politics as highly-educated people,education; education level; educational background; educational equality; equal say,Political Equality; Social Equality
143,3,0.9958,0.9936,,,q59,,q66,q64,"Even if there is some disagreement with others, one should avoid the conflict.",conflict avoidance; disagreement; disagreement management; social cohesion,Conflict Resolution; Social Harmony
27,4,0.9954,0.9931,q142,q144,q151,q151,,,Our country should defend our way of life instead of becoming more and more like other countries.,cultural preservation; globalization; national identity; national pride; national sovereignty,National Identity; National Identity and Culture
210,2,0.9954,0.9954,,,,,q78,q75,Got together with others face-to-face to try to resolve local problems,community engagement; face-to-face interaction; local issues; problem resolution; problem solving,Community Engagement; Social Participation
66,4,0.9950,0.9925,,q110,q106,,q115,q106,People are free to speak what they think without fear.,censorship; citizen freedom; fear; fear of retribution; fearlessness,Freedom of Expression; Freedom of Speech
122,3,0.9946,0.9919,,,q81,,q87,q81,"Thinking in general, I am proud of our system of government.",evaluation; government evaluation; government system; national pride; pride,National Pride; System of Government Evaluation; Trust in Government
26,6,0.9946,0.9898,q138,q139,q146,q147,q154,q154,"If we have political leaders who are morally upright, we can let them decide everything.",authoritarianism; decision making; decision-making; decision-making authority; decision-making power,Leadership and Morality; Moral Leadership; Political Leadership; Trust in Government
129,4,0.9939,0.9877,,,ir12g,ir12g,IR12G,IR12g,"ir12g. Recreational facilities, e.g., a sports field",accessibility; community amenities; infrastructure; leisure; leisure activity,Recreational Facilities; Service Accessibility
156,2,0.9935,0.9935,,,q24,q25,,,"Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? (NEW)",exploitation; fairness; trust,Trust in People
97,4,0.9931,0.9861,,,ir12i,ir12i,IR12I,IR12i,IR12i Any town halls or community buildings that can be used for meetings,accessibility; community; community buildings; infrastructure; meeting spaces,Community Facilities; Service Accessibility
162,3,0.9928,0.9893,,,,q140,q147,q147,The government should consult religious authorities when interpreting the laws,governance; government decision-making; interpretation; law interpretation; legal interpretation,Church-State Relations; Religion and Governance
16,6,0.9927,0.9864,q134,q135,q142,q143,q150,q150,The government should decide whether certain ideas should be allowed to be discussed in society.,censorship; freedom of speech; government; government control; idea discussion,Freedom of Expression
1,6,0.9920,0.9851,q133,q134,q141,q142,q149,q149,Government leaders are like the head of a family; we should all follow their decisions,authoritarianism; authority; decision-making; decision-making authority; government leaders,Attitudes towards Authority; Authoritarianism; Authority and Obedience; Government Authority; Political Authority
115,4,0.9912,0.9823,,,ir12e,ir12e,IR12E,IR12e,ir12e. Health clinic,accessibility; health clinic; healthcare; healthcare accessibility; infrastructure,Healthcare Accessibility; Service Accessibility
128,4,0.9910,0.9820,,,ir12c,ir12c,IR12C,IR12c,IR12c. Police station,accessibility; infrastructure; law enforcement; neighborhood facility; police station,Public Safety; Service Accessibility
13,5,0.9908,0.9789,q064,q56,q55,,q62,q60,"Even if parents' demands are unreasonable, children still should do what they ask?",authority; family hierarchy; filial piety; intergenerational relations; obedience,Family Dynamics; Family Obligations; Family Values; Social Hierarchy
206,2,0.9905,0.9905,,,,,q39,q39,How easy or difficult to obtain the roads in good condition,accessibility evaluation; infrastructure quality; road condition,Infrastructure Accessibility; Infrastructure Evaluation
65,5,0.9897,0.9775,,q111,q107,q109,q116,q107,People can join any organization they like without fear.,citizen freedom; fear; fear of retribution; fearlessness; freedom,Freedom and Security; Freedom of Association
139,4,0.9891,0.9782,,,ir12d,ir12d,IR12D,IR12d,ir12d. Sewerage system that most houses could access,accessibility; infrastructure; infrastructure services; sanitation; sewerage system,Service Accessibility
116,2,0.9889,0.9778,,,"se8c, se8d",,,"ACTUAL_COUNT_INCLUDE, ACTUAL_COUNT_EXCLUDE","ACTUAL COUNT (INCLUDE servants, transients/boarders)",boarders; family members; household size; residency; servants,Household Composition; Unknown
39,6,0.9889,0.9791,q135,q136,q143,q144,q151,q151,Harmony of the community will be disrupted if people organize lots of groups,community; community harmony; group formation; group organization; harmony,Social Cohesion; Social Harmony; Social Order
38,6,0.9880,0.9776,q136,q137,q144,q145,q152,q152,"When judges decide important cases, they should accept the view of the executive branch",branch interaction; decision making; decision-making; executive influence; independence,Judicial Independence; Separation of Powers; Trust in Government
151,4,0.9872,0.9744,,,ir12f,ir12f,IR12F,IR12f,IR12f. Signal for cellular phone,accessibility; cellular phone signal; infrastructure; mobile network coverage; neighborhood coverage,Service Accessibility; Telecommunication Accessibility
6,2,0.9870,0.9870,q066,q58,,,,,"When one has conflict with a neighbor, the best way to deal with it is to accommodate the other person",accommodation; conflict management; neighborly relations,Conflict Resolution
29,6,0.9868,0.9683,q127,q128,q134,q135,q142,q134,Politics and government seems so complicated that a person like me can't really understand what is going on,complexity; frustration; government complexity; personal competence; personal understanding,Political Complexity; Political Efficacy; Trust in Government
125,4,0.9867,0.9734,,,q121,q122,q129,q121,Where would you place the United States of America today on this scale?,United States; United States of America; country evaluation; current assessment; democracy,Country Perception; Global Perception; International Perception; Political Regime Evaluation
138,4,0.9845,0.9690,,,ir12b,ir12b,IR12B,IR12b,ir12b. School,accessibility; education; education service; education services; infrastructure,Service Accessibility
130,4,0.9840,0.9680,,,se6,se6,SE6,SE6,SE6 Religion,faith; personal belief; religion; religious affiliation; spiritual affiliation,Religion; Religion and Spirituality; Religious Affiliation
137,4,0.9834,0.9668,,,ir12a,ir12a,IR12A,IR12a,IR12a. Post-office,accessibility; infrastructure; mail service; mail services; neighborhood facility,Service Accessibility
169,3,0.9832,0.9748,,,,q158,q162,q162,"The following is a hypothetical question: If your family were unfortunate enough to lose its main source of income, how serious would it be for your family?",family impact; family well-being; financial hardship; hypothetical scenario; income loss,Economic Resilience; Economic Security
31,5,0.9831,0.9640,q129,,q135,q136,q143,q135,People like me don't have any influence over what the government does.,citizen empowerment; citizen power; disenfranchisement; government; government responsiveness,Political Efficacy; Trust in Government
204,2,0.9817,0.9817,,,,,q109,q100,"In our country, parties and candidates not in power have opportunities to be elected into government",democratic process; election; election fairness; government accountability; opposition opportunities,Governance and Democracy; Trust in Government
51,5,0.9815,0.9617,q068,q59,q60,,q67,q65,A person should not insist on his own opinion if his co-workers disagree with him?,co-worker disagreement; compromise; conflict avoidance; conformity; cooperation,Collaboration and Teamwork; Social Harmony; Workplace Harmony
98,3,0.9811,0.9716,,,se2,se2,SE2,,se2 Gender,classification; gender; identity; personal characteristic,Demographic Characteristics; Demographic Information
83,4,0.9792,0.9584,,q57,q57,,q64,q62,"Being a student, one should not question the authority of their teacher.",authority; educational authority; educational setting; obedience; questioning,Authority and Education; Social Harmony; Social Hierarchy; Social Values
126,4,0.9772,0.9544,,,q122,q123,q130,q122,Where would you place Japan today on this scale?,Japan; country evaluation; current assessment; democracy; regime type,Country Perception; Global Perception; International Perception; Political Regime Evaluation
193,2,0.9768,0.9536,,,,"se9c_3, se10c_3","Se9c_3, Se10c_3",,se9c_3 Extended application. Elite vs. Mass,elite; elite status; mass; mass category; social class,Social Stratification; Unknown
90,5,0.9768,0.9613,,q112,q109,q111,q117,q108,How often do government officials withhold important information from the public?,government accountability; government officials; government transparency; information disclosure; information withholding,Government Transparency; Trust in Government
102,3,0.9765,0.9648,,,se5,se5,SE5,,SE5. EDUCATION,education level; educational attainment; educational background; personal achievement; qualification,Education
127,4,0.9751,0.9502,,,q123,q124,q131,q123,Where would you place India today on this scale?,India; country evaluation; current assessment; democracy; regime type,Country Perception; Global Perception; International Perception; Political Regime Evaluation
119,4,0.9748,0.9496,,,ir2c,ir2c,IR2c,IR2c,IR2c. What kind of language do you normally use at home?[Country-specific],communication; cultural background; home environment; home language; home usage,Language Usage; Language and Culture
85,5,0.9744,0.9356,,q31,q31,q32,q32,q32,"If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",diverse opinions; interpersonal communication; opinion difference; political differences; political discussion,Social Interaction; Social Tolerance
176,3,0.9725,0.9588,,,,se15e,SE15E,SE15e,SE15e Scooter/Motorcycle/Moped<optional>,household possessions; ownership; transportation; transportation mode; two-wheeler access,Asset Ownership; Household Assets
30,4,0.9725,0.9461,q126,,,q134,q141,q133,I think I have the ability to participate in politics,ability; civic engagement; participation; personal ability; political participation,Political Efficacy
163,3,0.9716,0.9574,,,,se11a,Se11a,SE11a,se11a What is your racial or ethnic background,ethnic background; identity; racial background; racial identity,Demographic Characteristics; Unknown
200,2,0.9715,0.9715,,,,,q76,q73,Used the Internet including Social Media Networks to express opinions about politics,internet usage; internet use; online expression; political expression; social media,Citizen Engagement; Political Participation
87,5,0.9714,0.9269,,ir7,ir7,ir7,IR7,IR7,IR7 How sincere was the respondent when answering sensitive questions?,interview assessment; question sensitivity; respondent attitude; respondent honesty; response quality,Interview Experience; Respondent Behavior; Survey Quality; Unknown
50,6,0.9707,0.9416,ir005,ir5,ir5,ir5,IR5,IR5,Has the respondent ever felt impatient during the interview?,impatience; interview experience; interview process; respondent attitude; respondent behavior,Interview Experience; Respondent Behavior; Unknown
77,5,0.9685,0.9332,,q154,q154,q161,q166,q166,How proud are you to be a citizen of [Country],belongingness; citizenship; citizenship pride; country evaluation; national identity,National Pride
132,4,0.9679,0.9359,,,ir12h,ir12h,IR12H,IR12h,"ir12h. Any churches, mosques, temples or other public places of worship",accessibility; community facilities; infrastructure; public places; religion,Religious Facilities; Service Accessibility
184,3,0.9645,0.9467,,,,se15n,SE15N,SE15n,Se15n Goats/Sheep,agricultural activity; agriculture; animal husbandry; goats/sheep ownership; household amenities,Household Assets; Livestock Ownership
196,2,0.9627,0.9627,,,,q131,q138,,Only one political party should be allowed to stand for election and hold office.,anti-democratic sentiment; election; monopoly; party restriction; political party,Governance Preference; Trust in Government
67,5,0.9619,0.9048,,ir14,ir13,ir13,IR13,IR13,IR13. Which of the following levels within the country the respondent live?,administrative level; country level; geographic hierarchy; geographic location; location,Geographic Location
178,3,0.9617,0.9425,,,,se15h,SE15H,SE15h,Se15h Electric fan/cooler,appliance; comfort; comfort level; cooling; cooling system,Household Assets
76,5,0.9590,0.8975,,q153,q137,q138,q145,q137,"A citizen should always remain loyal only to his country, no matter how imperfect it is or what wrong it has done.",citizen allegiance; country; country devotion; country evaluation; loyalty,National Loyalty
161,3,0.9585,0.9378,,,,se15o,SE15O,SE15o,SE15o Cows/Buffalo<optional>,animal husbandry; buffalo; cattle; cows/buffalo ownership; household amenities,Agricultural Assets; Agricultural Livestock; Household Assets
134,5,0.9585,0.7537,,ir12b,ir11b,ir11b_2,IR11b,IR11b,ir11b  Please identify the main source of drinking water in the household?,basic service availability; basic services; drinking water; drinking water quality; drinking water source,Environmental Conditions; Service Accessibility
109,4,0.9582,0.9163,,,level3,level,Level,LEVEL,Rural or urban,geographic classification; residence type; rural; urban; urban-rural,Geographic Location; Unknown
174,3,0.9572,0.9359,,,,se15c,SE15C,SE15c,Se15c Color or B/W Television,asset ownership; electronic asset; electronic device ownership; electronic devices; entertainment access,Asset Ownership; Household Assets
24,6,0.9544,0.9078,ir006,ir6,ir6,ir6,IR6,IR6,How cooperative was the respondent during the interview?,cooperation; cooperation level; interview experience; interview process; interview quality,Interview Experience; Interview Quality; Respondent Behavior; Unknown
180,3,0.9542,0.9312,,,,se15j,SE15J,SE15j,SE15j Radio/Transistor<optional>,entertainment; entertainment access; household amenities; information; information access,Household Assets
187,2,0.9540,0.9079,,,,"se9c_2, se10c_2","Se9c_2, Se10c_2",,se9c_2 What is your job title (EGP class),EGP class; classification; job title; occupational classification; occupational prestige,Occupational Classification; Unknown
19,6,0.9537,0.7579,q137,"q115, q138","q112, q145","q146, q114","q153, q120","q111, q153",To what extent is the legislature capable of keeping government leaders in check?,accountability; checks and balances; efficacy; government accomplishment; government accountability,Government Accountability; Government Effectiveness; Government Oversight; Separation of Powers; Trust in Government
54,5,0.9517,0.8792,,q88,q71,q76,q79,q76,Attended a demonstration or protest march,collective action; demonstration; political activism; political expression; protest,Civic Engagement; Political Participation; Social Participation
201,2,0.9513,0.9026,,,,,"q157a, q156a","q156a, q157a",156a Do you strongly agree or just agree with the chosen statement?,agreement level; attitude intensity; cultural attitude; economic internationalism; international cooperation,Cultural Identity; Economic Perception; International Relations; International Trade
25,3,0.9491,0.9361,q123,,,q132,q139,,The military should come in to govern the country,anti-democratic sentiment; authoritarian rule; country leadership; governance; governance model,Governance Preference; Military Involvement; Trust in Government
120,4,0.9486,0.9185,,,ir12k,ir12j,IR12K,IR12k,IR12k Market stalls (selling groceries and/or clothing),accessibility; clothing; commerce; groceries; infrastructure,Market Accessibility; Service Accessibility
111,4,0.9475,0.8950,,,"q158, q156","q163, q166","q179, q174","q179, q173","In ten years, which country will have the most influence in Asia?",Asia; country comparison; country influence; country power; future projection,Geopolitical Influence; Geopolitics; Global Influence
96,4,0.9470,0.8886,,,"se10b, se9b","se10b, se9b","SE10B, SE9B","SE10b, SE9b",se10b How many people does his or her business employ?,business scale; business size; employee count; employment; employment capacity,Business Demographics; Business Employment; Business Ownership; Business Size; Business and Employment
18,2,0.9441,0.9441,q141,q143,,,,,The local government should have more authority over local decisions than it does now,centralization; decision-making authority; government authority; local autonomy; local decision-making,Decentralization; Government Authority
70,4,0.9411,0.9117,,q106,q100,,q110,q101,"Between elections, the people have no way of holding the government responsible for its actions.",accountability; accountability mechanisms; citizen control; elections; government responsibility,Government Accountability; Trust in Government
103,5,0.9405,0.7512,,se5a,se5a,se5a,SE5A,SE5a,SE5a How many years of formal education you have received?,education; educational attainment; educational duration; formal education; personal background,Education; Socio-Demographic Characteristics
56,5,0.9379,0.8868,,q90,q73,q78,q81,q78,"Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or ha",civic duty; election participation; electoral engagement; electoral participation; self-description,Civic Engagement; Electoral Participation; Voting Behavior
73,2,0.9376,0.9376,,ir3a_3,ir3a_3HK,,,,Parents or parents in law,family presence; family relationship; interview setting; parents; parents presence,Interview Environment
194,2,0.9373,0.9301,,,,"se12, se12a",SE12,,se12 Where would you place your family on the following scale? -10 scales,family socioeconomic status; family status; self-placement; social classification; socioeconomic scale,Socioeconomic Status
179,3,0.9367,0.9051,,,,se15i,SE15I,SE15i,se15i Bicycle,bicycle ownership; environmentally friendly; household amenities; physical activity; transportation,Household Assets
154,4,0.9339,0.8485,,,q128,q129,q136,"q130, q131, q128, q129","Do you agree or disagree with the following statement: 'Democracy may have its problems, but it is still the best form of government's? Only one political party is allowed to stand for election and ho",authoritarianism; democracy; election; elections; evaluation,Political System Preference; Trust in Government
37,4,0.9311,0.8693,q125,q141,q148,q149,,,"When the country is facing a difficult situation, it is ok for the government to disregard the law in order to deal with the situation",crisis management; government authority; legal constraints; legal disregard,Rule of Law
81,4,0.9304,0.8600,,se7a,se7a,se7a,SE7A,,Would you describe yourself as very religious?,level of devotion; level of religious commitment; personal faith; religiosity; religiosity level,Religion; Religion and Spirituality; Religiosity
155,4,0.9300,0.7543,,,q80,q83,q86,q80,"Over the long run, our system of government is capable of solving the problems our country faces.",capability; government capability; long-term evaluation; problem solving; problem-solving,System of Government Capability; Trust in Government
7,6,0.9294,0.8117,q116,"q119_1, q119, q119_2, q119_3","q119_1, q119_3, q119_2, q119",q120,q127,q118,anyone you know personally witnessed an act of corruption?,bribe-taking; corruption; corruption observation; corruption witness; direct witness,Corruption Experience; Corruption Perception; Trust in Government
17,6,0.9291,0.7679,q119,"q127, q125, q124, q123, q126",q126,q127,q134,q126,choose between democracy and economic development?,authoritarianism; democracy; economic development; governance; militarism,Governance Preference; Governance and Democracy; Political Priority; Political Values
12,5,0.9280,0.8438,q072,,q56,q61,q63,q61,"61. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",authority; conflict resolution; family conflict; family harmony; family hierarchy,Family Dynamics; Family Values
173,3,0.9278,0.8916,,,,se15b,SE15B,SE15b,se15b Tractor,agricultural asset; agricultural resources; asset ownership; equipment ownership; farm equipment access,Asset Ownership; Household Assets
28,6,0.9268,0.8561,q028,q39,q33,q34,q34,q34,Which parties or candidates did you vote for?,candidate support; electoral decision; party affiliation; political allegiance; political orientation,Political Affiliation; Political Preference; Voting Behavior
22,6,0.9253,0.8297,ir010a,ir12a,ir11a,ir11a,IR11a,IR11a,IR11a. What is the condition of the road leading to interviewee's residence?,environmental assessment; infrastructure evaluation; infrastructure quality; residence accessibility; road condition,Environmental Conditions; Infrastructure Accessibility; Infrastructure Quality
78,5,0.9237,0.8294,,q54,q47,q53,q56,q53other,"Among the political parties listed here, which party if any do you feel closest to?",affiliation; evaluation; identification; party loyalty; party preference,Party Affiliation; Political Affiliation; Political Party Affiliation; Social Attitudes
182,3,0.9212,0.8818,,,,se15l,SE15L,SE15l,se15l Fridge,appliance; convenience; food preservation; food storage; fridge ownership,Household Assets
4,2,0.9200,0.9200,q076,q82,,,,,Contacted political parties or other political organizations?,opinion expression; organization engagement; political involvement; political party interaction,Civic Engagement; Political Interaction
42,5,0.9200,0.8499,"q124, q121",,q132,"q133, q130","q137, q140",q132,We should get rid of elections and parliaments and have experts make decisions on behalf of the people.,anti-democratic sentiment; authoritarianism; decision making; democratic process; elections,Governance Preference; Political System Preference; Technocratic Governance; Trust in Government
158,4,0.9190,0.8415,,q26,q27,,q26,q26,How much trust do you have in other people you interact with?,acquaintances; interpersonal trust; social interaction; social interactions; social trust,Trust in Others; Trust in People
183,3,0.9183,0.8774,,,,se15m,SE15M,SE15m,Se15m Camera,camera ownership; entertainment; household amenities; leisure; leisure activity,Household Assets
165,3,0.9181,0.8433,,,,"q159, q159a",q163,q163,"Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair?",effort and reward; effort evaluation; family income; income fairness,Economic Perception; Income Fairness
99,3,0.9174,0.7583,,,"se3a, se3","se3_2, se3_1","SE3, SE3_1",,SE3a.ACTUAL AGE,actual age; age; birth year; current age; current status,Demographic Characteristics; Demographic Information
124,3,0.9166,0.8517,,,"se9c, se10c","se9c, se10c","SE9C, SE10C",,se9c What is your job title (ISCO code),ISCO code; classification; job description; job title; occupation classification,Occupation; Occupation Classification; Occupation and Employment; Occupational Classification
11,2,0.9165,0.8201,"se012a, se012bcn, se012bjp",se12a,,,,,Main Occupation,career path; employment status; job classification; job type; main occupation,Employment; Occupation and Employment
41,4,0.9163,0.8799,se017,se13,se12,,,SE11aother,subjective social status,other ethnic background; racial identity; self-evaluation; self-perception; social position,Demographic Characteristics; Social Perception
135,5,0.9144,0.7971,,ir12c,ir11c,ir11c,IR11c,IR11c,ir11c Is electricity the main source of lighting in the house?,electricity; electricity access; electricity availability; electricity source; energy availability,Environmental Conditions; Service Accessibility
74,5,0.9142,0.8577,,se11,se11,se11,Se11,SE10eother,se11 What language do you speak the most in the home?,domestic communication; employment status; home environment; home language; language,Employment Status; Language Use; Language and Culture; Unknown
168,3,0.9136,0.8704,,,,q157,q161,q161,How concerned are you about the loss of your major source of income within the next months?,family income; family well-being; future uncertainty; income stability; job insecurity,Economic Security
185,3,0.9135,0.8689,,,,q153,q158,q158,Do you think the government should increase or decrease the inflow of foreigners who come to work in our country?,foreign workers; government policy; government regulation; government role; immigration control,Immigration Policy
105,4,0.9128,0.8376,,,"se10, se10_1","se10_1, se10","SE10_1, SE10","SE10_1, SE9eother",SE10. Are you the main earner in your household?(Chief wage earner)<Optional>,current job; current status; earner status; earnings; employment,Employment Status; Household Economics
15,5,0.9124,0.8153,q067,,q61,q66,q68,q66,"Wealth and poverty, success and failure are all determined by fate.",destiny; determination; failure; fate; inequality,Beliefs and Values; Fatalism; Fatalism and Social Mobility
61,2,0.9101,0.9101,,se10h,se14h,,,,Does the total income of your household allow you to satisfactorily cover your needs? SE 10.8 Electric Fan/Cooler,economic condition; electric fan ownership; evaluation; household income; household needs,Economic Perception
45,6,0.9089,0.7684,"q131, q014",q131,"q15, q136",q137,q144,q136,You can generally trust the people who run our government to do what is right.,decision-making; governance; government; government evaluation; government integrity,Trust in Government; Trust in Local Government
157,4,0.9077,0.8209,,q25,q26,,q25,q25,How much trust do you have in your neighbors?,community; community relationships; community trust; neighborhood; neighborly trust,Trust in Others; Trust in People
75,5,0.9070,0.7553,,q155,q155,q162,"q169, q171, q167",q167,"Given the chance, how willing would you be to go and live in another country?",citizen preparedness; country attachment; country preference; democratic regime; democratic system,Democratic System Evaluation; Migration Intentions
